MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE_avg,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE_avg,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE_avg
1.3727719,1.4765534,1.0841178,1.5694919,1.2798651,1.1960891,1.3298149,3.3771424,3.765954,2.3776438,4.0964766,3.1314173,2.8362136,3.2641413,6.054665520787239,6.522247940301895,4.77418377995491,6.946402043104172,5.6290894746780396,5.255426838994026,5.86366926630338
6.937207,5.5146084,7.431591,5.3316526,4.0716414,5.722208,5.8348184,49.96992,32.269844,57.07614,30.293833,18.445192,34.60558,37.110085,32.66626596450806,26.0499507188797,34.970733523368835,25.202134251594543,19.339431822299957,27.020102739334106,27.541436503330868
1.988115,1.7866842,2.6637561,2.3799415,2.45272,2.579115,2.3083885,5.816272,4.9793878,9.011578,7.5678697,7.9159045,8.564166,7.3091965,8.86186957359314,7.935208082199097,12.000299245119095,10.68112924695015,11.020500212907791,11.607351899147034,10.351059709986052
2.6074739,2.40612,2.3319583,2.3393464,1.8078742,2.097553,2.2650545,8.697181,7.6801777,7.3716183,7.371467,5.074037,6.3125935,7.084512,11.739635467529297,10.803822427988052,10.455036163330078,10.492827743291855,8.03174078464508,9.366502612829208,10.148260866602262
2.5853305,2.4912894,1.7655823,2.3951478,1.5623723,1.8824806,2.1137006,8.543078,8.070775,4.873731,7.594076,4.0640097,5.353581,6.416542,11.640419065952301,11.202757060527802,7.840500771999359,10.756643116474152,6.9153450429439545,8.377586305141449,9.455541893839836
2.3202202,2.1581829,1.4540209,2.0850244,1.0943866,1.5581409,1.7783294,7.230438,6.504678,3.700894,6.162982,2.345449,4.075571,5.0033355,10.408132523298264,9.654562175273895,6.418999284505844,9.318063408136368,4.834303259849548,6.892981380224228,7.921173671881358
1.1498914,1.0762327,1.1664186,1.0837681,1.5481765,1.1445613,1.1948415,2.6422577,2.1166444,1.7783908,1.796117,3.060629,1.8122375,2.2010462,5.058562383055687,4.787059873342514,5.366231873631477,4.9033477902412415,7.39220455288887,5.225060135126114,5.455411101380984
1.5819647,1.5316665,1.4365745,1.6573634,1.4650388,1.4688458,1.5235757,3.2020338,2.9921448,2.608319,3.5448492,2.7233984,2.721287,2.9653387,7.557811588048935,7.308749854564667,6.830258667469025,7.941713929176331,6.975969672203064,6.986387073993683,7.266815130909284
1.3872452,1.2422007,1.0859243,1.1103984,1.1104542,1.1727002,1.1848205,2.4191496,1.9170959,1.825582,1.6941925,2.454952,1.7988766,2.0183082,6.57542422413826,5.796531587839127,4.907799139618874,5.0857555121183395,4.892925173044205,5.395663157105446,5.442349798977375
1.1169004,1.0977182,1.0678781,1.067938,1.373414,1.0793799,1.1338714,1.7338386,1.838454,2.1556842,2.2519083,3.328478,2.0229168,2.22188,5.1118820905685425,4.967647418379784,4.736066982150078,4.71651554107666,6.064871326088905,4.824064671993256,5.0701746717095375
1.0528259,1.0823215,1.0718216,1.0331316,1.0439458,1.0731654,1.0595354,1.8439689,1.8461449,1.7677851,1.876877,2.0044718,1.9212765,1.8767539,4.73274365067482,4.885241016745567,4.851878061890602,4.620257019996643,4.644833505153656,4.816074296832085,4.758504591882229
1.0509076,1.1277233,1.2043068,1.1438457,1.2132968,1.1396858,1.1466277,1.7327588,1.7273659,1.8217459,1.6812564,1.8445185,1.7179003,1.7542576,4.756211116909981,5.175086855888367,5.628573521971703,5.31269758939743,5.69053590297699,5.244240164756775,5.301224191983541
1.0783181,1.1746199,1.2738997,1.2635444,1.4326798,1.2171625,1.2400374,1.6255145,1.7619357,2.050523,2.025239,2.6418684,1.8527406,1.9929701,4.9502503126859665,5.462682619690895,6.018315255641937,5.9745050966739655,6.839337944984436,5.700838565826416,5.824321632583936
1.0562564,1.1279733,1.1190945,1.145401,1.255299,1.1531793,1.1428672,1.5528737,1.6630256,1.628263,1.6925454,2.0285096,1.6951212,1.7100564,4.874071106314659,5.2391186356544495,5.222886428236961,5.380662903189659,5.95807172358036,5.387594178318977,5.343734162549178
0.94814456,0.99402803,0.91603744,0.90747786,0.9281674,0.98156166,0.9459028,1.3984437,1.4721115,1.4201123,1.3133928,1.2911658,1.4081967,1.3839039,4.355686157941818,4.559659585356712,4.15300652384758,4.152102395892143,4.2741283774375916,4.505449160933495,4.33333870023489
0.78462297,0.83061606,0.8639292,0.8288283,0.8495484,0.79992765,0.8262455,1.1755364,1.2692215,1.3704549,1.24239,1.284415,1.209227,1.2585409,3.5941362380981445,3.7719793617725372,3.8794130086898804,3.7366673350334167,3.818325698375702,3.6118604242801666,3.7353970110416412
0.7789608,0.73163503,0.8206844,0.86964995,0.8930756,0.7259475,0.8033255,1.1108749,1.0055419,1.0441695,1.0646012,1.0718625,0.9041263,1.0335293,3.6570925265550613,3.386610373854637,3.7926577031612396,4.039434343576431,4.117858037352562,3.3428288996219635,3.7227469806869826
0.8703798,0.77393985,0.8100142,0.85234255,0.8123377,0.78325653,0.81704515,1.4779041,1.187284,1.2008123,1.1878953,0.99169314,1.0545547,1.1833572,4.1329070925712585,3.653356060385704,3.8250576704740524,4.025404900312424,3.8166679441928864,3.6813128739595413,3.855784423649311
0.817813,0.71327424,0.75747454,0.85739547,0.8467157,0.8365387,0.80486864,0.9176345,0.7463281,0.8423587,1.0361067,1.0432492,1.0437886,0.9382443,3.7870921194553375,3.273477405309677,3.4914568066596985,3.959226980805397,3.8898758590221405,3.837161138653755,3.7063817183176675
0.5949666,0.6204964,0.65383065,0.6303629,0.57973856,0.6051333,0.61408806,0.6596912,0.6657179,0.7332529,0.68649465,0.59969854,0.6392522,0.66401786,2.76574045419693,2.888689562678337,3.0735502019524574,2.9559459537267685,2.697823941707611,2.8006844222545624,2.8637390894194446
0.67300904,0.6935875,0.6930624,0.70313704,0.68064123,0.6777896,0.6868711,0.7651117,0.7719113,0.73300225,0.7359218,0.6994034,0.7474866,0.7421395,3.080666996538639,3.185442090034485,3.2114945352077484,3.2646823674440384,3.1555425375699997,3.101399354636669,3.1665379802385965
0.6329148,0.63917387,0.6255664,0.65054154,0.6626416,0.6446959,0.64258903,0.6611209,0.6495893,0.6263798,0.6486691,0.6669037,0.6644632,0.6528544,2.913074940443039,2.9524503275752068,2.891061268746853,3.0214911326766014,3.099670261144638,2.973904088139534,2.975275336454312
0.5633871,0.5567488,0.544553,0.5565976,0.61064124,0.5986532,0.57176346,0.5713121,0.570486,0.5367887,0.5586597,0.7031767,0.67673385,0.6028595,2.6244139298796654,2.597753517329693,2.52626184374094,2.588905766606331,2.866281196475029,2.7866745367646217,2.6650484651327133
0.55309206,0.5582211,0.5856305,0.5646199,0.56311274,0.610357,0.57250553,0.50722224,0.51390123,0.51369226,0.5043095,0.57525694,0.6367756,0.5418596,2.564377523958683,2.588176727294922,2.7069834992289543,2.6049280539155006,2.6097649708390236,2.820061147212982,2.6490486537416778
0.58930933,0.62706095,0.64828515,0.6371828,0.6544533,0.68849343,0.6407975,0.5025143,0.5386741,0.55824965,0.55061895,0.5804119,0.65675163,0.56453675,2.7213256806135178,2.89832204580307,2.9926706105470657,2.9333701357245445,3.018013946712017,3.169727697968483,2.9555716862281165
