MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE_avg,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE_avg,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE_avg
0.88555825,0.8660734,0.8538155,0.87224466,0.86580825,0.8598673,0.86722785,1.0241454,0.9370436,0.9040612,0.9577222,0.9315959,0.9146531,0.94487023,4.1015371680259705,3.9845023304224014,3.9011985063552856,4.020316153764725,3.9785590022802353,3.937787190079689,3.987316725154718
0.85033256,0.8545463,0.85925853,0.85041356,0.864035,0.8530918,0.8552796,0.8997082,0.90419066,0.9135349,0.9059216,0.9257514,0.90871006,0.9096361,3.8805820047855377,3.9081595838069916,3.9384350180625916,3.874519094824791,3.967004641890526,3.8900624960660934,3.9097938065727553
0.84016925,0.8445827,0.84360677,0.8419279,0.84949154,0.84375244,0.8439217,0.93732184,0.91203624,0.92440826,0.9673311,0.91064197,0.96727896,0.9365031,3.798801079392433,3.835003450512886,3.8232386112213135,3.797517716884613,3.8651444017887115,3.807508945465088,3.821202367544174
0.8412016,0.84215623,0.84387165,0.8425107,0.845669,0.8476599,0.8438449,0.9254441,0.9269559,0.9225218,0.9502805,0.9261435,0.921089,0.92873913,3.8093846291303635,3.8139890879392624,3.8256071507930756,3.8066457957029343,3.8341984152793884,3.848271816968918,3.823016149302324
0.8415024,0.8423682,0.8433502,0.84341025,0.8447512,0.8462382,0.8436034,0.9229021,0.92513144,0.92636144,0.93690836,0.93368626,0.9296609,0.9291084,3.8121845573186874,3.815978020429611,3.8209177553653717,3.8167521357536316,3.8256343454122543,3.835918754339218,3.821230928103129
0.8395734,0.8408961,0.8415824,0.84217083,0.84324,0.8441004,0.8419271,0.9470735,0.9424133,0.94814235,0.9579933,0.95534897,0.9566188,0.95126504,3.791937977075577,3.8007646799087524,3.802366554737091,3.802040219306946,3.8088299334049225,3.8131508976221085,3.803181710342566
0.8395025,0.8404278,0.8413184,0.8420675,0.8429776,0.8437698,0.84167737,0.94860476,0.9510083,0.9538133,0.9609789,0.9622214,0.9662216,0.9571414,3.7910036742687225,3.795088082551956,3.7988897413015366,3.8004443049430847,3.8049831986427307,3.807971626520157,3.799730104704698
0.83966714,0.84039754,0.8413274,0.8421839,0.8430407,0.8437595,0.84172934,0.9452293,0.9517183,0.95365816,0.9575157,0.9603043,0.9668984,0.9558874,3.7931136786937714,3.7946727126836777,3.798992559313774,3.802279010415077,3.805992007255554,3.8076791912317276,3.800454859932264
0.8398222,0.8404743,0.8414194,0.84232736,0.84314215,0.84379315,0.8418298,0.9426531,0.95002264,0.951641,0.95401686,0.95758027,0.96525866,0.9535287,3.7948939949274063,3.795691207051277,3.8002077490091324,3.804295137524605,3.807501867413521,3.808433562517166,3.801837253073851
0.8399475,0.8405718,0.84153306,0.84247154,0.843265,0.84385765,0.8419411,0.9407247,0.94796413,0.9492467,0.9508884,0.95473033,0.96313477,0.95111483,3.79629023373127,3.796962648630142,3.8016926497220993,3.8062121719121933,3.8091886788606644,3.809519112110138,3.803310915827751
0.84004474,0.84149814,0.841865,0.8429884,0.84349746,0.84412694,0.84233683,0.93924725,0.9339403,0.94371504,0.94257015,0.9500924,0.9562504,0.94430256,3.797377273440361,3.807394579052925,3.8055412471294403,3.8121499121189117,3.812156617641449,3.813426196575165,3.8080076376597085
0.83925295,0.84008753,0.84103876,0.8419696,0.84284586,0.8436554,0.84147507,0.95467407,0.96104664,0.9628188,0.9651468,0.968192,0.97357064,0.9642415,3.787533938884735,3.7897758185863495,3.794257342815399,3.798481822013855,3.8022153079509735,3.8048479706048965,3.796185366809368
0.83931166,0.8401046,0.8410788,0.84200805,0.84288824,0.8436777,0.8415115,0.95307434,0.96019775,0.9609201,0.9630111,0.9658488,0.9718865,0.9624898,3.7884023040533066,3.7901584059000015,3.7951260805130005,3.7994254380464554,3.803245723247528,3.8055334240198135,3.796981895963351
0.8393561,0.84013754,0.84111273,0.84204316,0.8429103,0.84369236,0.841542,0.9519116,0.95890546,0.9597481,0.96157,0.9646413,0.97090375,0.96128005,3.78904826939106,3.790777549147606,3.7957102060317993,3.8001131266355515,3.803783655166626,3.8059450685977936,3.7975629791617393
0.83940387,0.8401825,0.84115386,0.84209037,0.8429393,0.8437125,0.8415804,0.95076305,0.9575468,0.95852035,0.9601197,0.96334285,0.9697937,0.9600144,3.7897076457738876,3.791482001543045,3.796352818608284,3.8008656352758408,3.804391622543335,3.806428611278534,3.798204722503821
0.8394535,0.84022653,0.8411952,0.84213597,0.8429805,0.8437336,0.8416209,0.94963676,0.9562248,0.9572974,0.95872086,0.96203977,0.968648,0.9587613,3.790372610092163,3.7921734154224396,3.796999529004097,3.801598772406578,3.805062919855118,3.8069330155849457,3.7988567103942237
0.839502,0.84027106,0.8412383,0.84218395,0.8430229,0.8437553,0.8416622,0.94856274,0.9549551,0.9561054,0.9573914,0.96076185,0.96748877,0.95754427,3.7910163402557373,3.7928547710180283,3.797648102045059,3.8023237138986588,3.80573607981205,3.807450085878372,3.799504848817984
0.8395476,0.8403181,0.8412838,0.8422325,0.84306425,0.8437771,0.8417039,0.94755083,0.95374435,0.95495665,0.9561362,0.95952976,0.9663302,0.95637465,3.7916265428066254,3.7935297936201096,3.798295184969902,3.8030285388231277,3.8063932210206985,3.807971626520157,3.8001408179601035
0.8395939,0.84036297,0.8413269,0.8422804,0.8431091,0.8438017,0.8417458,0.9466054,0.95259804,0.95385987,0.954956,0.9583488,0.9651828,0.95525855,3.7922177463769913,3.794175386428833,3.7989165633916855,3.8037076592445374,3.807050734758377,3.808504343032837,3.8007620722055435
0.83963954,0.84041137,0.84137386,0.8423298,0.84315324,0.8438328,0.84179014,0.9457268,0.95151734,0.95281744,0.9538511,0.95722646,0.9640556,0.9541991,3.792783245444298,3.794817253947258,3.7995394319295883,3.8043681532144547,3.8076888769865036,3.8090646266937256,3.8013769313693047
0.83968383,0.8404566,0.84141845,0.84237635,0.8431977,0.8438693,0.8418338,0.944911,0.95049775,0.9518305,0.9528195,0.9561626,0.9629552,0.95319605,3.7933196872472763,3.7954244762659073,3.800133243203163,3.804992511868477,3.808309882879257,3.8096439093351364,3.801970618466536
0.8397271,0.8404998,0.8414613,0.8424205,0.8432431,0.8439057,0.8418762,0.9441544,0.9495401,0.9508991,0.9518565,0.9551582,0.9618866,0.9522491,3.793829306960106,3.796001896262169,3.800700604915619,3.8055822253227234,3.808915987610817,3.810214623808861,3.8025407741467157
0.83976847,0.84054095,0.84150183,0.84246314,0.84328616,0.8439406,0.84191686,0.9434543,0.948642,0.9500219,0.95095867,0.95421034,0.96085006,0.95135623,3.7943098694086075,3.796549513936043,3.8012389093637466,3.806142136454582,3.809492662549019,3.8107700645923615,3.80308385938406
0.83981013,0.84058315,0.8415437,0.8425063,0.843327,0.84397954,0.8419583,0.9428075,0.94779974,0.9491973,0.95012206,0.95331913,0.9598512,0.9505162,3.7947718054056168,3.7970829755067825,3.801766037940979,3.806683048605919,3.810039907693863,3.8113344460725784,3.8036130368709564
0.8398487,0.8406241,0.8415836,0.84254694,0.84336627,0.8440173,0.84199786,0.9422097,0.947012,0.94842196,0.9493439,0.95248294,0.9588895,0.94972664,3.7952013313770294,3.7975918501615524,3.8022663444280624,3.807191178202629,3.8105614483356476,3.8118813186883926,3.804115578532219
0.8398847,0.8406639,0.8416223,0.8425887,0.843407,0.8440544,0.8420368,0.9416555,0.9462743,0.94769466,0.9486191,0.9516991,0.95796764,0.9489851,3.795601800084114,3.798077628016472,3.802744671702385,3.807685151696205,3.8110706955194473,3.812413662672043,3.8045989349484444
0.8399184,0.8407037,0.8416625,0.8426281,0.84344566,0.84409463,0.8420755,0.9411433,0.9455844,0.94701415,0.9479453,0.95096695,0.95708525,0.9482899,3.79597470164299,3.798545151948929,3.803212195634842,3.808148577809334,3.811551257967949,3.8129478693008423,3.8050632923841476
0.8399494,0.8407413,0.8416998,0.8426662,0.8434833,0.8441326,0.84211206,0.94066906,0.94493854,0.9463751,0.9473173,0.9502813,0.9562429,0.9476374,3.796321153640747,3.7989869713783264,3.803650662302971,3.8085896521806717,3.812010958790779,3.8134586066007614,3.8055030008157096
0.8399786,0.8407799,0.8417375,0.842704,0.84352076,0.8441697,0.84214836,0.9402319,0.94433546,0.94577557,0.9467336,0.9496441,0.95544285,0.94702727,3.7966441363096237,3.7994172424077988,3.8040772080421448,3.8090117275714874,3.812451660633087,3.813951462507248,3.805925572911898
0.84000474,0.84081554,0.8417737,0.84273916,0.84355587,0.84420425,0.8421822,0.9398273,0.9437706,0.9452155,0.94619083,0.949053,0.95468307,0.94645673,3.7969395518302917,3.7998199462890625,3.804480656981468,3.8094058632850647,3.812863305211067,3.814418241381645,3.8063212608297667
0.84003,0.84084976,0.8418077,0.84277225,0.84359133,0.8442384,0.8422149,0.93945813,0.9432448,0.9446924,0.94568914,0.94850844,0.95396715,0.94592667,3.7972167134284973,3.8002006709575653,3.8048602640628815,3.8097746670246124,3.813258558511734,3.814869374036789,3.8066967080036798
