MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE_avg,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE_avg,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE_avg
0.8388802,0.8165274,0.8451626,0.79797846,0.8398177,0.7830892,0.8202426,0.8652859,0.8247246,0.8770264,0.79089046,0.8664756,0.76787734,0.8320467,4.037459194660187,3.9235230535268784,4.070212319493294,3.831396996974945,4.0433477610349655,3.7540722638368607,3.9433352649211884
0.75069344,0.73961914,0.7585871,0.7513333,0.7466471,0.74927855,0.7493598,0.7296567,0.71730614,0.7367476,0.7247587,0.72134113,0.7228116,0.725437,3.5830046981573105,3.525802865624428,3.625234216451645,3.5894781351089478,3.563954681158066,3.5785648971796036,3.5776732489466667
0.7772624,0.7871388,0.7902857,0.79889095,0.7869051,0.7729882,0.7855785,0.7612493,0.7756072,0.779786,0.79348713,0.7750876,0.75376976,0.7731645,3.7222184240818024,3.7734191864728928,3.79018597304821,3.8348186761140823,3.7723392248153687,3.7013523280620575,3.765722302099069
0.75595295,0.7663901,0.7633853,0.7591116,0.7836918,0.7777263,0.76770973,0.73310256,0.7463105,0.74195325,0.7368666,0.7705714,0.76137286,0.74836284,3.6117427051067352,3.6659453064203262,3.65060493350029,3.628251701593399,3.7554483860731125,3.7250764667987823,3.6728449165821075
0.7543842,0.7552907,0.75320524,0.76855767,0.7668201,0.74875325,0.75783515,0.7320182,0.7324496,0.7297424,0.7489746,0.74722695,0.7240689,0.7357467,3.6032110452651978,3.6082513630390167,3.597531095147133,3.6773189902305603,3.6679089069366455,3.5746708512306213,3.6214820419748626
0.7535474,0.7933379,0.76624453,0.79352826,0.79018295,0.747096,0.7739895,0.7305229,0.78520674,0.7461069,0.78544873,0.7802811,0.7232259,0.75846535,3.599138930439949,3.8053546100854874,3.6651819944381714,3.806344047188759,3.789053112268448,3.5655293613672256,3.70510034263134
0.80667603,0.8250906,0.8224988,0.83083564,0.8305229,0.8125931,0.82136947,0.8070358,0.83938354,0.83468765,0.84973943,0.84915966,0.8170402,0.8328411,3.8740769028663635,3.9686087518930435,3.9553292095661163,3.997984156012535,3.9963725954294205,3.9044875651597977,3.9494765301545462
0.8130561,0.8315845,0.83014935,0.8395835,0.8357557,0.8205777,0.82845116,0.81793296,0.8511582,0.84849983,0.86611205,0.8588626,0.8311787,0.845624,3.9068691432476044,4.001817479729652,3.9944760501384735,4.04268391430378,4.023120552301407,3.945474699139595,3.985740306476752
0.8188889,0.8372772,0.83630824,0.84662366,0.84028417,0.8271455,0.83442134,0.8282202,0.8617724,0.85992974,0.87976795,0.86744285,0.84301263,0.85669106,3.936820849776268,4.030909761786461,4.025955498218536,4.078637808561325,4.046257585287094,3.979111462831497,4.016282161076863
0.8236924,0.8417505,0.8411473,0.8521669,0.8438432,0.83236873,0.8391616,0.83687824,0.8703145,0.8691303,0.8908134,0.87431157,0.852546,0.8656656,3.961458057165146,4.053761810064316,4.0506761521101,4.106932878494263,4.064435884356499,4.005813971161842,4.040513125558694
0.82774305,0.84531766,0.84499687,0.8564799,0.8466886,0.83657086,0.84296614,0.8441651,0.8772396,0.876591,0.8995758,0.8798843,0.86038667,0.87297374,3.982182964682579,4.0719762444496155,4.0703341364860535,4.128938913345337,4.07896600663662,4.027289152145386,4.059947902957599
0.8311796,0.8481946,0.8481089,0.8599169,0.84900343,0.840009,0.8460687,0.85043275,0.88291264,0.8827226,0.9066021,0.884465,0.8669073,0.87900704,3.9997532963752747,4.086664691567421,4.086223989725113,4.146456345915794,4.090782627463341,4.044852405786514,4.075788892805576
0.8341408,0.8505666,0.85066694,0.8626624,0.85092014,0.8428541,0.84863514,0.85590875,0.88763547,0.88781524,0.91225505,0.8882916,0.87238604,0.8840487,4.014887660741806,4.098772630095482,4.099280387163162,4.16044108569622,4.100566357374191,4.059384763240814,4.088888814051946
0.8366981,0.8525426,0.85277736,0.8648537,0.85252273,0.84525436,0.85077477,0.8607039,0.89161325,0.8920668,0.916818,0.89151925,0.87705743,0.8882964,4.02795597910881,4.108857735991478,4.110052436590195,4.171602427959442,4.108745604753494,4.071641713380814,4.099809316297372
0.83891356,0.8542003,0.85453683,0.8666152,0.8538802,0.8473022,0.85257465,0.86489594,0.8949781,0.89563954,0.92051995,0.8942742,0.88108885,0.8918994,4.039273038506508,4.1173189878463745,4.119031131267548,4.1805751621723175,4.115675017237663,4.0820978581905365,4.108995199203491
0.8408483,0.85560805,0.856032,0.8680389,0.8550535,0.84907985,0.85411006,0.8685982,0.8978396,0.8986808,0.9235338,0.896659,0.8846095,0.89498687,4.049156978726387,4.12449985742569,4.1266582906246185,4.187826439738274,4.121660813689232,4.09117266535759,4.116829174260299
0.8425809,0.85685223,0.8573216,0.8691613,0.8561045,0.8505723,0.8554321,0.8719386,0.9003774,0.90131664,0.92592365,0.89879626,0.8875872,0.8976566,4.058006405830383,4.13084514439106,4.133234918117523,4.193544015288353,4.127021506428719,4.0987905114889145,4.123573750257492
0.8441144,0.85787505,0.8584253,0.87011504,0.85700697,0.85195315,0.8565816,0.8749129,0.9024654,0.9035654,0.92796355,0.9006398,0.8903615,0.8999848,4.06583696603775,4.136059060692787,4.138859733939171,4.198402166366577,4.131624102592468,4.105838015675545,4.129436674217383
0.8454967,0.8587774,0.8593838,0.8708797,0.85781616,0.85315746,0.8575852,0.87761456,0.9043064,0.90552634,0.92960566,0.9022924,0.8927976,0.9020238,4.072895646095276,4.140657186508179,4.143743589520454,4.202296957373619,4.135749489068985,4.111985489726067,4.134554726382096
0.84675485,0.85958236,0.86022663,0.87149924,0.8585525,0.85421956,0.8584725,0.88009036,0.9059554,0.9072552,0.93094015,0.9037934,0.8949559,0.9038318,4.079319164156914,4.144759103655815,4.148037359118462,4.205452278256416,4.139501228928566,4.117405787110329,4.13907915353775
0.8479054,0.8602984,0.8609707,0.87200373,0.8592186,0.8551683,0.85926086,0.88236505,0.90742403,0.9087821,0.93202955,0.9051557,0.8968854,0.90544033,4.085193946957588,4.148406162858009,4.151827469468117,4.208022356033325,4.142896085977554,4.12224680185318,4.143098803857963
0.8489642,0.86094075,0.86162907,0.8724142,0.8598248,0.856024,0.8599661,0.884463,0.90874255,0.91013783,0.9329145,0.90639913,0.8986251,0.9068803,4.090597853064537,4.151678830385208,4.155181348323822,4.210112243890762,4.145984351634979,4.126610234379768,4.146694143613179
0.8499361,0.86151564,0.86221325,0.87274605,0.86037946,0.8567973,0.8605979,0.8863988,0.90992606,0.9113439,0.93363047,0.9075368,0.90020347,0.90817326,4.095558449625969,4.154607281088829,4.158156365156174,4.211801663041115,4.148809984326363,4.13055382668972,4.1499145949880285
0.8508317,0.86202955,0.86273277,0.8730096,0.8608897,0.8575066,0.86116666,0.8881914,0.9109867,0.9124194,0.93419975,0.9085838,0.90165484,0.90933925,4.100130125880241,4.157225042581558,4.160802811384201,4.2131442576646805,4.1514091193675995,4.134171083569527,4.1528137400746346
0.85166097,0.86249894,0.8632001,0.873224,0.8613509,0.85816216,0.8616829,0.8898581,0.9119573,0.913389,0.9346632,0.9095324,0.9029895,0.91039824,4.104362428188324,4.159615561366081,4.163182899355888,4.21423502266407,4.153758659958839,4.137512296438217,4.155444477995236
0.8524334,0.8629179,0.8636244,0.8733869,0.86178833,0.858769,0.8621533,0.89141697,0.9128257,0.91427124,0.93501556,0.91043407,0.90422815,0.91136533,4.108305275440216,4.16174940764904,4.165344312787056,4.215064644813538,4.15598638355732,4.140603914856911,4.157842323184013
0.8531616,0.86332357,0.8640125,0.8735134,0.86218715,0.8593132,0.86258525,0.892892,0.91366804,0.9150795,0.93528974,0.91125786,0.90534204,0.91225487,4.112021625041962,4.163815826177597,4.16732095181942,4.215708747506142,4.158018156886101,4.143377393484116,4.160043783485889
0.85383314,0.8636599,0.864362,0.8736242,0.8625543,0.85986084,0.86298233,0.8942572,0.91436756,0.9158088,0.93552965,0.91201735,0.9064661,0.91307443,4.115449637174606,4.16552908718586,4.169100895524025,4.216273128986359,4.159888252615929,4.146167635917664,4.162068106234074
0.8544945,0.8640401,0.86469495,0.87366503,0.8629226,0.8602748,0.86334866,0.8956,0.9151597,0.916505,0.93561846,0.9127809,0.90731525,0.91382986,4.118824005126953,4.1674647480249405,4.1707973927259445,4.216481000185013,4.161764308810234,4.148276895284653,4.16393472502629
0.8550769,0.86429787,0.86497873,0.8737513,0.86322397,0.8608024,0.86368847,0.8967852,0.91569775,0.917099,0.9358049,0.9134065,0.908397,0.9145317,4.121795296669006,4.168778285384178,4.172242805361748,4.216919839382172,4.1632991284132,4.150963574647903,4.165666488309701
0.85566634,0.8646054,0.86525905,0.8737721,0.8635348,0.8611953,0.86400557,0.89798266,0.9163405,0.9176862,0.93585014,0.9140527,0.9092049,0.91518617,4.124801233410835,4.170344769954681,4.173670336604118,4.217025637626648,4.1648827493190765,4.152965918183327,4.167281774183114
0.8562154,0.8648713,0.8655178,0.8737906,0.8638261,0.86159927,0.8643035,0.89910096,0.9168968,0.9182292,0.9358904,0.9146589,0.9100366,0.9158022,4.127600789070129,4.171699658036232,4.174988716840744,4.217120632529259,4.166366532444954,4.155023023486137,4.168799892067909
0.85673386,0.86511683,0.865757,0.8737965,0.8641032,0.86198443,0.8645819,0.9001602,0.91741115,0.9187316,0.93590325,0.9152365,0.9108315,0.916379,4.130245745182037,4.172949865460396,4.176206886768341,4.217150434851646,4.167777672410011,4.156985133886337,4.170219289759795
0.8572328,0.86535656,0.8659836,0.8737853,0.8643708,0.86233616,0.86484414,0.90118176,0.9179135,0.91920817,0.93587893,0.9157949,0.9115586,0.9169226,4.132790490984917,4.174170643091202,4.177360609173775,4.21709343791008,4.1691407561302185,4.158776625990868,4.17155542721351
0.8577082,0.86557794,0.8661951,0.8737663,0.8646251,0.86266947,0.86509037,0.9021501,0.91837835,0.9196534,0.9358376,0.9163262,0.9122486,0.91743237,4.1352130472660065,4.175298660993576,4.17843796312809,4.21699658036232,4.170435667037964,4.160474240779877,4.172809359927972
0.85815626,0.86577094,0.8663862,0.87374943,0.86485565,0.8630112,0.86532164,0.9030624,0.9187839,0.92005587,0.9358013,0.9168086,0.912957,0.9179115,4.137496277689934,4.17628139257431,4.179411754012108,4.216911271214485,4.171610623598099,4.162214323878288,4.173987607161204
0.858603,0.8660021,0.8665761,0.8737025,0.8650926,0.8632609,0.86553955,0.9039741,0.91926986,0.9204564,0.9356994,0.9173047,0.91347533,0.91836333,4.139772057533264,4.177458956837654,4.180378839373589,4.216671735048294,4.1728176176548,4.163486510515213,4.175097619493802
0.8589965,0.86613643,0.8667421,0.8736856,0.86530054,0.86362416,0.8657475,0.9047791,0.9195527,0.9208069,0.93566275,0.91774064,0.9142308,0.9187955,4.141777753829956,4.178142920136452,4.181224480271339,4.2165856808424,4.173876345157623,4.165336862206459,4.1761573404073715
0.8594051,0.8663547,0.8669086,0.87363255,0.8655118,0.8638389,0.865942,0.90561634,0.9200126,0.9211584,0.93554753,0.91818404,0.9146776,0.91919947,4.143859818577766,4.179254919290543,4.182072356343269,4.216315224766731,4.174952581524849,4.1664306074380875,4.177147584656875
0.8597853,0.86652124,0.867065,0.8735913,0.8657132,0.8641064,0.86613035,0.9063966,0.9203638,0.9214888,0.93545806,0.91860676,0.91523546,0.9195916,4.145796969532967,4.1801027953624725,4.1828688234090805,4.216105118393898,4.175977781414986,4.167793318629265,4.178107467790444
0.86015284,0.86667985,0.86721396,0.87354803,0.86590034,0.8643598,0.86630917,0.9071502,0.92069846,0.92180413,0.9353647,0.91900027,0.91576403,0.9199636,4.147670045495033,4.180910810828209,4.183627665042877,4.215885326266289,4.176932200789452,4.169083386659622,4.179018239180247
0.86050385,0.8668283,0.86735374,0.8735025,0.8660824,0.8646054,0.86647934,0.9078695,0.92101204,0.9221,0.93526584,0.9193833,0.91627717,0.92031795,4.149457439780235,4.1816674172878265,4.184339568018913,4.215653240680695,4.177859053015709,4.170335084199905,4.179885300497214
0.86083984,0.86697334,0.8674876,0.8734567,0.8662556,0.86483777,0.8666418,0.9085598,0.92131835,0.9223835,0.9351666,0.91974777,0.91676325,0.9206565,4.151169583201408,4.182405769824982,4.185021668672562,4.215420037508011,4.178740456700325,4.171518608927727,4.180712687472503
0.86116606,0.8671098,0.86761475,0.8734038,0.86642903,0.8650575,0.8667968,0.9092306,0.9216071,0.92265284,0.93505234,0.9201135,0.9172234,0.92098,4.1528306901454926,4.1831012815237045,4.185669124126434,4.215150699019432,4.17962484061718,4.1726380586624146,4.181502449015777
0.86147773,0.8672479,0.8677345,0.87335986,0.8665811,0.86526924,0.866945,0.90987223,0.9218988,0.92290676,0.9349571,0.92043424,0.917667,0.9212894,4.154418036341667,4.183803498744965,4.186279326677322,4.2149268090724945,4.18039970099926,4.173716157674789,4.182257254918416
0.8617791,0.8673726,0.86785144,0.8733078,0.86674047,0.8654716,0.8670872,0.91049385,0.9221631,0.9231548,0.9348443,0.9207701,0.9180915,0.9215862,4.155953228473663,4.184439405798912,4.186874628067017,4.214661568403244,4.181210324168205,4.174746572971344,4.182980954647064
0.8620708,0.86749816,0.86796266,0.8732592,0.86688703,0.86566705,0.86722416,0.91109633,0.9224291,0.92339087,0.9347392,0.92107993,0.91850144,0.9218728,4.15743887424469,4.185079038143158,4.1874416172504425,4.214414209127426,4.181957244873047,4.175742343068123,4.183678887784481
0.8623504,0.8676161,0.86806804,0.8732112,0.8670294,0.86585474,0.8673549,0.9116744,0.922679,0.9236149,0.9346353,0.9213809,0.9188964,0.9221468,4.158863052725792,4.1856799274683,4.187978059053421,4.214169830083847,4.182683303952217,4.176698625087738,4.184345466395219
0.86262226,0.86772585,0.86817163,0.8731584,0.8671742,0.8660347,0.8674812,0.9122373,0.9229117,0.92383516,0.9345211,0.9216869,0.9192746,0.9224112,4.16024774312973,4.186238721013069,4.188506305217743,4.213900491595268,4.183420911431313,4.17761467397213,4.1849881410598755
0.86288166,0.8678396,0.86826944,0.87311375,0.8673001,0.86620945,0.86760235,0.9127753,0.9231529,0.9240428,0.9344247,0.9219531,0.91964245,0.9226652,4.161569103598595,4.18681800365448,4.189004749059677,4.213673993945122,4.184061288833618,4.178505018353462,4.185605359574159
0.86313444,0.86794394,0.8683645,0.87306505,0.8674291,0.86637634,0.86771894,0.91329986,0.9233746,0.92424506,0.9343195,0.92222613,0.9199941,0.9229099,4.162856191396713,4.1873496025800705,4.189488664269447,4.213425889611244,4.184718057513237,4.179355129599571,4.1861989224950475
0.8633795,0.86804473,0.86845773,0.87301606,0.8675543,0.86653835,0.86783177,0.913809,0.92358875,0.92444354,0.93421376,0.9224917,0.9203357,0.923147,4.164104536175728,4.1878629475831985,4.189963266253471,4.213177040219307,4.1853561997413635,4.18018102645874,4.186774169405301
0.86361444,0.86814046,0.86854476,0.87297,0.86767375,0.86669856,0.86794037,0.9142977,0.9237922,0.9246285,0.934114,0.92274475,0.9206736,0.9233751,4.165301471948624,4.188350588083267,4.190406948328018,4.212941974401474,4.185964912176132,4.1809964925050735,4.187327064573765
