MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE_avg,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE_avg,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE_avg
0.831519,0.9449578,0.8688821,0.92173356,0.88965195,0.80218995,0.8764891,0.8500254,1.163452,0.9441763,1.0994059,1.0067797,0.7854705,0.9748849,3.796728327870369,4.344014823436737,3.977283090353012,4.232832416892052,4.079073294997215,3.65474633872509,4.014113048712413
0.83228517,0.8288992,0.82617104,0.82443196,0.7978557,0.81906754,0.8214517,0.85653454,0.84643674,0.8418881,0.8377039,0.7762527,0.82413155,0.83049124,3.8034100085496902,3.785846382379532,3.773900493979454,3.7653665989637375,3.6332428455352783,3.738698363304138,3.750077448785305
0.7685721,0.7471912,0.7935393,0.78978086,0.7350378,0.8143449,0.77474433,0.7204503,0.6839155,0.77243614,0.7647321,0.6723774,0.8133268,0.737873,3.49622406065464,3.388029709458351,3.6191288381814957,3.6012642085552216,3.321237862110138,3.7155333906412125,3.5235696782668433
0.7208793,0.7334919,0.71805245,0.72049874,0.7431424,0.7682589,0.7340539,0.6414811,0.6597585,0.6407865,0.64620304,0.68078953,0.7199087,0.6648212,3.2821737229824066,3.332734853029251,3.2737184315919876,3.286399319767952,3.3637210726737976,3.491591289639473,3.338389781614145
0.7507689,0.7687732,0.77629143,0.80307853,0.7313669,0.77534974,0.7676048,0.6907496,0.72015613,0.73871666,0.79798293,0.654301,0.75065297,0.7254265,3.4213006496429443,3.4949034452438354,3.5390138626098633,3.669973835349083,3.3174723386764526,3.5453129559755325,3.4979961812496185
0.6034866,0.55591995,0.5301379,0.577101,0.57466847,0.6631741,0.58408135,0.529034,0.48015526,0.47934097,0.53336805,0.48208418,0.6001717,0.517359,2.7511456981301308,2.5269581004977226,2.416924014687538,2.636125311255455,2.6097148656845093,3.031352162361145,2.6620366921027503
0.6714796,0.6877455,0.6971161,0.69614977,0.62294203,0.6578138,0.67220783,0.5722389,0.5886595,0.6120919,0.609699,0.4940533,0.5470061,0.5706248,3.0609792098402977,3.127916157245636,3.179328143596649,3.175552561879158,2.8271496295928955,2.9946433380246162,3.0609281733632088
0.5908203,0.58940756,0.5841045,0.58629787,0.5891543,0.6334976,0.595547,0.48788628,0.48242584,0.47024664,0.47666633,0.46381068,0.53206646,0.48551702,2.701754681766033,2.6954052969813347,2.6709111407399178,2.6837052777409554,2.688358910381794,2.896767109632492,2.722817069540421
0.6026631,0.587847,0.59243834,0.58909273,0.5370332,0.5771169,0.58103186,0.5585192,0.53720194,0.5299274,0.5312139,0.4396376,0.4986817,0.5158636,2.774280682206154,2.704625017940998,2.7265939861536026,2.7110472321510315,2.467316761612892,2.654520608484745,2.6730640480915704
0.572378,0.5724073,0.59642375,0.5638041,0.56481683,0.5806068,0.5750728,0.46512306,0.45594043,0.49279135,0.44971278,0.4308001,0.45848772,0.45880926,2.616763673722744,2.6122402399778366,2.7283376082777977,2.5768648833036423,2.574228309094906,2.650589495897293,2.6265040350457034
