,train_loss
0,1.5282828050355118e-05
1,1.531874631635017e-05
2,1.4936511094371478e-05
3,1.483643220530616e-05
4,1.5207331161946058e-05
5,1.4522538468655612e-05
6,1.4372210070076916e-05
7,1.428922534816795e-05
8,1.4224644077734815e-05
9,1.4137228071275685e-05
10,1.4103644837935766e-05
11,1.3766365074035194e-05
12,1.3818458084844881e-05
13,1.3938943286322885e-05
14,1.3707031806310018e-05
15,1.3837410499238305e-05
16,1.3234191574156284e-05
17,1.3189975482722124e-05
18,1.3141318793512052e-05
19,1.2995759801318248e-05
20,1.3008938791851203e-05
21,1.2630558469229274e-05
22,1.2738323097841607e-05
23,1.2881528948330217e-05
24,1.2346561739428175e-05
25,1.2174201094441943e-05
26,1.248489651415083e-05
27,1.2183536827150319e-05
28,1.2252727109524939e-05
29,1.1972240689727995e-05
30,1.2006950823383198e-05
31,1.180688255570001e-05
32,1.2008914103110631e-05
33,1.1609122933199009e-05
34,1.1951121656845013e-05
35,1.1668160506006744e-05
36,1.1488864353547494e-05
37,1.1460267059091064e-05
38,1.1533084066791668e-05
39,1.1393199157383707e-05
40,1.1181633971217606e-05
41,1.1215908452868461e-05
42,1.1109616090026167e-05
43,1.1222628721346458e-05
44,1.1066605802625418e-05
45,1.0969003972907862e-05
46,1.0848081567221217e-05
47,1.0694390318046013e-05
48,1.0746418912377623e-05
49,1.0615623452597195e-05
50,1.0613623437368207e-05
51,1.0810432076040241e-05
52,1.0560841506554022e-05
53,1.053480017516348e-05
54,1.0501881802661551e-05
55,1.0384901219771969e-05
56,1.0102211963385343e-05
57,1.0223437048908737e-05
58,1.0080584324896335e-05
59,1.0155906849023368e-05
60,9.821794875380065e-06
61,1.005940656695101e-05
62,9.631799120042059e-06
63,9.774683146840996e-06
64,9.66971145114965e-06
65,9.825304667982791e-06
66,9.896275846080647e-06
67,9.892985949085819e-06
68,9.875116714586815e-06
69,9.573087768836154e-06
70,9.493090005384551e-06
71,9.61081124842167e-06
72,9.698237861610121e-06
73,9.273278345871302e-06
74,9.551687786976497e-06
75,9.296418736792274e-06
76,9.378879848453733e-06
77,9.135162431953682e-06
78,9.336569087786806e-06
79,9.187074481613106e-06
