MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE_avg,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE_avg,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE_avg
8.85513,8.521716,7.3336706,3.9825816,7.134364,10.180104,7.667928,79.29647,73.50281,54.662624,16.74681,51.77812,104.50689,63.415623,37.62054741382599,36.214667558670044,31.19150400161743,17.01386123895645,30.354368686676025,43.24859976768494,32.60725811123848
2.5455947,2.5793672,2.5114193,1.6144563,2.714198,2.7721891,2.4562042,7.3715224,7.5434494,7.1899657,3.4443295,8.259084,8.56047,7.0614705,10.608203709125519,10.75267568230629,10.467291623353958,6.677600741386414,11.327304691076279,11.57560721039772,10.234780609607697
1.2437634,1.6144425,0.77506816,0.96620995,2.2232766,1.1954699,1.3363718,2.2039664,3.4478347,0.85822564,1.354926,5.837705,2.0493808,2.6253397,5.131112784147263,6.675371527671814,3.27061265707016,4.000649228692055,9.249335527420044,4.935191199183464,5.5437121540308
0.82268864,0.8799063,1.051389,0.79120076,0.81776226,0.7866889,0.8582726,0.96741724,1.12199,1.5928608,0.9180687,0.98601997,0.89811105,1.0807446,3.4518521279096603,3.794640675187111,4.348566755652428,3.3799707889556885,3.511390835046768,3.3517230302095413,3.6396907021601996
0.8278594,0.80848265,0.873671,0.92917645,0.7878797,0.804037,0.83851767,1.0071275,0.96578085,1.1076043,1.2449037,0.90325874,0.9560724,1.0307912,3.5565610975027084,3.466378152370453,3.7670593708753586,4.017861559987068,3.3594563603401184,3.4478627145290375,3.602529875934124
1.2616017,1.0714108,1.4237229,1.0310465,1.22551,1.2142032,1.2045826,2.4086661,1.6848598,2.9059424,1.5473905,2.250025,2.2024002,2.1665473,5.49030527472496,4.652135074138641,6.18358850479126,4.473323002457619,5.332789197564125,5.283172428607941,5.235885580380757
0.78795683,0.82612526,0.7886848,0.8080005,0.79560274,0.79834104,0.80078524,0.8985837,1.0036246,0.8938886,0.96473396,0.93750095,0.94396365,0.94038254,3.3498767763376236,3.549240529537201,3.3423393964767456,3.4654054790735245,3.4064635634422302,3.4206178039312363,3.4223239247997603
0.8177684,0.91171235,0.79689664,0.97816414,0.82318944,0.8328179,0.8600915,0.98568535,1.199481,0.9412355,1.3828802,0.9974074,1.0180233,1.087452,3.509644791483879,3.9384350180625916,3.4113336354494095,4.23738956451416,3.537467122077942,3.5824690014123917,3.7027898555000625
1.0960677,0.9811103,1.1284413,0.9423854,1.0790974,1.0390165,1.044353,1.7727706,1.3923733,1.8851877,1.2806631,1.707957,1.5716816,1.6017723,4.761124402284622,4.2497992515563965,4.904910922050476,4.077158868312836,4.687098041176796,4.509255290031433,4.531557795902093
0.92197496,0.8736691,0.95098186,0.8819964,0.8965419,0.92937624,0.90909004,1.2257731,1.1074295,1.3048989,1.1271724,1.1619973,1.24509,1.1953936,3.9841070771217346,3.766641765832901,4.115341976284981,3.805363178253174,3.8715217262506485,4.019472002983093,3.9270746211210885
0.80916506,0.89231795,0.8025194,0.942143,0.81613266,0.84163207,0.8506517,0.9671267,1.1515932,0.9529594,1.2799861,0.9822578,1.0365281,1.061742,3.468981012701988,3.85102815926075,3.4385010600090027,4.076071456074715,3.5045433789491653,3.6228451877832413,3.660328375796477
0.92177474,0.94831145,0.90870756,0.91011554,0.9685833,0.9193255,0.92946965,1.2252445,1.29756,1.1919249,1.1954492,1.3547121,1.2187892,1.24728,3.9832059293985367,4.102937504649162,3.9253797382116318,3.932153433561325,4.19493243098259,3.9743363857269287,4.018824237088363
0.9825996,0.9166455,1.0019202,0.920643,0.9558318,0.96281904,0.95674324,1.3970912,1.2120582,1.4552062,1.2223419,1.3181884,1.3376714,1.3237596,4.25601452589035,3.9606306701898575,4.343137145042419,3.9794962853193283,4.137856513261795,4.169397056102753,4.141088699301084
0.8789909,0.89129287,0.8896117,0.93508154,0.85280514,0.89602935,0.89063525,1.1196496,1.1491257,1.1452197,1.2607075,1.0604278,1.1607076,1.1493063,3.790237382054329,3.846404328942299,3.8393154740333557,4.0443770587444305,3.673369437456131,3.8695648312568665,3.8438780854145684
0.869328,0.92006606,0.861333,0.89939845,0.910068,0.8874741,0.89127797,1.0971843,1.2208948,1.0793134,1.168913,1.1953487,1.1402005,1.1503091,3.746403008699417,3.976019471883774,3.7111278623342514,3.8839127868413925,3.932405263185501,3.8309969007968903,3.8468108822902045
0.93644357,0.93122244,0.9408627,0.92941576,0.9475,0.93359256,0.9365061,1.2646285,1.250489,1.2766619,1.2454516,1.2947899,1.25639,1.2647351,4.049169272184372,4.026191309094429,4.069940373301506,4.018928110599518,4.100519046187401,4.038408771157265,4.050526147087415
0.92561334,0.903575,0.9367607,0.93285894,0.89319307,0.9244352,0.919406,1.2353901,1.1790292,1.2654264,1.2547044,1.1538919,1.2320353,1.2200795,4.000476375222206,3.9017900824546814,4.05152402818203,4.03439961373806,3.8564302027225494,3.9972901344299316,3.973651739458243
0.88416433,0.90904444,0.8838786,0.9037381,0.89752394,0.8984928,0.89614034,1.1319238,1.1927177,1.1316129,1.1795268,1.1643883,1.1666808,1.1611418,3.813667967915535,3.9264310151338577,3.813425451517105,3.903454914689064,3.8759518414735794,3.8806643337011337,3.868932587405046
0.9035723,0.9285317,0.9058507,0.9284462,0.92652017,0.9137774,0.9177831,1.1788182,1.2432607,1.1847664,1.2428635,1.2377026,1.2046288,1.2153401,3.9012569934129715,4.014100879430771,3.9125286042690277,4.014575108885765,4.006348177790642,3.9494186639785767,3.966371404627959
0.92689943,0.9123291,0.93346095,0.928326,0.91267985,0.924658,0.9230588,1.2388245,1.2010508,1.2564868,1.2425442,1.2019612,1.2326211,1.2289147,4.006263241171837,3.9412248879671097,4.036709666252136,4.0140364319086075,3.944156691431999,3.998294845223427,3.9901142939925194
0.9044398,0.9095305,0.9076602,0.9124928,0.90149546,0.91177154,0.9078984,1.1809756,1.1939486,1.1892979,1.2014787,1.1740545,1.1995397,1.1898825,3.905167430639267,3.928626701235771,3.9206821471452713,3.9428647607564926,3.8938339799642563,3.940403088927269,3.9219296847780547
0.8976757,0.92323494,0.90091044,0.92607516,0.9150384,0.9102123,0.9121912,1.1643673,1.2291912,1.1725802,1.2365673,1.2079492,1.1956097,1.2010441,3.8746852427721024,3.990286961197853,3.89028862118721,4.003922641277313,3.954761102795601,3.933393582701683,3.9412230253219604
0.9170581,0.91565245,0.9214684,0.924243,0.91739434,0.9187854,0.9191003,1.2129874,1.2095225,1.2245679,1.2317396,1.2139683,1.2174027,1.2183647,3.9619911462068558,3.9561856538057327,3.9828065782785416,3.9956893771886826,3.9653506129980087,3.971926122903824,3.972324915230274
0.9127109,0.9128907,0.9170209,0.9194996,0.906657,0.91725886,0.9143396,1.2018468,1.2024798,1.2130705,1.2193965,1.1867929,1.213486,1.2061788,3.942428156733513,3.943762928247452,3.9628125727176666,3.9743728935718536,3.917064517736435,3.965069353580475,3.950918403764566
0.902075,0.9198096,0.9057293,0.9240099,0.91196996,0.9126067,0.9127001,1.1751161,1.2202487,1.1844707,1.231128,1.2001628,1.2016593,1.2021309,3.894514963030815,3.97489070892334,3.911997377872467,3.9946436882019043,3.940969705581665,3.944166377186775,3.9435304701328278
0.91091883,0.91667914,0.91493773,0.9226169,0.9168118,0.91545004,0.91623574,1.1973048,1.2121692,1.2077379,1.2274829,1.2124791,1.2088757,1.2110082,3.934364765882492,3.960815444588661,3.9534498006105423,3.9883840829133987,3.9627376943826675,3.956947475671768,3.9594498773415885
0.9135275,0.91535944,0.9181672,0.92305666,0.9098623,0.9180014,0.9163291,1.20393,1.2087818,1.2160316,1.2286307,1.1948419,1.2153933,1.2112683,3.9461083710193634,3.9548832923173904,3.9679784327745438,3.990360349416733,3.9314929395914078,3.968413546681404,3.959872821966807
0.90677506,0.9181965,0.91041446,0.9227367,0.9123401,0.9151322,0.9142658,1.186831,1.2160861,1.1962525,1.2277938,1.2011081,1.208072,1.2060238,3.9157018065452576,3.967651352286339,3.933105617761612,3.9889220148324966,3.942641243338585,3.9555273950099945,3.9505915716290474
0.90901595,0.9171894,0.9131959,0.9228407,0.91533434,0.9146875,0.9153773,1.1924815,1.2134991,1.2033178,1.2280642,1.2087138,1.2069464,1.208837,3.9258021861314774,3.963128849864006,3.945629671216011,3.9893895387649536,3.9561063051223755,3.953532874584198,3.9555982376138368
0.9124031,0.91647255,0.9170477,0.9239548,0.91176826,0.91741717,0.9165106,1.2010788,1.2116585,1.2131592,1.2309787,1.1996636,1.2139046,1.2117406,3.9410587400197983,3.959912061691284,3.9629608392715454,3.9943959563970566,3.9400774985551834,3.965802490711212,3.9607012644410133
0.9094365,0.9176496,0.9131153,0.92244655,0.9132089,0.9164665,0.91538715,1.1935558,1.2146972,1.2031232,1.2270315,1.2033297,1.2114779,1.2088691,3.9277058094739914,3.965216875076294,3.9452828466892242,3.9876166731119156,3.9465628564357758,3.961537778377533,3.955653806527456
0.90912586,0.9175411,0.9134607,0.923457,0.9143777,0.9150483,0.9155018,1.192775,1.2144272,1.2040051,1.2296705,1.206295,1.207873,1.2091743,3.9263129234313965,3.964739665389061,3.946845605969429,3.9921578019857407,3.951822593808174,3.9551738649606705,3.956175409257412
0.91155714,0.91690415,0.91603446,0.9236746,0.9130191,0.9169339,0.91635394,1.1989517,1.2127997,1.2105789,1.2302388,1.2028592,1.2126826,1.2113519,3.937269374728203,3.961886838078499,3.9584334939718246,3.993135690689087,3.9457228034734726,3.9636537432670593,3.9600169907013574
0.9105952,0.9176521,0.9144656,0.9228111,0.91374505,0.91695887,0.916038,1.1965212,1.2147363,1.2065796,1.2279769,1.2047049,1.2127547,1.2105455,3.9329469203948975,3.9652660489082336,3.951391577720642,3.9892535656690598,3.9489958435297012,3.9637770503759384,3.9586051677664122
0.9098176,0.91770595,0.9141701,0.9236979,0.91413003,0.9156608,0.91586375,1.1945554,1.2148931,1.2058407,1.2302938,1.2056897,1.2094524,1.2101208,3.929455950856209,3.9655283093452454,3.9500799030065536,3.9932385087013245,3.9507385343313217,3.9579596370458603,3.957833473881086
0.91118777,0.9171061,0.9155306,0.92335624,0.913776,0.9167277,0.91628075,1.1980491,1.2133698,1.2093343,1.2293957,1.2048038,1.2121872,1.2111901,3.935641795396805,3.962855041027069,3.9562225341796875,3.991701826453209,3.9491619914770126,3.962770104408264,3.9597255488236747
0.9109513,0.91767484,0.91502833,0.9232684,0.91396713,0.91698116,0.9163118,1.1974697,1.214866,1.2080759,1.2291613,1.2053046,1.2128549,1.2112888,3.9345968514680862,3.9654456079006195,3.9539940655231476,3.991304710507393,3.9500419050455093,3.9639323949813843,3.9598859225710235
