MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE_avg,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE_avg,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE_avg
6.8613935,9.489723,7.578192,6.3161263,6.328042,8.2216625,7.465856,47.470913,90.445435,57.820816,40.284237,40.433727,67.98311,57.406372,29.450520873069763,40.705445408821106,32.52277374267578,27.120324969291687,27.173203229904175,35.2853000164032,32.04292804002762
2.352138,3.1128879,2.5354953,2.5732653,2.6242433,2.2854688,2.5805829,5.922843,10.079386,6.8198295,7.0130167,7.2755246,5.6115537,7.120359,9.998763352632523,13.256575167179108,10.784828662872314,10.947416722774506,11.166921257972717,9.716976433992386,10.978580266237259
0.7729605,0.8001385,0.96580803,0.6471597,0.5359938,1.1011548,0.80386925,0.9191486,0.88993126,1.242027,0.59023124,0.55668885,1.5637755,0.96030045,3.365865722298622,3.3769816160202026,4.075183719396591,2.744484134018421,2.3370420560240746,4.650093242526054,3.424941748380661
0.5508929,0.665584,0.52042866,0.8270681,0.6018391,0.5035377,0.6115584,0.43187055,0.635093,0.40098694,0.9444024,0.5113553,0.47065714,0.56572753,2.3490948602557182,2.8133349493145943,2.2300805896520615,3.4894373267889023,2.554020844399929,2.1896617487072945,2.604271719853083
0.75193703,1.2875417,1.0164479,0.9181965,0.8218005,0.78318727,0.92985183,0.8497861,2.0062053,1.3408672,1.1387341,0.96365243,0.89918554,1.1997384,3.272325173020363,5.5804140865802765,4.413264989852905,3.989855572581291,3.574386239051819,3.407982736825943,4.0397047996521
0.49790537,0.542185,0.50924253,0.50549537,0.5224534,0.50296766,0.51337487,0.42800748,0.5546035,0.49858075,0.4794632,0.40021905,0.467672,0.47142434,2.156117744743824,2.3633399978280067,2.2172141820192337,2.198694087564945,2.2372059524059296,2.1867649629712105,2.226556154588858
0.8461121,0.49909824,0.60828215,0.73245674,0.7222791,0.7032525,0.68524677,1.0060091,0.40862942,0.6461438,0.8196347,0.804587,0.7769894,0.74366564,3.6785781383514404,2.1550532430410385,2.6516232639551163,3.188638389110565,3.144918754696846,3.0630096793174744,2.980303578078747
0.6659152,0.58662885,0.52744204,0.62800336,0.89833146,0.5851818,0.64858377,0.72428304,0.61541826,0.53552794,0.6740523,1.1003064,0.61351126,0.7105165,2.900901436805725,2.5572797283530235,2.298962138593197,2.7374276891350746,3.904350847005844,2.5517662987113,2.8251146897673607
0.5001241,0.6437772,0.53019226,0.5058866,0.5659245,0.50569135,0.5419327,0.4518377,0.6944888,0.53906673,0.48159644,0.5869938,0.4823146,0.539383,2.170778438448906,2.8053205460309982,2.3110002279281616,2.2006845101714134,2.4675950407981873,2.200637012720108,2.3593359626829624
0.5581467,0.57284343,0.69706047,0.55276656,0.49799234,0.6269796,0.5842982,0.5763417,0.5963405,0.76782864,0.5689371,0.42116225,0.67294514,0.60059255,2.433050237596035,2.4972209706902504,3.0356602743268013,2.4098997935652733,2.155534364283085,2.7334749698638916,2.5441401017208896
