MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE_avg,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE_avg,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE_avg
10.325402,11.788353,9.0100565,8.36647,5.8126316,7.8080473,8.851827,107.040245,139.38824,81.60311,70.41736,34.20571,61.378674,82.33889,44.41967010498047,50.70762038230896,38.779416680336,36.018356680870056,25.049757957458496,33.62460732460022,38.09990485509237
1.3569216,1.2556041,1.5829852,1.5468897,1.4408828,1.6787889,1.477012,2.228,1.9500556,2.9088182,2.7967257,2.499922,3.2341483,2.602945,5.753984302282333,5.324023216962814,6.723754853010178,6.569182872772217,6.112146005034447,7.135884463787079,6.269829285641511
0.53577745,1.3982639,1.0209918,1.1081067,1.4866251,0.6343934,1.030693,0.5246723,2.3314617,1.357449,1.5552689,2.5990849,0.66724825,1.5058641,2.332807704806328,6.07876181602478,4.448337107896805,4.825647920370102,6.461180746555328,2.7710439637303352,4.486296543230613
0.94435674,0.4931576,0.8471015,0.67213196,0.487317,0.6315622,0.67927116,1.195437,0.4313109,1.0119982,0.72775596,0.4244877,0.6627807,0.7422951,4.115387797355652,2.1276114508509636,3.69504913687706,2.9354315251111984,2.1055027842521667,2.758627198636532,2.956268315513929
0.5698638,1.0946615,0.59647095,0.7427116,1.2465839,0.75398296,0.8340458,0.57176846,1.5235871,0.6098689,0.83801913,1.9005101,0.85557616,1.0498883,2.4840736761689186,4.766642302274704,2.602798491716385,3.2427240163087845,5.424433946609497,3.2924510538578033,3.6355205811560154
0.54206437,0.4855189,0.5671366,0.4956668,0.4938807,0.5727365,0.52616733,0.53296584,0.43474203,0.56744766,0.47461495,0.42218322,0.57444906,0.5010671,2.36076507717371,2.0982924848794937,2.473357133567333,2.156047336757183,2.130766399204731,2.4998152628540993,2.2865072824060917
0.94816893,0.63213277,0.88659436,0.80885214,0.49404204,0.6503284,0.7366864,1.2031335,0.6641549,1.0840894,0.9454514,0.47192928,0.69243896,0.84353286,4.131902754306793,2.7590179815888405,3.866199776530266,3.5296667367219925,2.149473875761032,2.8409089893102646,3.212861685703198
0.5183216,0.77292407,0.5400542,0.6099504,0.87153226,0.610586,0.6538947,0.5028515,0.8853075,0.52951276,0.6298524,1.0565187,0.6303362,0.7057299,2.2550735622644424,3.372795879840851,2.3532425984740257,2.662700228393078,3.8017630577087402,2.6665030047297478,2.8520130552351475
0.5628483,0.5706555,0.5921935,0.5671414,0.72207546,0.68789345,0.61713463,0.5618103,0.57276654,0.6036027,0.56712186,0.8067254,0.753492,0.6442531,2.4530168622732162,2.4882718920707703,2.5839602574706078,2.473987638950348,3.1536001712083817,3.0052511021494865,2.6930146540204682
0.8215392,0.6009577,0.7396237,0.71865505,0.5152973,0.628914,0.67083114,0.9659489,0.61665285,0.83309364,0.8016599,0.4966839,0.6586078,0.7287745,3.5830769687891006,2.621934749186039,3.2288257032632828,3.138318285346031,2.2444000467658043,2.7470076456665993,2.9272605665028095
