MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE_avg,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE_avg,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE_avg
6.6539593,7.3741527,5.6811657,8.325318,7.8843617,5.4446483,6.8939342,45.29606,55.37894,33.306633,70.3094,63.178326,30.675108,49.690746,32.37024247646332,35.8469158411026,27.67229974269867,40.44145047664642,38.31334710121155,26.5298068523407,33.52901041507721
1.5530484,0.94810206,1.9563608,1.0274327,0.79598916,1.935717,1.3694415,3.4194965,1.7378782,4.8568664,1.9456966,1.2635666,4.775159,2.9997776,7.276434451341629,4.38041016459465,9.222066402435303,4.753467813134193,3.6883044987916946,9.122517704963684,6.407200172543526
1.9987745,1.5223136,2.3457363,1.6014141,1.4593133,2.1119025,1.839909,4.926969,3.3661256,6.416829,3.4928634,3.0500693,5.4249196,4.446296,9.43910926580429,7.123206555843353,11.11738383769989,7.519500702619553,6.834110617637634,9.981217980384827,8.669088159998259
1.4358431,1.2529988,1.780035,1.2358212,0.9436006,1.5050416,1.35889,2.511723,1.9843876,3.704033,1.9425013,1.3243563,2.730682,2.3662806,7.0345766842365265,6.12480603158474,8.736369013786316,6.039129197597504,4.575653746724129,7.377651333808899,6.648031001289685
0.7680155,0.766863,0.7771318,0.78054315,0.86120796,0.7826994,0.7894101,1.0482668,1.0484403,1.1177626,1.0585345,1.2011225,1.141892,1.1026698,3.6414146423339844,3.632931038737297,3.6424852907657623,3.7231963127851486,4.160075262188911,3.6621391773223877,3.7437069540222487
1.1136359,1.0554192,1.2772762,1.1674304,0.9649387,1.155185,1.1223141,1.6499945,1.5266781,2.0492516,1.7718884,1.3578429,1.7430866,1.6831237,5.428895726799965,5.137302353978157,6.245812401175499,5.697726085782051,4.683085158467293,5.636592581868172,5.471569051345189
0.82062244,0.93722695,0.77520263,0.7893652,0.8136473,0.81672704,0.82546526,1.1473056,1.312769,1.0513765,1.0740876,1.1296563,1.1375376,1.1421221,3.9528992027044296,4.543640837073326,3.6901265382766724,3.775719553232193,3.914589434862137,3.931538015604019,3.968085596958796
0.81419766,0.7839788,0.9085485,0.89169115,0.91573226,0.79243374,0.85109705,1.1308683,1.0640043,1.2678745,1.243539,1.2784656,1.080513,1.1775441,3.9172813296318054,3.7438642233610153,4.399091005325317,4.313994571566582,4.435329511761665,3.7939202040433884,4.100580140948296
0.9935011,1.0012549,0.95592463,0.9724243,0.9075952,1.0116842,0.97373074,1.4088944,1.4225855,1.3431668,1.371588,1.2660563,1.442037,1.3757213,4.826658219099045,4.865583777427673,4.637773334980011,4.720725119113922,4.394287243485451,4.91795614361763,4.727163972953956
0.8238555,0.908075,0.8120434,0.8076887,0.82663524,0.8442947,0.8370988,1.155756,1.2672064,1.1257663,1.1150345,1.1591945,1.1808233,1.1672968,3.9707154035568237,4.396690800786018,3.905590996146202,3.8809679448604584,3.9851870387792587,4.074530303478241,4.035613747934501
0.85222054,0.79851425,0.8965514,0.90296435,0.9057882,0.807248,0.8605478,1.1908327,1.0939671,1.2500944,1.2598785,1.2632585,1.1140186,1.1953416,4.114643856883049,3.8292940706014633,4.338575154542923,4.370898753404617,4.385186359286308,3.8785073906183243,4.152850930889447
0.9136079,0.94758546,0.8960866,0.8989373,0.89427316,0.9448839,0.9158957,1.276037,1.3293238,1.2493726,1.2539773,1.246278,1.3253516,1.2800568,4.424610733985901,4.595815762877464,4.33623343706131,4.350582510232925,4.327090829610825,4.5822083950042725,4.436090278128783
0.8609327,0.902305,0.8473162,0.83734816,0.84015125,0.858134,0.8576979,1.2019488,1.2583905,1.1839617,1.1724145,1.1746993,1.1982177,1.1982721,4.158702492713928,4.367599636316299,4.089868441224098,4.039390385150909,4.053636267781258,4.1445329785346985,4.142288366953532
0.8582346,0.8125344,0.8830637,0.89052993,0.9007646,0.82333213,0.8614099,1.1984433,1.126997,1.2306982,1.2416934,1.2554604,1.1546638,1.201326,4.145064577460289,3.9084363728761673,4.27049845457077,4.308151081204414,4.359874129295349,3.9679430425167084,4.15999460965395
0.88920724,0.91743976,0.8818575,0.873291,0.88220334,0.8973272,0.8902211,1.240032,1.2809836,1.2289201,1.21785,1.2287152,1.2516296,1.2413551,4.301484674215317,4.443970322608948,4.264416918158531,4.221123084425926,4.266193509101868,4.3424587696790695,4.3066078796982765
0.8742094,0.8877011,0.86390555,0.8660936,0.85348773,0.8712823,0.8694465,1.2192822,1.2367939,1.2047377,1.2082164,1.1905085,1.2153273,1.2124776,4.225770756602287,4.293916001915932,4.173776134848595,4.184780642390251,4.121149703860283,4.210971295833588,4.201727422575156
0.86186105,0.83045954,0.88306963,0.8779362,0.8964768,0.8400258,0.8649716,1.2029234,1.1629778,1.2302454,1.2238466,1.2483841,1.1755954,1.2073287,4.163403809070587,4.004592075943947,4.270556941628456,4.244589060544968,4.338294267654419,4.052938520908356,4.179062445958455
0.8829421,0.8952143,0.87204504,0.87024385,0.8716835,0.87963223,0.8786268,1.2309407,1.2468088,1.2149444,1.213339,1.2132202,1.226454,1.2242845,4.269867762923241,4.331883788108826,4.214915633201599,4.2057618498802185,4.213154688477516,4.253134876489639,4.248119766513507
0.8732529,0.87952775,0.87605727,0.87351656,0.86625284,0.87328625,0.87364894,1.2174722,1.2238262,1.2197505,1.2172952,1.2049991,1.2177422,1.2168475,4.220961779356003,4.252723231911659,4.235196486115456,4.222303256392479,4.185779020190239,4.221103340387344,4.22301118572553
0.8699498,0.8503616,0.8779503,0.87406915,0.8888619,0.8499353,0.8685214,1.2124306,1.1838086,1.2211027,1.2171671,1.2337161,1.1872344,1.2092432,4.204307869076729,4.105445370078087,4.24480028450489,4.2251259088516235,4.300012066960335,4.103095456957817,4.197131159404914
0.87792337,0.8872469,0.8759223,0.87211955,0.87352943,0.8762334,0.8771625,1.2228572,1.2321815,1.2178681,1.2142279,1.2117201,1.2212728,1.2200212,4.244567826390266,4.2917650192976,4.234563931822777,4.215281084179878,4.2225949466228485,4.235994070768356,4.240794479846954
0.87748665,0.88263917,0.8832652,0.87844634,0.8814746,0.86899847,0.87871844,1.2235956,1.2293959,1.2304534,1.2244618,1.2270858,1.2122202,1.2245355,4.242336004972458,4.268427565693855,4.271586239337921,4.247189685702324,4.262621700763702,4.199454560875893,4.248602626224359
0.8715924,0.85703945,0.8742226,0.87135005,0.87909657,0.86062014,0.86898685,1.2156616,1.195352,1.2180669,1.2148733,1.2237598,1.2012348,1.2114915,4.212585091590881,4.139149934053421,4.225949943065643,4.211375862360001,4.250648990273476,4.157129675149918,4.199473249415557
0.87340677,0.87972045,0.8767409,0.87097466,0.8699897,0.86781585,0.8731081,1.2179573,1.2249984,1.2212001,1.2141917,1.2110382,1.2105314,1.2166528,4.221757128834724,4.253750294446945,4.2386941611766815,4.209500923752785,4.204726219177246,4.193500801920891,4.220321588218212
0.87797093,0.87421906,0.879614,0.8774449,0.8812146,0.8718838,0.87705797,1.2239331,1.2170281,1.2247399,1.2226042,1.2255915,1.2157701,1.2216113,4.2448170483112335,4.22602966427803,4.253242909908295,4.242199286818504,4.261480271816254,4.2140621691942215,4.240305225054423
0.87201875,0.8657504,0.87695545,0.8707659,0.8743905,0.8621157,0.8703328,1.2156565,1.2050456,1.2205515,1.213227,1.2153488,1.202728,1.2120929,4.214796423912048,4.183344915509224,4.239887371659279,4.208526015281677,4.227146506309509,4.164744168519974,4.206407566865285
