MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE_avg,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE_avg,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE_avg
1.0583726,0.6334023,1.0603325,0.92066455,1.656145,0.7855876,1.0190841,1.518242,0.5860033,1.524747,1.1982734,3.1868806,0.89998645,1.4856888,4.25577349960804,2.557934448122978,4.265565797686577,3.701614961028099,6.699416786432266,3.1608369201421738,4.106857068836689
9.36504,11.071482,7.9122105,6.2741346,7.661223,8.83681,8.52015,88.15952,123.029686,63.053226,39.812515,59.138588,78.53012,75.28727,38.353508710861206,45.33563852310181,32.426100969314575,25.732707977294922,31.41024112701416,36.221328377723694,34.91325428088506
1.4915868,0.89121556,1.0894817,2.2236784,1.8341293,1.4117807,1.4903121,2.6915576,1.1251694,1.5927337,5.3984895,3.814939,2.438064,2.8434925,6.019038334488869,3.582669422030449,4.384194687008858,9.01794359087944,7.426753640174866,5.7006411254405975,6.021873466670513
2.0327902,2.3120916,3.0027618,2.6601515,2.8358784,2.2209737,2.5107746,4.614523,5.834396,9.472561,7.522005,8.496656,5.4022093,6.890392,8.230378478765488,9.37378853559494,12.20133975148201,10.80353930592537,11.523941159248352,9.009525924921036,10.190418859322866
2.6461692,1.9975804,3.185622,4.05873,3.9640982,3.8996375,3.2919729,10.030468,6.2186694,12.058294,22.846746,22.459217,19.749605,15.5605,10.703498870134354,8.090762794017792,12.920378148555756,16.464580595493317,16.08329564332962,15.82888811826706,13.348567361632982
1.9095011,0.59365416,1.143981,1.5957654,0.9267717,1.9238299,1.3489171,4.105753,0.5469431,1.7463524,2.9964004,1.1792102,4.143853,2.4530854,7.881405204534531,2.4541273713111877,4.751864075660706,6.601071357727051,3.852088749408722,7.943688333034515,5.580707515279452
0.53307974,0.76103055,1.7150295,0.98214906,0.5623363,1.2812239,0.9724748,0.45981702,0.8253165,3.3943124,1.336537,0.4680037,2.0843894,1.4280626,2.1802984178066254,3.159685432910919,7.08802342414856,3.9504077285528183,2.2905783727765083,5.3150903433561325,3.997347286591927
0.72532564,0.71023285,1.2991965,0.89722925,0.9040945,0.7887458,0.8874708,0.7545435,0.7255082,2.1211305,1.1133907,1.1275378,0.89029604,1.1220678,2.9218683019280434,2.862563170492649,5.238146707415581,3.728910908102989,3.757813572883606,3.1756509095430374,3.6141589283943176
0.6329749,0.6179758,1.1684368,0.501179,0.5382447,1.1633942,0.77036756,0.595872,0.5754049,1.7817318,0.4636795,0.4906018,1.7610816,0.9447286,2.619302272796631,2.5565780699253082,4.705522954463959,2.0633798092603683,2.222028188407421,4.688528925180435,3.1425567033390203
0.5810879,0.5092874,0.64473265,0.6924562,0.636249,0.49989334,0.5939511,0.5318305,0.46247417,0.6133402,0.69189817,0.58090717,0.45567292,0.5560205,2.3999815806746483,2.092474512755871,2.670236863195896,2.7930164709687233,2.573847770690918,2.058345265686512,2.4313170773287616
