MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE_avg,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE_avg,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE_avg
1.1577499,0.9308168,0.92619026,1.0351229,1.1298089,1.0297902,1.0349132,2.100077,1.0794656,1.2195954,1.351097,1.9375418,1.8143619,1.5836898,5.083886161446571,4.338110983371735,4.36176210641861,4.6341560781002045,4.97836172580719,4.919997602701187,4.719379109640916
10.350059,1.6560153,1.0556388,7.078661,9.08523,1.3095964,5.0892,108.37989,4.015535,2.0182714,51.428444,83.85966,2.7493365,42.075188,47.62575626373291,7.862739264965057,5.047938227653503,32.682496309280396,41.868430376052856,5.740010365843773,23.471228467921417
3.6368287,3.2064013,3.2011657,3.4748547,4.0567946,2.7094831,3.3809211,14.078257,12.039188,12.041023,12.322319,17.595861,11.831483,13.318023,16.789157688617706,14.330348372459412,14.303968846797943,15.839223563671112,18.740198016166687,11.870305985212326,15.312200412154198
3.0008538,3.081883,2.9682984,3.0649137,3.3366904,1.8113872,2.8773377,10.94137,11.058808,10.319256,11.286832,13.175615,4.6719604,10.242307,13.374146819114685,13.780443370342255,13.266754150390625,13.67197334766388,14.902707934379578,7.98700824379921,12.830505644281706
2.6413705,1.5832661,1.6455292,3.2271776,3.9029572,1.1397352,2.3566725,8.342976,3.7331824,4.0036106,11.965961,16.859716,1.6864804,7.7653217,11.78506314754486,6.961631029844284,7.2384461760520935,14.447622001171112,17.533153295516968,5.082975327968597,10.508148496349653
1.2449069,0.92617965,0.99483496,2.0511308,2.845639,1.021651,1.5140572,2.433334,1.1170043,1.1206399,5.4770904,9.466492,1.3653936,3.496659,5.4606843739748,4.328523576259613,4.578511789441109,9.096979349851608,12.721912562847137,4.786834865808487,6.828907753030459
0.9028917,1.420524,1.1853186,0.760886,0.91208017,0.9387289,1.0200716,1.3739475,2.6507533,1.954721,1.0022404,0.94216454,1.350478,1.5457174,4.300379753112793,6.697531044483185,5.610688030719757,3.62277589738369,4.174879938364029,4.442643001675606,4.80814961095651
0.8685936,0.9946567,0.883939,0.76105034,1.1086259,0.9815207,0.9330644,1.0289546,1.4739075,1.0991132,0.9089418,1.7228116,1.3059291,1.2566097,4.065750539302826,4.3931081891059875,3.9255239069461823,3.6133360117673874,5.250537022948265,4.368019104003906,4.2693791290124254
0.9141936,1.5929948,1.1807231,0.598965,0.7488657,0.95181304,0.99792594,1.1569349,3.4891422,2.069791,0.49121368,0.7891325,1.4112473,1.5679102,4.071298986673355,7.041947543621063,5.196701362729073,2.6977648958563805,3.5382885485887527,4.183812066912651,4.454968900730212
0.5261285,0.36836722,0.62817144,0.78859544,1.2764366,0.70689857,0.71576625,0.39862832,0.23356861,0.59863615,0.9370816,2.4987273,0.8656073,0.9220416,2.353294938802719,1.6926879063248634,2.8214192017912865,3.5355716943740845,5.702224746346474,3.20134200155735,3.217756748199463
0.73974526,0.41450188,0.2603681,0.7371328,0.59193426,0.31985742,0.51058996,0.73315054,0.2920132,0.13536672,0.6410168,0.46316183,0.1948613,0.4099284,3.3309709280729294,1.8702134490013123,1.1866786517202854,3.36073637008667,2.7087731286883354,1.45827392116189,2.319274408121904
0.42445755,0.6092219,0.34940293,0.46433243,0.83067167,0.3449602,0.5038411,0.30927485,0.5470032,0.16537714,0.317966,0.8022088,0.18566161,0.38791525,1.9375169649720192,2.773405984044075,1.5983954071998596,2.124031074345112,3.7719115614891052,1.5722932294011116,2.296259036908547
0.58392435,0.8745285,0.40222776,0.27005723,0.74382156,0.33579963,0.53505987,0.5883749,0.96839035,0.21747863,0.11025777,0.67678213,0.18178524,0.4571782,2.656480483710766,3.9896033704280853,1.8557734787464142,1.23258950188756,3.3520828932523727,1.5365933999419212,2.4371871879945197
0.45036125,0.46187934,0.2739933,0.25569007,0.5651729,0.27393493,0.38017198,0.36219049,0.32341126,0.16627984,0.09974026,0.425261,0.16628155,0.25719407,2.0555924624204636,2.128811925649643,1.26121137291193,1.1682718060910702,2.536642551422119,1.2521862983703613,1.733786069477598
0.38567472,0.46303928,0.41017044,0.24655621,0.30684194,0.32435095,0.35610557,0.3430584,0.35514137,0.2584154,0.10434843,0.16224194,0.18979366,0.23549987,1.7582498490810394,2.076861821115017,1.8383471295237541,1.128545869141817,1.388430967926979,1.4669678173959255,1.6095672423640888
0.49679703,0.6771591,0.38297576,0.26934174,0.32693136,0.27766094,0.4051443,0.42793304,0.6390887,0.22873673,0.10343507,0.1383313,0.16047013,0.28299916,2.2496894001960754,3.0217165127396584,1.7205484211444855,1.2331429868936539,1.4920060522854328,1.2660868465900421,1.8305317033082247
0.38684142,0.5630709,0.26586348,0.31341857,0.53902406,0.31569177,0.39731836,0.3201925,0.45814988,0.12466884,0.12791888,0.41073257,0.15390193,0.2659274,1.7655957490205765,2.522500976920128,1.2134957127273083,1.430820021778345,2.44890209287405,1.4403397217392921,1.8036090458432834
0.37732878,0.30249137,0.31473935,0.3146891,0.5632352,0.35133538,0.37063655,0.24374112,0.19383103,0.12885596,0.123355806,0.4588727,0.18020712,0.22147729,1.723037101328373,1.3795588165521622,1.432990562170744,1.4321820810437202,2.547026611864567,1.6015931963920593,1.686064728225271
0.39351997,0.3593385,0.3365979,0.29460895,0.4000459,0.36163804,0.35762486,0.23125233,0.18448627,0.14429636,0.118745655,0.22050692,0.19468094,0.18232806,1.7930259928107262,1.6356784850358963,1.529578771442175,1.3436845503747463,1.8169308081269264,1.6503263264894485,1.6282041557133198
0.3675205,0.40737113,0.32063225,0.29108828,0.3272908,0.34734276,0.34354094,0.2027779,0.24158283,0.1287922,0.15678297,0.16370964,0.19153553,0.1808635,1.6745464876294136,1.8535440787672997,1.4585774391889572,1.327942218631506,1.495572179555893,1.584865152835846,1.5658412594348192
0.33752757,0.4008613,0.29262307,0.26410538,0.38050285,0.32173774,0.33289298,0.18849327,0.23094493,0.111519225,0.1331006,0.23303269,0.16367157,0.17679371,1.542168390005827,1.8300088122487068,1.3317896984517574,1.2001934461295605,1.7205571755766869,1.467337366193533,1.5153424814343452
0.3267882,0.34064254,0.27823246,0.27136287,0.3815866,0.34014565,0.3231264,0.19035903,0.16918129,0.10638247,0.11168042,0.22705528,0.1775128,0.16369522,1.4986753463745117,1.5565063804388046,1.2669013813138008,1.2406552210450172,1.7159121111035347,1.560550183057785,1.473200103888909
0.3091506,0.29111382,0.2772262,0.3201782,0.29950452,0.34429386,0.3069112,0.17487532,0.13775739,0.10649074,0.13743654,0.16686086,0.18420288,0.15127063,1.4158112928271294,1.3259954750537872,1.2626168318092823,1.469377800822258,1.3599090278148651,1.5818215906620026,1.4025886698315542
0.2974273,0.30327114,0.28473923,0.32794657,0.30660352,0.31852922,0.30641952,0.15146254,0.17328495,0.111882426,0.13960625,0.14565742,0.1749788,0.14947873,1.356577593833208,1.3821499422192574,1.2965863570570946,1.4978766441345215,1.4007652178406715,1.4558863826096058,1.3983070229490597
0.30999443,0.33232903,0.29676327,0.3178325,0.34981576,0.3253964,0.3220219,0.150815,0.20174022,0.1255758,0.13228968,0.17014746,0.20428132,0.16414158,1.4126495458185673,1.5200531110167503,1.352129504084587,1.4481335878372192,1.596984826028347,1.4842284843325615,1.4690298431863387
0.32057828,0.31639537,0.28822568,0.30448505,0.35883683,0.3164883,0.31750157,0.15337811,0.15674469,0.1166279,0.13543278,0.1771557,0.19467518,0.15566908,1.4614259824156761,1.4434508979320526,1.3124307617545128,1.3886106200516224,1.6374332830309868,1.442828867584467,1.4476967354615529
0.32238454,0.31154528,0.27314472,0.2788743,0.33023044,0.29803622,0.30236927,0.15306892,0.13229293,0.10349308,0.12641193,0.14945132,0.15766948,0.1370646,1.4690675772726536,1.4167821034789085,1.2435282580554485,1.2709343805909157,1.5086693689227104,1.3598952442407608,1.3781461554268997
0.32581258,0.32316008,0.26601696,0.26124898,0.28847033,0.3007614,0.29424503,0.15820691,0.14710806,0.10079778,0.10827463,0.11966638,0.14571992,0.12996228,1.4846398495137691,1.4705183915793896,1.211872324347496,1.189760211855173,1.3171007856726646,1.3756085187196732,1.3415833469480276
0.3299164,0.31964725,0.2622999,0.2617539,0.26462853,0.2968219,0.28917798,0.16307539,0.14708081,0.09919787,0.09306295,0.117710024,0.13746029,0.12626456,1.5032244846224785,1.4552085660398006,1.1948179453611374,1.1924250982701778,1.2062795460224152,1.356752123683691,1.3181179606666167
0.33412778,0.3032235,0.26379767,0.27746013,0.26332605,0.2871477,0.28818047,0.1654649,0.1350256,0.09800452,0.097604126,0.12235353,0.12838322,0.12447265,1.5222439542412758,1.3799022883176804,1.200938317924738,1.2639674358069897,1.199973002076149,1.3090770691633224,1.3126836779216926
0.33254573,0.2896466,0.26925993,0.2854731,0.26805663,0.2865376,0.28858662,0.1637957,0.13311434,0.09935507,0.10324077,0.11447648,0.12733808,0.12355342,1.5152356587350368,1.318482682108879,1.225654873996973,1.3000098057091236,1.2225552462041378,1.3050355017185211,1.3144956280787785
0.3217842,0.28254044,0.27063057,0.26888537,0.27435607,0.28561288,0.28396824,0.15912397,0.14032023,0.101212874,0.09143628,0.10480888,0.12848532,0.12089792,1.4669444411993027,1.2867898680269718,1.2321826070547104,1.2250683270394802,1.2513295747339725,1.3010592199862003,1.293895673006773
0.309758,0.27866802,0.26544487,0.24526271,0.27388245,0.27475134,0.2746279,0.15667982,0.13864371,0.10036224,0.08763633,0.09868017,0.12195342,0.117325954,1.4127204194664955,1.2691106647253036,1.2089934200048447,1.1180384084582329,1.248930674046278,1.2514970265328884,1.2515484355390072
0.30417648,0.28069186,0.25788653,0.2300309,0.26658976,0.25735503,0.26612175,0.15359278,0.12882572,0.096839085,0.08995513,0.094214134,0.11163823,0.11251084,1.3873041607439518,1.2779874727129936,1.1746699921786785,1.0485737584531307,1.2161416932940483,1.172007992863655,1.2127808450410764
0.30593547,0.29022247,0.25286934,0.22414921,0.2538021,0.24552646,0.26208416,0.14905064,0.12731676,0.093313195,0.08171181,0.088070534,0.10681343,0.10771272,1.3949091546237469,1.3209995813667774,1.1518006213009357,1.021999679505825,1.1582436971366405,1.1193824000656605,1.1945558556665976
0.30874833,0.2948579,0.25146115,0.22995985,0.23699218,0.24068819,0.26045126,0.1452965,0.12757975,0.090972826,0.07539272,0.0823056,0.10598153,0.10458816,1.4071197248995304,1.341561321169138,1.1453391052782536,1.0485786013305187,1.0806776583194733,1.0988577269017696,1.1870223563164473
0.30700186,0.28824496,0.2516396,0.23620771,0.22696275,0.23898976,0.25817445,0.14206077,0.12236584,0.089793965,0.075608164,0.08213542,0.10483139,0.10279926,1.3989641331136227,1.3114027678966522,1.1461147107183933,1.0767199099063873,1.0346434079110622,1.091411430388689,1.176542726655801
0.3004259,0.2772781,0.24866241,0.2302204,0.22012725,0.23695652,0.25227842,0.13984509,0.12061231,0.08926907,0.07292891,0.080944,0.10311194,0.10111856,1.3692614622414112,1.2623312883079052,1.1326505802571774,1.0493996553122997,1.004003081470728,1.0818722657859325,1.1499197222292423
0.29157418,0.26713818,0.24071331,0.21421924,0.21098217,0.23300464,0.24293864,0.13740295,0.12237856,0.08861937,0.069526814,0.075174294,0.1018577,0.099159956,1.3289706781506538,1.2166188098490238,1.0967104695737362,0.9771496988832951,0.9624681435525417,1.0629828087985516,1.1074834348013003
