,train_loss
0,0.000905546247959137
1,0.011217440068721772
2,0.0005733441933989525
3,0.0009528101980686188
4,0.0011957715451717376
5,0.0005074500851333141
6,0.00032176907174289224
7,0.0003022888023406267
8,0.00024693853221833704
9,0.0002234206162393093
10,0.00023761026561260222
11,0.00023688215762376785
12,0.00021195334382355214
13,0.0002121642045676708
14,0.00022200122475624084
15,0.0002192368358373642
16,0.00021282105706632137
17,0.00020789201371371747
18,0.00020979111082851886
19,0.00021318164654076098
20,0.0002119333390146494
21,0.00021000700071454047
22,0.0002086472325026989
23,0.000208648182451725
24,0.00020960819907486438
25,0.00020921202376484872
26,0.0002085308637470007
27,0.00020820334553718568
28,0.0002080221101641655
29,0.0002082143072038889
30,0.00020821780897676946
31,0.00020800101570785047
32,0.00020753791555762292
33,0.00020682458765804767
34,0.00020638614892959595
35,0.0002059256937354803
36,0.00020476410165429115
37,0.00020280397497117518
38,0.00019928548485040665
39,0.00019475783221423626
40,0.00018647422082722188
41,0.0001709907315671444
42,0.00015589608810842037
43,0.00012044283095747233
44,8.206251077353954e-05
45,6.096235243603587e-05
46,5.177313811145723e-05
47,7.743412628769874e-05
48,5.849781387951225e-05
49,6.521544884890317e-05
