MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE_avg,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE_avg,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE_avg
2.3695567,2.5121448,2.8687603,2.256681,3.3082397,2.271274,2.5977762,6.166942,11.589138,13.5349655,9.096063,16.298138,7.9927955,10.779674,12.310148030519485,14.366167783737183,16.180717945098877,12.845633924007416,18.414585292339325,12.676496803760529,14.465624963243803
4.002882,4.3841705,5.008882,4.8958955,4.199463,4.508068,4.4998937,23.278156,26.382122,32.39492,31.26446,24.738998,27.513268,27.595322,18.453586101531982,20.397719740867615,23.551295697689056,22.978313267230988,19.46759819984436,21.021026372909546,20.978256563345592
2.3839092,2.8615453,3.4147906,2.740888,2.8111787,2.9868133,2.866521,6.0416703,12.712554,18.042618,11.241682,12.122595,14.085272,12.3744,12.15558648109436,13.125799596309662,15.59668779373169,12.67688125371933,12.932118773460388,13.646477460861206,13.355591893196106
4.789211,12.567959,7.365271,7.965764,6.8650775,2.827175,7.06341,30.145586,165.0916,61.411816,70.60446,54.287334,11.581967,65.520454,22.449085116386414,61.973363161087036,35.53901016712189,38.58937919139862,32.996681332588196,13.170558214187622,34.11967953046163
2.547385,2.5991158,2.5653772,2.6365473,2.7948925,2.6191056,2.6270704,9.500242,7.355591,7.1818485,7.9216857,11.094608,7.661791,8.452628,14.1214519739151,13.118761777877808,13.233117759227753,13.004380464553833,13.077722489833832,13.016416132450104,13.261975099643072
3.2625666,2.5952272,2.6342554,2.5770626,2.5554993,2.5877247,2.702056,16.694891,11.813481,7.8790617,10.9844265,10.03058,7.2621694,10.777435,14.892672002315521,14.753656089305878,13.011093437671661,14.534418284893036,14.262588322162628,13.117067515850067,14.095249275366465
2.626677,3.3299105,2.7181635,2.7565076,2.6548758,2.7390018,2.8041894,7.732498,17.33027,9.598767,10.373782,8.283228,10.075237,10.565631,13.041952252388,15.200552344322205,12.96195238828659,13.005395233631134,12.967771291732788,12.96657919883728,13.357367118199667
2.6275322,2.6757712,2.6670485,3.2686837,3.2344153,2.698752,2.8620338,7.7457366,8.671375,8.499567,16.769655,16.453373,9.254844,11.232425,13.040278851985931,12.968851625919342,12.970137596130371,14.917746186256409,14.760713279247284,12.930648028850555,13.59806259473165
2.6520672,2.5743134,2.6186194,2.6111622,2.71573,2.6023154,2.6290343,8.172399,7.1939735,7.6249723,7.5216584,9.591601,7.421023,7.920938,13.001342117786407,13.208693265914917,13.043707609176636,13.05692046880722,12.946058809757233,13.061551749706268,13.053045670191446
2.6650147,2.5896451,2.6463754,2.53194,2.546221,2.6173878,2.5994308,8.427354,7.270188,8.0977745,7.600475,7.2391295,7.6390505,7.7123284,12.986434996128082,13.149307668209076,12.991102039813995,13.478899002075195,13.298448920249939,13.017229735851288,13.153570393721262
2.6876798,2.628761,2.6627967,2.5810828,2.5326192,2.6700006,2.6271565,8.925887,7.779547,8.417907,7.215108,7.468996,8.625269,8.072118,12.964808940887451,13.027055561542511,12.971873581409454,13.158772885799408,13.414502143859863,12.940414249897003,13.079571227232615
2.6717334,2.674926,2.6419015,2.6910574,2.609191,2.6657286,2.6590898,8.576111,8.662765,8.019587,9.0541725,7.5103674,8.534198,8.392867,12.976494431495667,12.966030836105347,12.995797395706177,12.943010032176971,13.045728206634521,12.94383555650711,12.9784827431043
2.6349096,2.6920686,2.6329746,2.7477722,2.7586768,2.636972,2.6838958,7.8743606,9.0428505,7.8625584,10.217325,10.448481,7.975631,8.903534,13.021883368492126,12.955504655838013,13.010101020336151,12.988381087779999,13.00005316734314,12.975767254829407,12.991948425769806
2.6168032,2.667824,2.647871,2.698421,2.8357904,2.631965,2.6831124,7.583597,8.511979,8.129746,9.214995,11.722854,7.886488,8.84161,13.062876462936401,12.971977889537811,12.987077236175537,12.942606210708618,13.193240761756897,12.98389881849289,13.023612896601358
2.6258276,2.6328983,2.66334,2.6421444,2.7112765,2.6465893,2.6536796,7.727013,7.8524055,8.434885,8.03936,9.505721,8.151068,8.285076,13.038244843482971,13.016824424266815,12.96893060207367,12.986159324645996,12.941060960292816,12.963299453258514,12.985753268003464
2.6543891,2.6169322,2.6560504,2.6112096,2.6118135,2.6549118,2.634218,8.230394,7.595241,8.290606,7.528595,7.5484138,8.315598,7.918141,12.992218136787415,13.052916526794434,12.975698709487915,13.051016628742218,13.037872314453125,12.952902913093567,13.010437538226446
2.6762438,2.6226676,2.6356754,2.6057823,2.5701709,2.6438072,2.6257246,8.682242,7.6871142,7.9153175,7.4547496,7.170116,8.100159,7.8349495,12.969346344470978,13.036596775054932,13.00215870141983,13.066795468330383,13.185086846351624,12.966123223304749,13.037684559822083
2.6725628,2.640198,2.6269066,2.6176994,2.5785737,2.6285143,2.6274092,8.603362,7.9837694,7.7663426,7.6266418,7.200904,7.828092,7.8348517,12.972177565097809,13.002511858940125,13.01824152469635,13.032430410385132,13.152968883514404,12.989087402820587,13.027902940909067
2.653084,2.6537695,2.6355715,2.6378007,2.6225302,2.627755,2.6384184,8.209967,8.233533,7.9164515,7.9648247,7.71808,7.8159423,7.9764657,12.99164891242981,12.984947860240936,13.000677525997162,12.99087405204773,13.009454309940338,12.989991903305054,12.994599093993505
2.6366072,2.6545784,2.650849,2.6557238,2.6802795,2.6413941,2.6532385,7.913794,8.250358,8.194968,8.300279,8.842807,8.058917,8.260187,13.013246655464172,12.983506917953491,12.97915130853653,12.96793520450592,12.937411665916443,12.96762079000473,12.974812090396881
2.6308393,2.6472814,2.6569624,2.663314,2.7075665,2.6539285,2.659982,7.815848,8.112522,8.318111,8.45335,9.430116,8.30165,8.405266,13.023155927658081,12.992098927497864,12.970632314682007,12.960197031497955,12.938293814659119,12.951512634754181,12.972648441791534
2.6342144,2.6402733,2.650428,2.6585104,2.682373,2.6520414,2.6529734,7.875857,7.9889283,8.191249,8.357435,8.891797,8.2651205,8.261731,13.015300035476685,13.000355660915375,12.977646291255951,12.964248657226562,12.935513257980347,12.953110039234161,12.974362323681513
2.6439843,2.638191,2.6392994,2.6446183,2.6395023,2.639994,2.6409314,8.051046,7.9532924,7.9907002,8.089601,8.012257,8.037987,8.022481,12.998408079147339,13.002866506576538,12.990301847457886,12.98018991947174,12.978014349937439,12.96713650226593,12.986152867476145
2.6549225,2.6395805,2.6338224,2.6294863,2.610183,2.6311986,2.633199,8.259523,7.9795794,7.8957214,7.8228064,7.5280232,7.8834825,7.894856,12.983191013336182,12.999793887138367,12.997967004776001,13.003289699554443,13.03957998752594,12.979212403297424,13.000505665938059
2.6596062,2.6408787,2.6363797,2.6215577,2.6044812,2.63196,2.632477,8.356691,8.004433,7.9445105,7.6958337,7.4503746,7.899613,7.891909,12.976068258285522,12.996907532215118,12.991668283939362,13.01768273115158,13.055483996868134,12.976430356502533,13.002373526493708
2.6545794,2.640166,2.6428797,2.6248639,2.6183953,2.638598,2.6365802,8.262562,7.994354,8.063498,7.749237,7.6566358,8.020107,7.9577317,12.979273498058319,12.996596097946167,12.980777025222778,13.010290265083313,13.015350699424744,12.965184450149536,12.991245339314142
2.6439826,2.6388571,2.646361,2.6366112,2.6425738,2.643434,2.64197,8.0686865,7.973858,8.132795,7.953755,8.072397,8.112011,8.052251,12.989388406276703,12.99704760313034,12.973828613758087,12.98721730709076,12.971509993076324,12.957330048084259,12.979386995236078
2.63557,2.6392212,2.6442437,2.6492677,2.6609497,2.6427495,2.6453335,7.928002,7.9841175,8.100249,8.186751,8.433709,8.104144,8.1228285,12.996923923492432,12.994472682476044,12.973131239414215,12.969648838043213,12.949669361114502,12.955766916275024,12.973268826802572
2.6342678,2.6416695,2.6396008,2.6533985,2.6624708,2.6390574,2.6450775,7.914877,8.0315695,8.024514,8.271793,8.46868,8.042461,8.125649,12.99365758895874,12.98886090517044,12.974706292152405,12.962783873081207,12.946811318397522,12.957261502742767,12.970680246750513
2.6389966,2.6438987,2.6368134,2.6472394,2.6492364,2.6362727,2.6420763,8.009813,8.077635,7.9854064,8.156497,8.207778,7.999994,8.072854,12.980245053768158,12.982910871505737,12.97294795513153,12.968136370182037,12.958618998527527,12.956883013248444,12.96995704372724
2.64455,2.6431882,2.6370537,2.6362035,2.63196,2.6355982,2.6380923,8.126376,8.07269,8.001724,7.9623427,7.8980336,7.996857,8.00967,12.96536773443222,12.979769706726074,12.96614408493042,12.97917366027832,12.978720664978027,12.95301616191864,12.970365335543951
2.6457064,2.639085,2.6378021,2.6284864,2.6214495,2.6355543,2.6346805,8.169352,8.009064,8.030312,7.8318944,7.7248974,8.006778,7.9620495,12.95398324728012,12.979911267757416,12.957164645195007,12.989193201065063,12.99496442079544,12.947355210781097,12.970428665479025
2.6417239,2.6341171,2.636322,2.6273403,2.621291,2.6346214,2.6325693,8.11992,7.933053,8.022904,7.8193073,7.7289762,8.003234,7.937899,12.946373224258423,12.98067569732666,12.948992848396301,12.98697143793106,12.990698218345642,12.94151097536087,12.965870400269827
2.63535,2.6313887,2.6327667,2.6315808,2.6293561,2.632818,2.63221,8.034194,7.8989196,7.9831834,7.9034157,7.8749394,7.9873047,7.946993,12.938190996646881,12.977224588394165,12.940818071365356,12.973572313785553,12.969909608364105,12.935000658035278,12.95578603943189
2.6295075,2.6319904,2.629458,2.6374755,2.6394815,2.6310358,2.633158,7.966547,7.9245753,7.9526234,8.01735,8.065502,7.974708,7.983551,12.92601227760315,12.967608869075775,12.929843366146088,12.959615886211395,12.949930131435394,12.926812469959259,12.943303833405176
2.6251712,2.6344082,2.6276917,2.640288,2.6440246,2.6296732,2.6335428,7.9343357,7.984055,7.955095,8.081849,8.165204,7.9738264,8.015727,12.907704710960388,12.954768538475037,12.913784384727478,12.949126958847046,12.937401235103607,12.915802001953125,12.929764638344446
2.621474,2.6354432,2.6259732,2.6380122,2.6402478,2.6280725,2.6315372,7.9277024,8.026012,7.968138,8.057869,8.112992,7.977241,8.011659,12.881128489971161,12.941062450408936,12.892811000347137,12.942805886268616,12.932360172271729,12.900684773921967,12.915142128864924
2.616598,2.6326578,2.6214447,2.6318471,2.6309063,2.6247926,2.6263742,7.919349,8.007595,7.944098,7.9699345,7.968277,7.962201,7.961909,12.84649521112442,12.928177416324615,12.86870539188385,12.93848603963852,12.930470705032349,12.881673872470856,12.899001439412435
2.6093757,2.6262243,2.6134787,2.6249366,2.621422,2.6191006,2.6190896,7.8951783,7.934106,7.8779664,7.8793006,7.83514,7.9196434,7.8902225,12.801969051361084,12.914957106113434,12.839077413082123,12.931342422962189,12.925587594509125,12.857560813426971,12.878415733575821
