MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE_avg,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE_avg,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE_avg
2.5962877,2.4736977,2.5028265,2.4690151,2.4962454,2.7740257,2.5520165,9.375828,7.5676885,8.264371,7.7794914,7.698718,11.776677,8.743795,12.165439873933792,11.891401559114456,11.855830997228622,11.777200549840927,11.98802962899208,12.718427181243896,12.066054965058962
12.47803,11.37872,16.588829,14.983485,9.982078,13.93979,13.225155,162.76743,136.49345,282.1216,231.42976,106.68234,201.30496,186.79991,64.97911214828491,59.40593481063843,85.74296832084656,77.61549353599548,52.33001708984375,72.33184576034546,68.73422861099243
3.1768835,4.093574,3.799836,3.2200756,2.7035468,3.1996064,3.365587,15.8803835,24.075485,21.688755,16.359936,9.36204,16.155119,17.25362,14.455883204936981,18.827585875988007,17.358821630477905,14.640253782272339,12.88115382194519,14.550846815109253,15.452424188454946
5.3940873,5.421274,6.4671044,5.965231,5.2465587,5.7699842,5.7107067,36.362972,36.64116,49.40853,42.944298,34.53978,40.793705,40.115074,25.409328937530518,25.5481094121933,30.7959645986557,28.28386425971985,24.69240427017212,27.276477217674255,27.001024782657623
5.6929708,5.1736364,4.7270684,5.30004,6.427118,4.7909303,5.3519607,38.84305,32.970413,29.446815,34.40106,48.523003,29.87941,35.677288,27.032408118247986,24.437054991722107,22.060680389404297,25.062114000320435,30.638399720191956,22.402288019657135,25.272157539923985
5.4504285,3.2095873,5.724378,5.0211277,5.4265385,5.219675,5.0086226,36.945045,16.227411,40.029922,32.468483,36.662594,34.50751,32.806828,25.69745182991028,14.591902494430542,27.0784854888916,23.52132648229599,25.576496124267578,24.52339380979538,23.49817603826523
5.173957,3.0554113,6.022723,5.2294116,4.2500796,4.751088,4.747112,34.01667,14.577351,43.525246,34.592648,25.223911,29.83374,30.294928,24.297645688056946,13.93735259771347,28.588780760765076,24.57619458436966,19.63599920272827,22.15392291545868,22.198315958182018
2.6814346,2.6534667,3.731032,3.211073,2.6046255,2.6598902,2.923587,8.555347,8.109462,20.859901,16.258331,7.3511534,8.16587,11.550011,13.001851737499237,12.989692389965057,17.051024734973907,14.595307409763336,13.163706660270691,13.007393479347229,13.968162735303244
2.6185584,2.5948188,2.5528142,2.5527515,2.5633204,2.560998,2.5738769,11.434351,7.2933793,7.4956317,7.48395,9.3734045,9.206487,8.714534,14.735069870948792,13.15312385559082,13.416554033756256,13.40884417295456,14.091800153255463,14.04009610414505,13.80758136510849
2.6713748,2.7180686,2.5890863,2.5469956,2.6800823,2.6807978,2.6477344,8.464649,9.5727825,10.342743,7.567383,8.734703,8.735546,8.902967,12.965312600135803,12.919408082962036,14.408944547176361,13.44083547592163,12.921039760112762,12.924590706825256,13.263355195522308
