,train_loss
0,0.0004968931525945663
1,0.009280925393104553
2,0.0008978722617030144
3,0.0010502582415938377
4,0.0009697070345282555
5,0.0006937274523079396
6,0.00038928693160414693
7,0.00032826131209731104
8,0.0003369035106152296
9,0.0003098551835864782
10,0.00027198676951229573
11,0.00021301270462572574
12,0.00017199642024934292
13,0.00011308529879897832
14,7.46045750565827e-05
15,5.801979452371597e-05
16,4.7445932868868115e-05
17,3.4679470118135214e-05
18,2.7000069385394453e-05
19,2.9140848200768234e-05
20,2.9490673914551734e-05
21,2.2788081550970674e-05
22,2.207476878538728e-05
23,2.006101596634835e-05
24,1.7878824146464466e-05
25,1.7269985983148216e-05
26,1.5652355505153536e-05
27,1.6308571211993694e-05
28,1.5175330336205661e-05
29,1.5608042012900114e-05
30,1.4834034373052418e-05
31,1.3495333842001856e-05
32,1.376687956508249e-05
33,1.346571953035891e-05
34,1.3191110338084399e-05
35,1.2703468091785908e-05
36,1.266997365746647e-05
37,1.2552372063510119e-05
38,1.2317350483499467e-05
39,1.206913497298956e-05
40,1.1862770188599825e-05
41,1.1675481800921261e-05
42,1.1608941713348031e-05
43,1.1325465166009963e-05
44,1.1177958222106098e-05
45,1.1064957943744957e-05
46,1.0805214405991138e-05
47,1.0841618059203028e-05
48,1.047954021487385e-05
49,1.0556003253441304e-05
