MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE_avg,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE_avg,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE_avg
0.67151433,0.64202845,0.652809,0.6453493,0.64414465,0.6590008,0.65247446,0.7014993,0.65614855,0.6712917,0.66039056,0.6584838,0.68054456,0.6713931,3.0648894608020782,2.941671945154667,2.9864029958844185,2.9555270448327065,2.9506895691156387,3.0124088749289513,2.98526498178641
0.6133341,0.60524833,0.6093204,0.6134452,0.6425923,0.61635524,0.61671597,0.6281493,0.62902445,0.6275456,0.6283609,0.66457206,0.6296053,0.63454294,2.8269056230783463,2.798828110098839,2.812987007200718,2.8283782303333282,2.990199439227581,2.8396928682923317,2.849498546371857
0.63087827,0.6550378,0.658857,0.6772118,0.7122851,0.6561147,0.6650641,0.65360284,0.67804956,0.6823015,0.7051823,0.7553431,0.67907876,0.6922596,2.9325511306524277,3.0516814440488815,3.070448897778988,3.1605232506990433,3.3319126814603806,3.0568433925509453,3.100660132865111
0.6655514,0.6615349,0.6690168,0.67771596,0.655797,0.67769665,0.6678855,0.6905561,0.6856609,0.69462883,0.7058511,0.6787352,0.7056878,0.69352,3.103473410010338,3.083661012351513,3.1203854829072952,3.1629882752895355,3.0553020536899567,3.162875771522522,3.11478100096186
0.6664838,0.6598353,0.66050917,0.66112655,0.6503819,0.66043866,0.65979594,0.69172186,0.68363196,0.68428415,0.68507284,0.67270803,0.68412626,0.6835909,3.10804545879364,3.075294941663742,3.078577108681202,3.0815482139587402,3.0286138877272606,3.0781278386712074,3.0750345749159655
0.6619067,0.66394734,0.66207486,0.66524833,0.65590644,0.6574068,0.66108173,0.68617857,0.6885619,0.6861622,0.6900371,0.67885995,0.6805771,0.6850628,3.085555322468281,3.0955227091908455,3.0862824991345406,3.101818636059761,3.05583905428648,3.063199296593666,3.081369586288929
0.654056,0.6608959,0.6597912,0.65401375,0.653262,0.6539676,0.6559978,0.6770279,0.6848744,0.6834225,0.6768134,0.67587495,0.676671,0.67911404,3.046910837292671,3.080522269010544,3.075043484568596,3.0465325340628624,3.042811155319214,3.046261705458164,3.0563469976186752
0.64935905,0.6500159,0.65385157,0.6458449,0.6498788,0.6519481,0.65014976,0.6718424,0.672456,0.67659163,0.6679778,0.6721644,0.6744263,0.6725764,3.023761510848999,3.026937320828438,3.045797534286976,3.006261959671974,3.026133030653,3.03630493581295,3.0275327153503895
0.65993977,0.6587097,0.67013943,0.64755446,0.6555386,0.66476953,0.65944195,0.68386096,0.6822819,0.6960882,0.66971576,0.678428,0.689364,0.6832898,3.0758704990148544,3.069758228957653,3.1258825212717056,3.014702722430229,3.054031915962696,3.099428676068783,3.073279093950987
0.6790701,0.67998534,0.68346804,0.6762639,0.6850984,0.68313694,0.68117046,0.7078901,0.70897216,0.7135498,0.7039023,0.7156196,0.71297336,0.7104845,3.169753775000572,3.1741924583911896,3.1912054866552353,3.1558897346258163,3.1991377472877502,3.189515694975853,3.1799491494894028
0.68187016,0.68384606,0.68591696,0.68142337,0.68990535,0.6854336,0.6847326,0.7116466,0.71416676,0.71688,0.71072835,0.7222771,0.7160798,0.7152965,3.1834661960601807,3.193090483546257,3.2031841576099396,3.181164711713791,3.2226502895355225,3.2007530331611633,3.197384811937809
0.6833245,0.68557006,0.68739694,0.68320847,0.6913078,0.6865372,0.68622416,0.7136024,0.7165151,0.71892315,0.7131376,0.7242607,0.7175876,0.7173378,3.1905807554721832,3.2015234231948853,3.2104238867759705,3.1899046152830124,3.2295066863298416,3.206152841448784,3.2046820347507796
0.68420106,0.6866218,0.68840253,0.68424314,0.69205743,0.6871795,0.6871176,0.7147894,0.717964,0.7203236,0.71453166,0.7253262,0.7184702,0.71856743,3.194868192076683,3.2066676765680313,3.2153423875570297,3.1949661672115326,3.2331708818674088,3.209296241402626,3.2090519244472184
0.68495876,0.68723667,0.68880504,0.68496394,0.69222355,0.68778765,0.6876626,0.7158217,0.718816,0.7208835,0.71550936,0.7255642,0.71931124,0.7193177,3.198574483394623,3.2096751034259796,3.217311203479767,3.198492154479027,3.2339826226234436,3.2122720032930374,3.2117179284493127
0.68534625,0.6876108,0.68936664,0.68542206,0.69235593,0.68797785,0.68801326,0.71635175,0.71933687,0.7216698,0.71613324,0.72575456,0.7195733,0.7198033,3.2004695385694504,3.211505338549614,3.220057114958763,3.2007336616516113,3.234628587961197,3.213202953338623,3.2134328658382096
0.6856467,0.6879131,0.6896251,0.68570745,0.6923729,0.6881432,0.68823475,0.7167635,0.719759,0.72203255,0.71652275,0.72578007,0.7198021,0.72010994,3.2019395381212234,3.2129839062690735,3.2213207334280014,3.202129900455475,3.2347112894058228,3.214012086391449,3.2145162423451743
0.685869,0.6880502,0.6897266,0.6859067,0.69224197,0.6882408,0.68833923,0.7170688,0.71994966,0.7221753,0.7167954,0.7255948,0.7199373,0.7202535,3.2030269503593445,3.213653713464737,3.2218169420957565,3.2031048089265823,3.2340705394744873,3.2144904136657715,3.21502722799778
0.68603265,0.68812186,0.68974733,0.686049,0.6920692,0.68827504,0.68838245,0.71729404,0.7200493,0.72220457,0.7169907,0.72534966,0.71998453,0.7203121,3.203827142715454,3.214004263281822,3.2219186425209045,3.203801065683365,3.233225643634796,3.2146573066711426,3.2152390107512474
0.6861446,0.68813086,0.6897143,0.6861451,0.6918569,0.6882752,0.6883778,0.71744806,0.7200622,0.7221585,0.717122,0.72504914,0.7199844,0.7203041,3.204375132918358,3.2140474766492844,3.2217569649219513,3.2042711973190308,3.2321877777576447,3.214658424258232,3.2152161623040834
0.68621975,0.68811476,0.68963903,0.6862079,0.69163805,0.68823713,0.6883428,0.7175519,0.72004026,0.7220532,0.71720797,0.72473943,0.7199313,0.72025394,3.204742446541786,3.2139692455530167,3.2213885337114334,3.204578161239624,3.2311175018548965,3.214472532272339,3.2150447368621826
0.68626916,0.68805915,0.6895451,0.6862509,0.691398,0.68818957,0.68828535,0.71761996,0.71996254,0.7219215,0.7172671,0.7243997,0.7198649,0.7201726,3.204984590411186,3.213697299361229,3.220929577946663,3.204788640141487,3.2299447804689407,3.214240074157715,3.214764160414537
0.68629557,0.6880089,0.68942356,0.68627036,0.69117194,0.68810886,0.68821317,0.7176564,0.71989304,0.7217515,0.7172937,0.72407913,0.7197525,0.720071,3.205113857984543,3.2134514302015305,3.2203353941440582,3.204883635044098,3.2288391143083572,3.213844820857048,3.2144113754232726
0.68631065,0.6879115,0.6893093,0.6862876,0.6909185,0.6880462,0.6881306,0.71767664,0.71975803,0.72159165,0.7173176,0.72372055,0.7196651,0.71995497,3.2051868736743927,3.212974965572357,3.219776228070259,3.204968199133873,3.227599337697029,3.2135386019945145,3.2140073676904044
0.68630505,0.6878711,0.6891535,0.68627447,0.6907198,0.68792343,0.6880412,0.7176695,0.7197015,0.72137415,0.7172996,0.7234399,0.7194945,0.71982986,3.2051600515842438,3.2127775251865387,3.2190147787332535,3.2049037516117096,3.2266277819871902,3.2129377126693726,3.2135702669620514
0.68630767,0.68769646,0.68906224,0.686296,0.6904205,0.68790257,0.6879476,0.71767265,0.71945876,0.72124606,0.71732897,0.7230176,0.7194651,0.7196982,3.2051727175712585,3.2119233161211014,3.218568116426468,3.205009549856186,3.2251641154289246,3.2128360122442245,3.213112304608027
0.6862642,0.687802,0.68881845,0.6862173,0.69035715,0.68764067,0.68785,0.717613,0.71960527,0.7209056,0.71722084,0.7229286,0.719102,0.71956253,3.204960376024246,3.2124392688274384,3.2173756510019302,3.204624354839325,3.2248545438051224,3.2115545123815536,3.212634784479936
0.6862893,0.6872742,0.6888934,0.68632734,0.689785,0.6878894,0.6877431,0.7176474,0.7188718,0.7210103,0.7173721,0.72212446,0.7194468,0.7194121,3.2050829380750656,3.209858015179634,3.217742219567299,3.205161914229393,3.222056105732918,3.212771564722061,3.212112126251062
0.6861586,0.6877946,0.6884083,0.6860799,0.6900688,0.68724716,0.6876262,0.7174672,0.7195946,0.7203346,0.71703255,0.72252196,0.71855795,0.71925145,3.2044433057308197,3.2124031335115433,3.2153699547052383,3.2039523124694824,3.2234441488981247,3.2096292823553085,3.2115403562784195
0.68618464,0.68744594,0.68842554,0.6861689,0.68966675,0.6873979,0.6875482,0.71750325,0.7191097,0.7203586,0.71715456,0.72195846,0.71876574,0.71914166,3.204570710659027,3.2106976956129074,3.2154541462659836,3.2043874263763428,3.2214775681495667,3.210366889834404,3.211159072816372
0.68619466,0.6872408,0.68839395,0.6862055,0.68936944,0.6874178,0.6874704,0.7175172,0.7188249,0.720315,0.71720487,0.7215422,0.7187934,0.71903294,3.2046202570199966,3.2096944749355316,3.2152999192476273,3.204566612839699,3.220023959875107,3.2104644924402237,3.2107782860596976
0.68614346,0.6872189,0.6881962,0.6861606,0.6892592,0.6873053,0.6873806,0.7174463,0.71879464,0.72004014,0.71714324,0.7213882,0.7186374,0.7189083,3.2043691724538803,3.209587186574936,3.2143324613571167,3.2043468207120895,3.2194845378398895,3.209913894534111,3.210339012245337
0.68613815,0.6871186,0.68815106,0.6861419,0.6890299,0.68715525,0.6872892,0.7174388,0.71865535,0.7199774,0.7171173,0.7210682,0.71843016,0.71878123,3.204343467950821,3.2090965658426285,3.2141119241714478,3.204255551099777,3.2183628529310226,3.209179639816284,3.2098916669686637
0.6860815,0.6870649,0.6879587,0.6861055,0.6889156,0.6871004,0.6872044,0.71736103,0.71858114,0.71970904,0.7170673,0.72090876,0.71835464,0.71866363,3.2040663063526154,3.208833932876587,3.2131709158420563,3.2040774822235107,3.217804431915283,3.2089117914438248,3.209477476775646
0.68605447,0.6869929,0.6878425,0.68608785,0.68876356,0.6870249,0.68712765,0.71732366,0.7184814,0.7195473,0.71704304,0.72069687,0.71825033,0.7185571,3.20393405854702,3.2084818929433823,3.212602064013481,3.2039910554885864,3.2170604914426804,3.2085418701171875,3.2091019054253898
0.68603265,0.6869121,0.6877531,0.68607104,0.68859917,0.68693954,0.6870513,0.71729356,0.7183693,0.7194232,0.7170198,0.7204675,0.71813256,0.718451,3.203827142715454,3.2080862671136856,3.2121654599905014,3.2039087265729904,3.2162565737962723,3.2081246376037598,3.2087281346321106
0.68600494,0.68683785,0.68764955,0.6860511,0.68845177,0.686865,0.6869767,0.7172556,0.7182662,0.719279,0.7169926,0.7202615,0.71802974,0.7183475,3.2036911696195602,3.2077230513095856,3.2116584479808807,3.2038114964962006,3.21553498506546,3.2077599316835403,3.2083631803592048
0.6859773,0.6867664,0.68755084,0.68603176,0.68831104,0.68679315,0.6869051,0.71721756,0.7181677,0.71914196,0.7169663,0.72006506,0.71793115,0.7182483,3.2035566866397858,3.20737361907959,3.2111756503582,3.20371612906456,3.2148465514183044,3.2074086368083954,3.208012878894806
0.6859496,0.6866982,0.6874554,0.6860122,0.68817776,0.68672514,0.6868364,0.71717924,0.71807355,0.7190093,0.7169395,0.71987957,0.7178376,0.7181532,3.2034210860729218,3.2070402055978775,3.210708871483803,3.203621506690979,3.2141949981451035,3.207075595855713,3.2076770439743996
0.6859238,0.6866334,0.6873648,0.6859941,0.6880508,0.6866603,0.6867712,0.7171438,0.71798396,0.7188836,0.71691465,0.71970296,0.71774834,0.7180629,3.203294798731804,3.2067231833934784,3.210265561938286,3.2035324722528458,3.21357399225235,3.206758573651314,3.2073580970366797
0.6858994,0.6865722,0.6872785,0.6859771,0.68792963,0.68659806,0.6867091,0.7171102,0.71789974,0.7187642,0.7168914,0.7195341,0.7176622,0.717977,3.203175589442253,3.206424042582512,3.20984348654747,3.20344939827919,3.2129809260368347,3.2064538449048996,3.2070545479655266
0.6858744,0.6865129,0.68719524,0.68595964,0.68781465,0.68653864,0.68664926,0.7170756,0.71781737,0.7186487,0.71686697,0.7193748,0.71758056,0.7178939,3.2030530273914337,3.206133469939232,3.2094355672597885,3.2033637166023254,3.212418779730797,3.2061632722616196,3.206761305530866
0.68585217,0.6864575,0.68711704,0.6859439,0.68770516,0.6864826,0.68659306,0.71704537,0.7177413,0.7185403,0.71684545,0.7192226,0.71750367,0.7178164,3.2029446214437485,3.2058626413345337,3.2090533524751663,3.2032866030931473,3.211883082985878,3.2058894634246826,3.206486627459526
0.6858298,0.6864043,0.6870417,0.6859285,0.68760145,0.68642855,0.6865391,0.7170143,0.717668,0.7184363,0.7168244,0.7190789,0.7174294,0.71774197,3.2028350979089737,3.205602616071701,3.2086845487356186,3.203211724758148,3.2113756984472275,3.205624967813492,3.2062224422891936
0.68580943,0.686354,0.68697035,0.6859147,0.68750244,0.6863778,0.68648815,0.7169867,0.71759886,0.7183375,0.7168056,0.7189417,0.71735984,0.7176717,3.2027356326580048,3.205356001853943,3.2083358615636826,3.203143924474716,3.2108917832374573,3.2053768634796143,3.2059733445445695
0.685789,0.6863062,0.68690246,0.6859007,0.6874085,0.6863298,0.68643945,0.71695805,0.7175324,0.71824366,0.7167863,0.71881145,0.71729374,0.71760434,3.202635422348976,3.2051224261522293,3.20800319314003,3.2030753791332245,3.2104317098855972,3.2051417976617813,3.20573498805364
0.68577003,0.686261,0.6868386,0.6858879,0.6873194,0.6862831,0.6863933,0.71693236,0.7174707,0.7181558,0.7167691,0.7186883,0.71722966,0.717541,3.2025426626205444,3.2049011439085007,3.2076917588710785,3.2030127942562103,3.209995850920677,3.2049130648374557,3.205509545902411
0.685752,0.68621886,0.6867765,0.68587536,0.68723506,0.68623865,0.6863494,0.7169073,0.71741277,0.71806985,0.7167517,0.71857166,0.71716857,0.71748036,3.202454373240471,3.2046951353549957,3.207387402653694,3.2029516994953156,3.2095834612846375,3.2046962529420853,3.205294720828533
0.68573433,0.6861781,0.68671834,0.68586415,0.68715453,0.6861985,0.6863081,0.7168827,0.7173562,0.71798956,0.7167362,0.71846026,0.7171133,0.717423,3.2023683190345764,3.204496204853058,3.2071027904748917,3.2028965651988983,3.20918969810009,3.2044995576143265,3.2050921892126403
0.685719,0.6861405,0.68666255,0.68585324,0.68707764,0.6861586,0.6862686,0.71686196,0.7173048,0.7179126,0.71672136,0.7183536,0.71705866,0.71736884,3.2022930681705475,3.204311802983284,3.2068300992250443,3.20284366607666,3.2088130712509155,3.204304724931717,3.204899405439695
0.6857037,0.6861034,0.68660945,0.6858433,0.6870044,0.6861217,0.68623096,0.7168407,0.7172538,0.7178398,0.71670765,0.718253,0.7170085,0.7173173,3.2022181898355484,3.204130008816719,3.2065700739622116,3.2027948647737503,3.2084550708532333,3.2041236758232117,3.204715314010779
0.68568957,0.6860693,0.68655944,0.68583417,0.68693584,0.68608695,0.6861959,0.7168217,0.7172069,0.7177708,0.71669513,0.71815795,0.7169606,0.7172689,3.202148899435997,3.203963488340378,3.2063256949186325,3.202749788761139,3.208119422197342,3.2039541751146317,3.20454357812802
0.6856765,0.68603694,0.6865122,0.68582505,0.6868704,0.6860533,0.6861624,0.71680367,0.7171625,0.71770567,0.7166826,0.71806765,0.7169144,0.71722275,3.2020851969718933,3.203805163502693,3.206094354391098,3.202705457806587,3.207799419760704,3.20378914475441,3.204379789531231
0.6856638,0.686007,0.6864665,0.68581665,0.68680733,0.68602175,0.6861305,0.716786,0.71712124,0.7176429,0.71667117,0.7179807,0.71687084,0.7171788,3.202023357152939,3.2036587595939636,3.20587120950222,3.202664479613304,3.2074905931949615,3.2036349177360535,3.2042238861322403
0.68565255,0.6859771,0.6864234,0.68580854,0.68674827,0.6859924,0.6861004,0.71677077,0.7170798,0.7175831,0.7166599,0.7178993,0.716831,0.71713734,3.2019682228565216,3.203512728214264,3.205660358071327,3.2026249915361404,3.2072018831968307,3.203491121530533,3.204076550900936
0.6856414,0.6859511,0.68638223,0.6858013,0.6866926,0.68596286,0.6860719,0.7167552,0.71704435,0.71752644,0.71665,0.7178226,0.7167904,0.7170982,3.201913461089134,3.2033856958150864,3.2054588198661804,3.202589228749275,3.206929564476013,3.2033465802669525,3.2039372250437737
0.68563145,0.68592364,0.6863452,0.68579495,0.68664056,0.6859376,0.6860456,0.7167419,0.71700686,0.7174757,0.71664166,0.7177511,0.7167559,0.7170622,3.201865032315254,3.2032515853643417,3.2052773982286453,3.202557936310768,3.2066751271486282,3.2032225281000137,3.2038082679112754
0.68562275,0.68590903,0.6863036,0.68578845,0.68658787,0.6859112,0.68602043,0.7167301,0.71698624,0.71741855,0.7166324,0.7176788,0.7167199,0.71702766,3.2018225640058517,3.2031793147325516,3.205074369907379,3.202526271343231,3.206416964530945,3.203094005584717,3.2036855816841125
0.68561,0.68585247,0.68628824,0.68578434,0.68654937,0.68589294,0.68599623,0.7167124,0.71690863,0.7173976,0.716627,0.7176258,0.7166949,0.71699446,3.2017599791288376,3.2029032707214355,3.2049987465143204,3.2025065273046494,3.2062288373708725,3.2030045986175537,3.203566993276278
0.68561524,0.6859551,0.68617976,0.68576854,0.68646586,0.68584776,0.68597203,0.7167191,0.7170499,0.7172483,0.71660525,0.7175107,0.716633,0.71696097,3.201785683631897,3.2034046947956085,3.2044682651758194,3.2024290412664413,3.205820545554161,3.202783688902855,3.2034486532211304
0.6855367,0.6855017,0.6863756,0.6857707,0.6865297,0.6858786,0.68593216,0.7166115,0.7164274,0.71751803,0.7166082,0.71759886,0.7166753,0.71690655,3.2014016062021255,3.201187029480934,3.205426037311554,3.202439099550247,3.206132724881172,3.202934190630913,3.203253448009491
0.6855758,0.68568635,0.6862346,0.68577474,0.68637294,0.68587255,0.68591946,0.7166649,0.71668124,0.7173241,0.71661365,0.71738315,0.7166668,0.71688896,3.2015927135944366,3.202090412378311,3.2047364860773087,3.2024595886468887,3.2053660601377487,3.2029051333665848,3.20319173236688
0.6855532,0.6859847,0.6860345,0.6856945,0.68648833,0.6856501,0.68590087,0.7166345,0.71709025,0.7170492,0.7165039,0.7175415,0.71636313,0.7168637,3.2014820724725723,3.2035496085882187,3.203757479786873,3.202066943049431,3.205929696559906,3.201816976070404,3.2031004627545676
0.6855707,0.6856795,0.68615,0.68576604,0.6862472,0.68584806,0.6858769,0.7166582,0.7166718,0.71720785,0.71660185,0.7172108,0.7166335,0.7168307,3.201568126678467,3.202056512236595,3.2043229788541794,3.2024167478084564,3.2047510147094727,3.2027851790189743,3.202983426551024
0.6855717,0.68571174,0.68611586,0.6857643,0.68625546,0.6858064,0.6858709,0.71665967,0.71671563,0.71716094,0.7165995,0.71722156,0.7165762,0.7168222,3.201572969555855,3.20221483707428,3.2041557133197784,3.20240817964077,3.2047905027866364,3.2025817781686783,3.202953996757666
0.68556327,0.68575346,0.6860706,0.6857469,0.68627024,0.6857557,0.68586,0.71664834,0.7167728,0.71709895,0.71657574,0.7172417,0.7165073,0.71680754,3.201531246304512,3.2024189829826355,3.20393443107605,3.202323615550995,3.2048631459474564,3.2023336738348007,3.2029008492827415
0.68556154,0.68574965,0.6860411,0.68574625,0.68624675,0.68572485,0.68584496,0.7166455,0.7167677,0.7170583,0.7165747,0.7172097,0.716465,0.71678686,3.2015230506658554,3.2023996114730835,3.2037898898124695,3.2023202627897263,3.2047484070062637,3.202182427048683,3.202827274799347
0.68554866,0.68571085,0.68603593,0.6857384,0.6861975,0.6857464,0.6858296,0.71662813,0.7167142,0.71705174,0.7165644,0.7171422,0.71649444,0.7167659,3.2014597207307816,3.202209994196892,3.20376418530941,3.202281892299652,3.2045073807239532,3.2022878527641296,3.202751837670803
0.68555,0.68571454,0.6860054,0.6857397,0.68618166,0.68570983,0.6858168,0.7166298,0.7167197,0.7170096,0.7165659,0.71712023,0.7164445,0.71674824,3.201466426253319,3.2022282481193542,3.2036148011684418,3.2022878527641296,3.2044298946857452,3.2021086663007736,3.2026893148819604
0.68554825,0.68570596,0.68598497,0.68573934,0.68615925,0.68569654,0.68580574,0.7166275,0.71670777,0.71698153,0.7165654,0.7170898,0.71642643,0.71673304,3.2014578580856323,3.2021865248680115,3.203515335917473,3.2022863626480103,3.2043203711509705,3.2020438462495804,3.2026350498199463
0.68554497,0.6856913,0.68597305,0.6857378,0.68612945,0.6856925,0.68579483,0.7166228,0.7166879,0.7169654,0.71656317,0.7170487,0.7164209,0.7167182,3.201442211866379,3.202114626765251,3.203456848859787,3.2022785395383835,3.2041743397712708,3.2020237296819687,3.202581716080507
0.68554175,0.6856811,0.6859546,0.6857356,0.6861061,0.685685,0.6857841,0.71661836,0.7166733,0.7169397,0.7165603,0.71701646,0.71641046,0.7167031,3.2014258205890656,3.202064335346222,3.203366696834564,3.202267736196518,3.2040607184171677,3.2019872218370438,3.2025287548700967
0.6855401,0.6856703,0.68594307,0.68573534,0.6860811,0.6856741,0.685774,0.71661615,0.7166587,0.7169242,0.7165598,0.7169825,0.7163958,0.7166895,3.2014183700084686,3.2020114362239838,3.2033100724220276,3.2022662460803986,3.2039377838373184,3.2019343227148056,3.2024797052145004
0.6855351,0.68566406,0.68592143,0.6857321,0.6860635,0.6856691,0.68576425,0.7166089,0.71665025,0.71689445,0.7165556,0.7169582,0.71638876,0.71667606,3.201393783092499,3.2019812613725662,3.203204646706581,3.202250972390175,3.203851729631424,3.2019101083278656,3.2024320835868516
