MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE_avg,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE_avg,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE_avg
0.56183594,0.5976219,0.61944216,0.6355013,0.65707314,0.6687224,0.6233662,0.6196294,0.67739236,0.72448456,0.75386065,0.7860336,0.7986438,0.7266741,2.487139403820038,2.6531608775258064,2.741042524576187,2.8160585090517998,2.9106110334396362,2.9667509719729424,2.762460553397735
0.4483851,0.4304212,0.4095277,0.40431377,0.41324714,0.42589608,0.4219652,0.3750242,0.34854323,0.31842315,0.30168152,0.309115,0.324737,0.32958734,1.9921738654375076,1.910635270178318,1.81492380797863,1.7969081178307533,1.837928220629692,1.8915392458438873,1.8740180879831314
0.4578687,0.43992296,0.41983742,0.40367,0.39561903,0.4269331,0.4239752,0.34836906,0.32582757,0.30025724,0.2894266,0.2816142,0.3185257,0.31067005,2.011849731206894,1.9303398206830025,1.8423378467559814,1.7664851620793343,1.7324989661574364,1.8667099997401237,1.8583702544371288
0.40797636,0.39574084,0.3942142,0.38394377,0.3747655,0.41563585,0.39537942,0.25394616,0.24236165,0.24401976,0.2507863,0.253654,0.30580232,0.25842836,1.7956193536520004,1.740477792918682,1.7347456887364388,1.6817228868603706,1.6417210921645164,1.817466877400875,1.7352922819554806
0.50681925,0.4954738,0.5019107,0.47610405,0.45811027,0.50109303,0.48991856,0.3504281,0.33680537,0.34477955,0.33396363,0.33410162,0.3898107,0.34831485,2.240717224776745,2.192412130534649,2.225983515381813,2.1020129323005676,2.019187994301319,2.209240011870861,2.1649256348609924
0.36838156,0.36317804,0.3695376,0.36257866,0.35231248,0.4175158,0.37225068,0.2070728,0.20257483,0.21067438,0.21960072,0.22439498,0.29518685,0.22658409,1.62123404443264,1.5981821343302727,1.6281170770525932,1.5912918373942375,1.5450014732778072,1.8295202404260635,1.6355578011522691
0.4713036,0.45741755,0.4624303,0.4441899,0.4246529,0.4819517,0.456991,0.29700696,0.2839775,0.28914768,0.2810544,0.27506033,0.3411279,0.29456246,2.089707925915718,2.028816379606724,2.0571649074554443,1.9711554050445557,1.8818758428096771,2.1341437473893166,2.0271440347035727
0.45937568,0.44968292,0.45874065,0.44929996,0.42835006,0.49274394,0.45636556,0.27544454,0.26785064,0.27908823,0.27633592,0.26786503,0.34075683,0.28455687,2.0441150292754173,2.0019663497805595,2.0483681932091713,2.000243216753006,1.9033461809158325,2.1864276379346848,2.0307444346447787
0.46884724,0.4582114,0.4632354,0.45220846,0.4261701,0.4807329,0.45823428,0.28239125,0.2742523,0.28052664,0.27346882,0.25816476,0.31914884,0.28132543,2.087911032140255,2.042197808623314,2.071242779493332,2.0163560286164284,1.895790919661522,2.1357007324695587,2.0415332168340683
0.45575914,0.45239633,0.46129102,0.45390162,0.42602903,0.4756166,0.45416567,0.2625589,0.26275817,0.27373958,0.26777714,0.24935569,0.3044125,0.27010033,2.0375918596982956,2.0245812833309174,2.0701920613646507,2.0312367007136345,1.9014334306120872,2.1192925050854683,2.0307213068008423
0.42500347,0.4272085,0.438817,0.43572208,0.41307727,0.46467176,0.43408337,0.2304206,0.2363051,0.24784343,0.24721126,0.23575653,0.29151598,0.24817549,1.8990177661180496,1.9102482125163078,1.9662551581859589,1.9469700753688812,1.8397407606244087,2.0669907331466675,1.9382037843267124
0.41677213,0.41762906,0.42546946,0.42572585,0.4058669,0.45048064,0.42365733,0.22052507,0.22571823,0.23329285,0.23707375,0.23064063,0.2782984,0.23759149,1.8587099388241768,1.8636289983987808,1.9031256437301636,1.9012875854969025,1.8072675913572311,2.0041415467858315,1.8896935507655144
0.39662293,0.40138936,0.40520814,0.40611973,0.38567337,0.4264981,0.40358528,0.19997796,0.20759955,0.21114323,0.21592745,0.20987824,0.2514306,0.21599285,1.7692996188998222,1.7905009910464287,1.811184361577034,1.8120978027582169,1.7153434455394745,1.8947448581457138,1.7988618463277817
0.3542254,0.36599982,0.37416136,0.379866,0.3654927,0.4050084,0.3741256,0.1646496,0.17590024,0.18241227,0.19140546,0.19208655,0.23002234,0.18941273,1.5794012695550919,1.6309229657053947,1.66950523853302,1.6916554421186447,1.6215857118368149,1.7949149012565613,1.6646642548342545
0.31687438,0.33288616,0.34353644,0.35112312,0.34220698,0.38050464,0.34452197,0.13588586,0.14783742,0.15572841,0.16638638,0.17161967,0.20588374,0.16389024,1.415088213980198,1.4844276942312717,1.5328356064856052,1.5635080635547638,1.5178517438471317,1.685830019414425,1.5332568902522326
0.30573988,0.3225913,0.33259335,0.34078342,0.33457062,0.374918,0.33519945,0.12657735,0.1379578,0.14541368,0.15679592,0.16322783,0.19874376,0.15478607,1.366366259753704,1.4392342418432236,1.484454981982708,1.5178777277469635,1.4847034588456154,1.6623005270957947,1.4924895328780015
0.29737404,0.3139309,0.3233267,0.3322956,0.32673356,0.37076068,0.32740358,0.11939331,0.1304964,0.13774846,0.15013625,0.15784667,0.19589093,0.14858533,1.3279774226248264,1.399664580821991,1.442107930779457,1.479011308401823,1.4489993453025818,1.643301174044609,1.4568436269958813
0.29782626,0.31385016,0.32226127,0.3317292,0.32583934,0.37706208,0.32809472,0.11982699,0.13161652,0.1388371,0.15154196,0.15993947,0.20391054,0.15094543,1.328026968985796,1.3978119008243084,1.4350729994475842,1.4740904793143272,1.4424828812479973,1.669025607407093,1.4577518062045176
0.292736,0.30944043,0.31561133,0.32468545,0.3188248,0.37005976,0.32189295,0.11577764,0.12951386,0.13606875,0.14703521,0.15550487,0.1984696,0.14706165,1.30475340411067,1.3788162730634212,1.4037680812180042,1.439958531409502,1.4102950692176819,1.6379205510020256,1.4292519850035508
0.25697088,0.29661983,0.29251918,0.29817402,0.31130317,0.3521762,0.30129388,0.09047085,0.11690262,0.11856538,0.12460003,0.14188634,0.1773995,0.12830412,1.1478520929813385,1.3249275274574757,1.3016024604439735,1.3227734714746475,1.3805773109197617,1.5613551251590252,1.3398479980727036
0.21456541,0.27037683,0.269971,0.27760214,0.30132324,0.33952922,0.27889466,0.064651996,0.096399024,0.10116655,0.10774907,0.13093825,0.16348313,0.11073134,0.9591907262802124,1.2091491371393204,1.2018250301480293,1.2320838868618011,1.3361133635044098,1.5070430934429169,1.240900872896115
0.21303698,0.25843772,0.2655065,0.279382,0.28857696,0.33256096,0.27291682,0.061286703,0.08775097,0.09610716,0.10660068,0.120372824,0.15548566,0.10460067,0.952761247754097,1.1558420024812222,1.1829609982669353,1.2418816797435284,1.2804408557713032,1.4771238900721073,1.2151684456815322
0.18861578,0.23828644,0.24897888,0.27117383,0.274528,0.3237363,0.25755322,0.04928073,0.0752731,0.08466969,0.100073576,0.10873545,0.14682882,0.09414356,0.8439084514975548,1.0650928132236004,1.1089524254202843,1.2054798193275928,1.218389067798853,1.437975186854601,1.146632960687081
0.17376116,0.222452,0.23426005,0.26268718,0.2668412,0.31972697,0.24662143,0.0420711,0.06653479,0.07483019,0.09297022,0.102303386,0.1425781,0.0868813,0.7771053351461887,0.9934047237038612,1.0431181639432907,1.1680598370730877,1.1845060624182224,1.420155819505453,1.0977249902983506
0.16344127,0.20320557,0.22250271,0.2500968,0.26486695,0.31086785,0.23583019,0.037577864,0.056027785,0.06705131,0.084528536,0.1005697,0.1354917,0.08020782,0.730935949832201,0.9067370556294918,0.9904146194458008,1.11265629529953,1.1747023090720177,1.3805641792714596,1.0493350680917501
0.15802789,0.1982889,0.21388526,0.24558754,0.26007235,0.30869657,0.23075974,0.035505395,0.053703588,0.06377964,0.08252567,0.09816557,0.13437001,0.07800832,0.7063499186187983,0.8845383301377296,0.9508923627436161,1.0928189381957054,1.1524236761033535,1.370668224990368,1.0262819084649284
0.15127133,0.1962616,0.2110592,0.24252471,0.2555928,0.301647,0.22639279,0.034206387,0.054692723,0.06448688,0.08254592,0.09734305,0.13144185,0.0774528,0.6741418968886137,0.8741015568375587,0.9371437132358551,1.0783498175442219,1.1329171247780323,1.3397550210356712,1.006068188386659
0.13392511,0.17842288,0.19414529,0.22813238,0.24142581,0.28544933,0.21025014,0.028512284,0.04672806,0.056449134,0.074460946,0.0888247,0.1199507,0.0691543,0.5950905382633209,0.7928404025733471,0.8606893941760063,1.0133219882845879,1.069489773362875,1.2668191455304623,0.9330418736984333
