MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE_avg,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE_avg,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE_avg
2.4312587,2.4353619,2.429672,2.419189,2.4186354,2.407097,2.4235356,6.7297926,6.7202306,6.709772,6.666865,6.6393046,6.5565014,6.6704116,14.10936564207077,14.116252958774567,14.089280366897583,14.03370052576065,14.01190459728241,13.928867876529694,14.048228661219278
2.1856747,2.1336606,2.2281172,2.2273273,2.1910987,2.1977499,2.193938,5.031659,4.8175006,5.264639,5.2733073,5.0745053,5.126201,5.0979686,12.292639911174774,11.849987506866455,12.585730850696564,12.592720985412598,12.277140468358994,12.252707779407501,12.308487916986147
2.509016,2.543733,2.5466173,2.5294394,2.5398073,2.5253572,2.5323284,7.6787157,8.110023,8.161364,8.013876,8.104781,7.9436717,8.002072,14.770303666591644,15.042449533939362,15.067355334758759,14.951962232589722,15.019097924232483,14.909759163856506,14.960154642661413
2.419714,2.408002,2.417313,2.4157367,2.3971877,2.4013007,2.4098756,6.665952,6.5334864,6.639377,6.653517,6.464271,6.5236683,6.580045,14.04024213552475,13.93154263496399,14.013411104679108,14.012928307056427,13.851700723171234,13.894374668598175,13.957366595665613
2.4307227,2.4167657,2.4316351,2.4251647,2.4128864,2.421444,2.423103,6.810816,6.6591516,6.8606052,6.7994018,6.667344,6.7785997,6.762653,14.145682752132416,14.02462124824524,14.166150987148285,14.113952219486237,14.008039236068726,14.087070524692535,14.090919494628906
2.391366,2.3797433,2.4062831,2.4054427,2.377908,2.3665316,2.3878791,6.376962,6.2712083,6.563834,6.57434,6.295513,6.2012362,6.380516,13.797108829021454,13.696438074111938,13.940158486366272,13.940352201461792,13.697224855422974,13.602764904499054,13.779007891813913
2.4128792,2.391365,2.420066,2.4154422,2.3855755,2.4061859,2.4052522,6.616183,6.408238,6.723892,6.692838,6.393713,6.6137066,6.574762,13.993537425994873,13.812355697154999,14.064279198646545,14.0316441655159,13.77832442522049,13.95731121301651,13.939575354258219
2.4679213,2.3994946,2.461271,2.459968,2.413135,2.4367433,2.4397554,7.276761,6.474297,7.2164655,7.2246413,6.669488,6.96541,6.9711776,14.471673965454102,13.873735070228577,14.419494569301605,14.415711164474487,14.010284841060638,14.223262667655945,14.235693713029226
2.5049698,2.4809043,2.5084755,2.5221148,2.465669,2.4601047,2.490373,7.7951508,7.468138,7.87011,8.099764,7.3337626,7.2960668,7.6438317,14.792107045650482,14.58761990070343,14.825527369976044,14.947597682476044,14.475446939468384,14.438693225383759,14.677832027276358
2.6097152,2.5704265,2.6013184,2.61284,2.5824356,2.5983708,2.595851,9.532242,8.843563,9.429717,9.668742,9.1305,9.448629,9.342233,15.684962272644043,15.352407097816467,15.621764957904816,15.72292298078537,15.467610955238342,15.60773104429245,15.57623321811358
