MAE1,MAE2,MAE3,MAE4,MAE5,MAE6,MAE_avg,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE_avg,MAPE1,MAPE2,MAPE3,MAPE4,MAPE5,MAPE6,MAPE_avg
2.015285,2.0606673,1.9728804,2.0347643,2.0061166,2.0215077,2.0185368,6.2260756,6.6555996,5.812835,6.4531565,6.2109203,6.3681254,6.287785,9.330907464027405,9.493006020784378,9.191950410604477,9.39304605126381,9.287407994270325,9.33964028954506,9.339326371749243
1.9826738,2.0322936,2.0054998,2.0218263,1.985271,2.0499506,2.0129192,5.880358,6.397658,6.168994,6.336689,6.002565,6.624688,6.235159,9.228359907865524,9.389030933380127,9.291253238916397,9.346064180135727,9.218474477529526,9.44412499666214,9.319551289081573
1.9862058,2.0093184,2.011998,2.0186772,1.983612,2.0319757,2.0069644,5.9213214,6.187433,6.2294173,6.308241,5.9840426,6.462347,6.182134,9.23837274312973,9.307364374399185,9.313895553350449,9.334752708673477,9.213480353355408,9.377793222665787,9.297609825929007
2.0093613,2.004676,2.0025454,1.9877656,2.0054739,1.995128,2.000825,6.16999,6.142091,6.140114,6.007122,6.2051044,6.1265736,6.131832,9.3104787170887,9.291692078113556,9.28129181265831,9.23025831580162,9.28511917591095,9.246263653039932,9.274183958768845
2.0168488,2.0022542,2.0097985,2.0125055,2.007494,2.0015855,2.0084143,6.240471,6.117954,6.2092547,6.251591,6.223546,6.1875834,6.2050667,9.336401522159576,9.283652156591415,9.306154400110245,9.3128502368927,9.292244911193848,9.268490225076675,9.29996557533741
2.0116963,1.9974147,2.005201,2.0151517,2.011212,1.9992537,2.006655,6.192736,6.067662,6.166093,6.2758975,6.2575717,6.166206,6.1876945,9.318391233682632,9.26809012889862,9.290236234664917,9.322217106819153,9.305396676063538,9.26031842827797,9.294108301401138
1.9975176,1.9849637,1.994356,1.9847388,1.9783968,1.9837252,1.9872831,6.0482306,5.9296126,6.056451,5.973514,5.9248996,6.008029,5.9901233,9.272050857543945,9.23052579164505,9.25462692975998,9.221143275499344,9.19814333319664,9.209681302309036,9.231028581658999
1.9986881,1.9836255,1.9949125,1.9891685,1.981564,1.9841771,1.9886894,6.0609956,5.9144607,6.0622897,6.022626,5.961088,6.0130763,6.005756,9.275668859481812,9.226631373167038,9.256397187709808,9.234528988599777,9.207376092672348,9.211046248674393,9.23527479171753
1.9996197,1.9855535,1.9963094,1.9913001,1.9833331,1.9851516,1.9902111,6.0708365,5.936216,6.077002,6.045713,5.9808955,6.023877,6.0224233,9.278613328933716,9.232266247272491,9.260834008455276,9.241130948066711,9.212654829025269,9.214012324810028,9.239918614427248
2.0001063,1.9875293,1.997358,1.9927601,1.9844681,1.9860829,1.9913841,6.0759745,5.9584794,6.087894,6.061005,5.9935946,6.03394,6.035148,9.280155599117279,9.23808068037033,9.264200925827026,9.245774894952774,9.216057509183884,9.216903895139694,9.243528917431831
2.0013912,1.98902,1.9986372,1.9935992,1.9857397,1.986899,1.9925479,6.089571,5.9752626,6.1010714,6.0698285,6.0077972,6.0426073,6.0476894,9.284227341413498,9.242492914199829,9.268341213464737,9.248443692922592,9.219887852668762,9.219471365213394,9.247144063313803
2.0022445,1.9904338,1.9995675,1.9944159,1.9867812,1.9876611,1.9935174,6.0984926,5.9910455,6.110589,6.0783267,6.019387,6.0506563,6.0580826,9.28695872426033,9.246721118688583,9.271369874477386,9.251061081886292,9.22304093837738,9.221883863210678,9.250172600150108
2.00456,1.9912089,2.001115,1.994416,1.988159,1.9881669,1.9946045,6.122385,5.999653,6.1260405,6.0783353,6.0344796,6.056002,6.0694823,9.294456988573074,9.24905464053154,9.276493638753891,9.251060336828232,9.227271378040314,9.223484992980957,9.253636995951334
1.9958928,1.9926305,1.9959666,1.995927,1.9844843,1.9871042,1.9920009,6.030276,6.0154896,6.073413,6.093842,5.993799,6.044771,6.0419316,9.267083555459976,9.25334170460701,9.25973355770111,9.255960583686829,9.216099232435226,9.220123291015625,9.245390320817629
1.9678082,1.957984,1.9660466,1.960397,1.9541342,1.9547876,1.9601928,5.6983933,5.583109,5.7278767,5.6778493,5.6151443,5.652628,5.659167,9.18966829776764,9.164755791425705,9.174519777297974,9.156332165002823,9.137970209121704,9.133192151784897,9.159406398733458
1.9659766,1.9552355,1.9636331,1.9568443,1.9515805,1.95141,1.9574467,5.6736526,5.536763,5.695513,5.627058,5.573716,5.6014867,5.618032,9.185612946748734,9.161234647035599,9.1690294444561,9.149187803268433,9.134143590927124,9.12712961435318,9.154389674464861
1.9658062,1.9554489,1.9634174,1.9567125,1.9516561,1.9512742,1.9573859,5.671312,5.5405207,5.692565,5.625029,5.5749955,5.599285,5.6172843,9.185247123241425,9.161461889743805,9.168555587530136,9.148959070444107,9.134241938591003,9.126920998096466,9.15423110127449
1.965734,1.955822,1.9633306,1.956795,1.9518695,1.9513574,1.9574846,5.670331,5.546989,5.6913834,5.626315,5.578629,5.6006465,5.619049,9.18508917093277,9.16188731789589,9.168362617492676,9.14909839630127,9.13451611995697,9.127044677734375,9.154333050052324
1.9656985,1.9562072,1.9632758,1.9569119,1.9521109,1.9514837,1.9576148,5.6698403,5.5536547,5.6906357,5.6281,5.5826983,5.6026974,5.621271,9.1850146651268,9.162332862615585,9.168242663145065,9.149304032325745,9.134836494922638,9.127235412597656,9.154494355122248
1.9656904,1.9565914,1.9632404,1.9570508,1.9523656,1.9516348,1.9577621,5.66972,5.560242,5.6901546,5.630156,5.5868826,5.6051216,5.6237125,9.184999018907547,9.162797778844833,9.168163686990738,9.149561822414398,9.135203063488007,9.1274693608284,9.154699121912321
1.9657029,1.9569741,1.9632205,1.9571978,1.9526272,1.951799,1.9579204,5.669893,5.56669,5.689885,5.632323,5.5911593,5.607757,5.626284,9.185025840997696,9.16329100728035,9.168118983507156,9.149838238954544,9.135585278272629,9.127724170684814,9.154930586616198
1.965733,1.9573536,1.9632117,1.9573492,1.9528943,1.9519705,1.9580854,5.670305,5.572936,5.6897693,5.634553,5.5954437,5.6105123,5.6289196,9.18509066104889,9.163818508386612,9.168099611997604,9.150124341249466,9.13599506020546,9.127993136644363,9.155186886588732
1.9657753,1.9577224,1.9632119,1.9575001,1.9531614,1.9521449,1.9582525,5.670892,5.5789676,5.689771,5.6367784,5.5997014,5.613313,5.6315703,9.185179322957993,9.164343774318695,9.168099611997604,9.150408953428268,9.136413782835007,9.128264337778091,9.15545163055261
1.965828,1.9580814,1.9632181,1.9576495,1.9534236,1.9523215,1.9584204,5.6716204,5.5847588,5.689858,5.6389713,5.6039014,5.616119,5.634205,9.185288846492767,9.164875745773315,9.16811227798462,9.15069431066513,9.136821329593658,9.128550440073013,9.155723825097084
1.9658884,1.9584255,1.9632291,1.9577979,1.953682,1.9525028,1.9585876,5.67246,5.5903187,5.690016,5.641114,5.608023,5.61889,5.636804,9.185417741537094,9.165389835834503,9.16813313961029,9.150984138250351,9.13722887635231,9.128867834806442,9.156003594398499
1.9659545,1.9587548,1.9632435,1.9579425,1.9539372,1.9526832,1.9587526,5.6733747,5.5956497,5.690217,5.6431847,5.612053,5.6216106,5.6393485,9.185557067394257,9.16588008403778,9.168163686990738,9.151273965835571,9.13764238357544,9.129192680120468,9.156284977992376
1.9660234,1.9590732,1.9632605,1.9580824,1.9541849,1.9528588,1.9589138,5.674333,5.600741,5.690455,5.6451864,5.6159763,5.6242604,5.641825,9.185702353715897,9.166373312473297,9.168199449777603,9.151551872491837,9.138041734695435,9.129507839679718,9.156562760472298
1.9660943,1.9593829,1.9632783,1.9582156,1.954426,1.9530284,1.959071,5.675325,5.60561,5.69071,5.647095,5.619797,5.626826,5.6442275,9.185848385095596,9.166871756315231,9.168233722448349,9.151819348335266,9.138433635234833,9.129814803600311,9.156836941838264
1.9661666,1.9596839,1.9632965,1.9583409,1.9546676,1.953195,1.9592248,5.6763287,5.610257,5.69097,5.6488996,5.6235037,5.629301,5.646543,9.185999631881714,9.167378395795822,9.168270230293274,9.152067452669144,9.13885310292244,9.130123257637024,9.157115345199903
1.9662378,1.9599746,1.9633155,1.9584614,1.9549078,1.9533573,1.9593757,5.6773324,5.6147017,5.6912413,5.6506243,5.6270885,5.631677,5.6487775,9.186145663261414,9.167882055044174,9.168307483196259,9.152308851480484,9.139294177293777,9.130435436964035,9.15739561120669
1.9663088,1.9602505,1.9633349,1.9585743,1.9551405,1.9535129,1.9595203,5.6783314,5.6189227,5.691513,5.6522484,5.6305666,5.633958,5.6509233,9.186290949583054,9.168360382318497,9.168349206447601,9.15253460407257,9.139721095561981,9.130731970071793,9.157664701342583
1.9663792,1.9605144,1.9633526,1.9586807,1.9553663,1.9536616,1.9596592,5.679318,5.6229587,5.691772,5.6537747,5.633923,5.636136,5.6529803,9.186436980962753,9.168820083141327,9.168382734060287,9.152748435735703,9.140139818191528,9.131020307540894,9.157924726605415
1.9664464,1.9607674,1.96337,1.9587815,1.9555894,1.953803,1.959793,5.680271,5.626799,5.69202,5.655207,5.6371665,5.63821,5.6549454,9.186572581529617,9.169267117977142,9.168416261672974,9.152953326702118,9.14057344198227,9.131291508674622,9.158179039756456
