,train_loss
0,1.556290365341637e-05
1,1.5511836908343765e-05
2,1.5944741769797273e-05
3,1.5791403905798993e-05
4,1.634746246660749e-05
5,1.5866558274461162e-05
6,1.5873246722751193e-05
7,1.5679331134176916e-05
8,1.5811364476879438e-05
9,1.5644141369395785e-05
10,1.572948285481996e-05
11,1.5678756818589238e-05
12,1.582583309047752e-05
13,1.5610403950429626e-05
14,1.575617455980844e-05
15,1.5459156388209927e-05
16,1.5315158654832176e-05
17,1.5317550860345365e-05
18,1.557681243866682e-05
19,1.54944713641372e-05
20,1.54769961308274e-05
21,1.504618933217393e-05
22,1.5117299949957265e-05
23,1.539242091692156e-05
24,1.5221711041198836e-05
25,1.5303951998551685e-05
26,1.6154140337473818e-05
27,1.540277489564485e-05
28,1.5284201233751245e-05
29,1.5171241377376848e-05
30,1.4978466141555044e-05
31,1.517651964806848e-05
32,1.5020926689936055e-05
33,1.533270554824008e-05
34,1.5405816439953115e-05
35,1.5425908430996868e-05
36,1.5764116413063475e-05
37,1.5147961676120758e-05
38,1.5495076465109984e-05
39,1.4982873625639412e-05
40,1.5150130364216037e-05
41,1.5437284277545082e-05
42,1.555068056202597e-05
43,1.499421118448178e-05
44,1.550519425008032e-05
45,1.4765277608401246e-05
46,1.556315123000079e-05
47,1.5097078608555927e-05
48,1.5430397405806515e-05
49,1.552859761027826e-05
50,1.4979894428203504e-05
51,1.5155355342560345e-05
52,1.520290065349804e-05
53,1.565061483739151e-05
54,1.487573789846566e-05
55,1.5409211369438304e-05
56,1.5557980578806664e-05
57,1.4987228334777884e-05
58,1.4886267276273833e-05
59,1.549165023283826e-05
60,1.5165294106635782e-05
61,1.5137234650966193e-05
62,1.4822579299410184e-05
63,1.5124662831011746e-05
64,1.4956907058755557e-05
65,1.4981669115109576e-05
66,1.4535215579801136e-05
67,1.4801928256120947e-05
68,1.502688094559643e-05
69,1.501254996077882e-05
70,1.4946211595088243e-05
71,1.500882078996963e-05
72,1.4837566607942184e-05
73,1.4888286435355742e-05
74,1.5207777938081158e-05
75,1.5019938194503387e-05
76,1.4329875508944193e-05
77,1.5383122954517602e-05
78,1.4863387526323399e-05
79,1.5065983817395237e-05
