,train_loss
0,1.7561865970492363e-05
1,1.8832689966075124e-05
2,1.8320534727536143e-05
3,1.862142002210021e-05
4,1.7843510722741484e-05
5,1.8685083487071096e-05
6,1.8271999433636665e-05
7,1.8602783093228936e-05
8,1.907614874653518e-05
9,1.8026301986537874e-05
10,1.8379350076429547e-05
11,1.8662047223187985e-05
12,1.8461921135894955e-05
13,1.79610273335129e-05
14,1.7858708160929383e-05
15,1.8287377315573394e-05
16,1.810340501833707e-05
17,1.7824258538894355e-05
18,1.8469623755663632e-05
19,1.7069834866560997e-05
20,1.8509909277781845e-05
21,1.7956774681806563e-05
22,1.7302133492194117e-05
23,1.8180973129346966e-05
24,1.8566715880297124e-05
25,1.831123314332217e-05
26,1.843638950958848e-05
27,1.811554073356092e-05
28,1.843028119765222e-05
29,1.7714684945531188e-05
30,1.8593427375890316e-05
31,1.768739428371191e-05
32,1.671577512752265e-05
33,1.9037907477468253e-05
34,1.7576651880517603e-05
35,1.7548485775478184e-05
36,1.840023323893547e-05
37,1.783529936801642e-05
38,1.7851281445473432e-05
39,1.8137835431843997e-05
40,1.808816858101636e-05
41,1.816226518712938e-05
42,1.7853316385298968e-05
43,1.852067362051457e-05
44,1.769282156601548e-05
45,1.8176703015342355e-05
46,1.8249972490593792e-05
47,1.7714007408358158e-05
48,1.8197818426415325e-05
49,1.880974043160677e-05
50,1.8432936049066484e-05
51,1.824018370825797e-05
52,1.727394468616694e-05
53,1.789875968825072e-05
54,1.815540890675038e-05
55,1.834273338317871e-05
56,1.816516218241304e-05
57,1.8339823000133038e-05
58,1.8376761581748723e-05
59,1.6791802481748162e-05
60,1.8189027905464172e-05
61,1.7887644353322686e-05
62,1.772731659002602e-05
63,1.838552358094603e-05
64,1.7956121009774506e-05
65,1.785943517461419e-05
66,1.79645064054057e-05
67,1.833215937949717e-05
68,1.7937037628144027e-05
69,1.761783962137997e-05
70,1.7853460740298032e-05
71,1.7867968417704105e-05
72,1.8066876218654216e-05
73,1.8200519261881708e-05
74,1.809984853025526e-05
75,1.7323742504231632e-05
76,1.8657521577551963e-05
77,1.804598548915237e-05
78,1.7038798541761936e-05
79,1.750506169628352e-05
