,train_loss
0,1.9829102675430477e-05
1,2.251824364066124e-05
2,2.2004233323968946e-05
3,2.1015636157244444e-05
4,2.1123039186932146e-05
5,2.2185314446687698e-05
6,2.1373634226620197e-05
7,2.0738375606015326e-05
8,2.1961916936561464e-05
9,2.22316209692508e-05
10,2.1021893480792642e-05
11,2.1632916759699583e-05
12,2.0717447623610495e-05
13,2.0017826464027167e-05
14,2.1590174292214215e-05
15,2.1264440147206187e-05
16,2.233109320513904e-05
17,2.1343770204111933e-05
18,2.089200192131102e-05
19,2.0361869828775526e-05
20,2.0973100326955318e-05
21,2.17088358476758e-05
22,2.091065456625074e-05
23,2.100556273944676e-05
24,2.0182931912131608e-05
25,2.1404041908681393e-05
26,2.119570621289313e-05
27,2.195014734752476e-05
28,2.0940102403983472e-05
29,2.092992188408971e-05
30,2.138689742423594e-05
31,2.1609594696201385e-05
32,2.030935138463974e-05
33,2.089034067466855e-05
34,2.1266747498884797e-05
35,2.235056599602103e-05
36,2.1066652261652053e-05
37,2.260532113723457e-05
38,2.0494253258220853e-05
39,2.0520909456536173e-05
40,2.1198049071244897e-05
41,2.128358231857419e-05
42,2.16834363527596e-05
43,2.093814662657678e-05
44,2.1043375600129366e-05
45,2.1231815917417407e-05
46,2.058814454358071e-05
47,2.0355245796963574e-05
48,1.872789754997939e-05
49,2.1526493364945056e-05
50,2.1504759788513185e-05
51,2.1347145666368305e-05
52,1.9914942095056175e-05
53,2.1481987787410616e-05
54,2.0480942912399768e-05
55,2.125638537108898e-05
56,2.1603602217510342e-05
57,2.1776376524940132e-05
58,2.0069960737600922e-05
59,1.9817519932985307e-05
60,2.0784257212653757e-05
61,2.1394940558820965e-05
62,2.100301848258823e-05
63,2.002702676691115e-05
64,2.0230576628819107e-05
65,2.0843976526521145e-05
66,2.0396338077262043e-05
67,2.1344998967833816e-05
68,2.111947047524154e-05
69,1.959682151209563e-05
70,2.0313398563303055e-05
71,2.0857001654803753e-05
72,1.9814043189398943e-05
73,2.0218085846863687e-05
74,2.032016054727137e-05
75,2.0362036302685737e-05
76,2.080420614220202e-05
77,2.0572521025314925e-05
78,2.09856522269547e-05
79,2.1239350317046047e-05
