MAE1,MAE2,MAE3,MAE4,MAE5,MAE6
21.231573,21.221956,21.212082,21.201977,21.191744,21.181454
21.221956,21.212082,21.201977,21.191744,21.181454,21.172112
21.212082,21.201977,21.191744,21.181454,21.172112,21.163734
21.201977,21.191744,21.181454,21.172112,21.163734,21.1559
21.191744,21.181454,21.172112,21.163734,21.1559,21.15286
21.181454,21.172112,21.163734,21.1559,21.15286,21.15026
21.172112,21.163734,21.1559,21.15286,21.15026,21.14586
21.163734,21.1559,21.15286,21.15026,21.14586,21.140709
21.1559,21.15286,21.15026,21.14586,21.140709,21.136002
21.15286,21.15026,21.14586,21.140709,21.136002,21.132025
21.15026,21.14586,21.140709,21.136002,21.132025,21.12856
21.14586,21.140709,21.136002,21.132025,21.12856,21.125427
21.140709,21.136002,21.132025,21.12856,21.125427,21.122557
21.136002,21.132025,21.12856,21.125427,21.122557,21.120523
21.132025,21.12856,21.125427,21.122557,21.120523,21.119232
21.12856,21.125427,21.122557,21.120523,21.119232,21.113953
21.125427,21.122557,21.120523,21.119232,21.113953,21.108809
21.122557,21.120523,21.119232,21.113953,21.108809,21.105942
21.120523,21.119232,21.113953,21.108809,21.105942,21.104904
21.119232,21.113953,21.108809,21.105942,21.104904,22.241816
21.113953,21.108809,21.105942,21.104904,22.241816,22.753181
21.108809,21.105942,21.104904,22.241816,22.753181,22.809998
21.105942,21.104904,22.241816,22.753181,22.809998,22.81008
21.104904,22.241816,22.753181,22.809998,22.81008,22.810066
22.241816,22.753181,22.809998,22.81008,22.810066,22.810057
22.753181,22.809998,22.81008,22.810066,22.810057,22.809982
22.809998,22.81008,22.810066,22.810057,22.809982,22.809978
22.81008,22.810066,22.810057,22.809982,22.809978,22.809975
22.810066,22.810057,22.809982,22.809978,22.809975,22.809973
22.810057,22.809982,22.809978,22.809975,22.809973,22.80997
22.809982,22.809978,22.809975,22.809973,22.80997,22.809973
22.809978,22.809975,22.809973,22.80997,22.809973,22.809969
22.809975,22.809973,22.80997,22.809973,22.809969,22.809973
22.809973,22.80997,22.809973,22.809969,22.809973,22.809975
22.80997,22.809973,22.809969,22.809973,22.809975,22.809975
22.809973,22.809969,22.809973,22.809975,22.809975,22.809975
22.809969,22.809973,22.809975,22.809975,22.809975,22.809975
22.809973,22.809975,22.809975,22.809975,22.809975,22.809975
22.809975,22.809975,22.809975,22.809975,22.809975,22.809975
22.809975,22.809975,22.809975,22.809975,22.809975,22.809977
22.809975,22.809975,22.809975,22.809975,22.809977,22.809977
22.809975,22.809975,22.809975,22.809977,22.809977,22.809977
22.809975,22.809975,22.809977,22.809977,22.809977,22.809978
22.809975,22.809977,22.809977,22.809977,22.809978,22.809978
22.809977,22.809977,22.809977,22.809978,22.809978,22.809978
22.809977,22.809977,22.809978,22.809978,22.809978,22.80998
22.809977,22.809978,22.809978,22.809978,22.80998,22.80998
22.809978,22.809978,22.809978,22.80998,22.80998,22.80998
22.809978,22.809978,22.80998,22.80998,22.80998,22.809977
22.809978,22.80998,22.80998,22.80998,22.809977,22.809967
22.80998,22.80998,22.80998,22.809977,22.809967,22.809952
22.80998,22.80998,22.809977,22.809967,22.809952,22.809963
22.80998,22.809977,22.809967,22.809952,22.809963,22.809906
22.809977,22.809967,22.809952,22.809963,22.809906,22.809906
22.809967,22.809952,22.809963,22.809906,22.809906,23.497795
22.809952,22.809963,22.809906,22.809906,23.497795,23.688015
22.809963,22.809906,22.809906,23.497795,23.688015,23.719479
22.809906,22.809906,23.497795,23.688015,23.719479,22.933945
22.809906,23.497795,23.688015,23.719479,22.933945,22.810186
23.497795,23.688015,23.719479,22.933945,22.810186,22.81009
23.688015,23.719479,22.933945,22.810186,22.81009,22.810028
23.719479,22.933945,22.810186,22.81009,22.810028,22.810005
22.933945,22.810186,22.81009,22.810028,22.810005,22.810005
22.810186,22.81009,22.810028,22.810005,22.810005,22.810001
22.81009,22.810028,22.810005,22.810005,22.810001,22.810005
22.810028,22.810005,22.810005,22.810001,22.810005,22.810001
22.810005,22.810005,22.810001,22.810005,22.810001,22.809998
22.810005,22.810001,22.810005,22.810001,22.809998,22.809986
22.810001,22.810005,22.810001,22.809998,22.809986,22.809975
22.810005,22.810001,22.809998,22.809986,22.809975,22.809963
22.810001,22.809998,22.809986,22.809975,22.809963,22.80996
22.809998,22.809986,22.809975,22.809963,22.80996,22.80996
22.809986,22.809975,22.809963,22.80996,22.80996,22.809948
22.809975,22.809963,22.80996,22.80996,22.809948,22.809946
22.809963,22.80996,22.80996,22.809948,22.809946,22.809929
22.80996,22.80996,22.809948,22.809946,22.809929,22.809942
22.80996,22.809948,22.809946,22.809929,22.809942,22.809956
22.809948,22.809946,22.809929,22.809942,22.809956,22.809954
22.809946,22.809929,22.809942,22.809956,22.809954,22.809978
22.809929,22.809942,22.809956,22.809954,22.809978,22.809975
22.809942,22.809956,22.809954,22.809978,22.809975,22.809978
22.809956,22.809954,22.809978,22.809975,22.809978,22.809992
22.809954,22.809978,22.809975,22.809978,22.809992,22.809982
22.809978,22.809975,22.809978,22.809992,22.809982,22.809978
22.809975,22.809978,22.809992,22.809982,22.809978,23.55177
22.809978,22.809992,22.809982,22.809978,23.55177,23.70714
22.809992,22.809982,22.809978,23.55177,23.70714,23.719723
22.809982,22.809978,23.55177,23.70714,23.719723,22.915783
22.809978,23.55177,23.70714,23.719723,22.915783,22.812792
23.55177,23.70714,23.719723,22.915783,22.812792,22.810282
23.70714,23.719723,22.915783,22.812792,22.810282,22.810196
23.719723,22.915783,22.812792,22.810282,22.810196,21.792019
22.915783,22.812792,22.810282,22.810196,21.792019,21.230831
22.812792,22.810282,22.810196,21.792019,21.230831,20.91875
22.810282,22.810196,21.792019,21.230831,20.91875,20.731508
22.810196,21.792019,21.230831,20.91875,20.731508,20.563581
21.792019,21.230831,20.91875,20.731508,20.563581,20.446228
21.230831,20.91875,20.731508,20.563581,20.446228,20.424335
20.91875,20.731508,20.563581,20.446228,20.424335,20.398335
20.731508,20.563581,20.446228,20.424335,20.398335,20.354897
20.563581,20.446228,20.424335,20.398335,20.354897,20.314892
20.446228,20.424335,20.398335,20.354897,20.314892,20.287382
20.424335,20.398335,20.354897,20.314892,20.287382,20.267218
20.398335,20.354897,20.314892,20.287382,20.267218,20.248684
