MAE1,MAE2,MAE3,MAE4,MAE5,MAE6
21.265923,21.273447,21.274681,21.27406,21.28822,21.298195
21.260248,21.27136,21.272749,21.274399,21.291658,21.301933
21.25346,21.265644,21.268549,21.27331,21.29211,21.303392
21.245306,21.259031,21.265247,21.271084,21.289814,21.301542
21.237034,21.253826,21.262247,21.2668,21.284836,21.296598
21.228743,21.247877,21.255753,21.25877,21.276197,21.28842
21.218447,21.237892,21.244104,21.246052,21.263054,21.27701
21.21204,21.230982,21.23677,21.238628,21.25497,21.269855
21.203136,21.221588,21.227245,21.228054,21.243286,21.260319
21.194551,21.214073,21.219568,21.218369,21.234503,21.25521
21.193378,21.213413,21.217659,21.216824,21.234465,21.25879
21.190453,21.209166,21.213087,21.212696,21.231602,21.258062
21.184017,21.202955,21.20803,21.206966,21.227177,21.255362
21.177267,21.197779,21.203163,21.201912,21.22348,21.253365
21.172619,21.19397,21.199276,21.19867,21.221172,21.252258
21.16866,21.19031,21.195978,21.196072,21.218817,21.250713
21.165407,21.188091,21.194489,21.194649,21.217705,21.250114
21.163197,21.187204,21.193691,21.194042,21.217522,21.250072
21.160917,21.18555,21.191803,21.192524,21.216095,21.248888
21.190342,21.214653,21.276436,21.278378,21.344713,21.739056
21.227077,21.269688,21.328594,21.37564,21.796844,21.962107
21.206871,21.251087,21.362753,21.792986,21.976763,21.955753
21.211555,21.300995,21.808422,21.97005,21.992119,21.9471
21.277258,21.74289,21.911676,21.91779,21.934944,21.957254
21.698952,21.848055,21.82946,21.848574,21.929113,21.944794
22.259867,22.23041,22.170158,22.17444,22.192436,22.122206
22.412716,22.349052,22.315569,22.352943,22.23762,22.163988
22.471457,22.471443,22.43122,22.34808,22.280132,22.196316
22.540215,22.53467,22.378935,22.300774,22.27518,22.188429
22.587141,22.466808,22.333424,22.309483,22.239025,22.142365
22.498726,22.396088,22.324997,22.301868,22.188463,22.110325
22.479448,22.428814,22.379232,22.316692,22.236792,22.182644
22.518635,22.477009,22.410719,22.364828,22.31427,22.275513
22.559662,22.504145,22.454956,22.435974,22.393476,22.35046
22.590647,22.553514,22.537708,22.527794,22.487284,22.452347
22.644547,22.640278,22.644178,22.633747,22.611305,22.602966
22.699295,22.712898,22.717834,22.716833,22.717068,22.730877
22.728754,22.74347,22.754803,22.766499,22.77848,22.785599
22.72434,22.74266,22.760698,22.773891,22.777128,22.783682
22.715069,22.737701,22.75427,22.756084,22.75579,22.769394
22.71526,22.73346,22.740604,22.73909,22.738047,22.747366
22.706955,22.713469,22.711979,22.706083,22.699728,22.708902
22.70692,22.704624,22.702324,22.692175,22.68784,22.688892
22.717169,22.710463,22.707924,22.698849,22.69189,22.686417
22.715261,22.706835,22.702333,22.687082,22.682701,22.683073
22.724995,22.717722,22.713469,22.701462,22.704649,22.695358
22.728832,22.721617,22.717201,22.710888,22.705292,22.688091
22.724413,22.719385,22.7161,22.70081,22.68921,22.672352
22.72475,22.721245,22.71152,22.690632,22.675074,22.658789
22.722105,22.713234,22.69606,22.672129,22.651573,22.634254
22.719913,22.70509,22.685827,22.659386,22.634804,22.610626
22.717348,22.69894,22.677097,22.647167,22.61587,22.590714
22.715002,22.693935,22.668098,22.632406,22.600475,22.579905
22.715748,22.691742,22.661516,22.625902,22.59736,22.582264
22.624304,22.585419,22.543505,22.526054,22.387964,23.209558
22.420374,22.487844,22.449419,22.37269,23.168955,23.486866
22.500137,22.492744,22.361374,23.13527,23.491426,23.55483
22.421227,22.397955,23.154789,23.548584,23.717243,23.029444
22.447256,23.334114,23.607265,23.70187,22.904852,22.517834
23.340042,23.66637,23.745195,22.908894,22.531345,22.372955
23.645302,23.744118,22.89439,22.50528,22.403376,22.358555
23.798246,22.898472,22.504978,22.379955,22.340836,22.27272
22.851763,22.431625,22.330555,22.293194,22.245577,22.163649
22.467228,22.356,22.325703,22.273144,22.198309,22.110247
22.514324,22.486876,22.442467,22.3782,22.333149,22.272312
22.592545,22.56363,22.516928,22.51612,22.434807,22.38417
22.617714,22.59568,22.568352,22.540184,22.472775,22.42495
22.66199,22.653477,22.615622,22.575321,22.538599,22.49901
22.685265,22.659182,22.61838,22.607044,22.565237,22.514704
22.675915,22.647352,22.6241,22.611866,22.546816,22.499645
22.691978,22.680737,22.671185,22.63877,22.57508,22.541748
22.715385,22.71341,22.695675,22.661276,22.609715,22.592499
22.723125,22.713892,22.6907,22.661291,22.618134,22.605133
22.720264,22.70643,22.687416,22.664928,22.623985,22.605362
22.716084,22.700413,22.684216,22.659283,22.613533,22.591148
22.719662,22.702972,22.685453,22.654175,22.60866,22.580702
22.721298,22.700912,22.675854,22.6391,22.59476,22.568867
22.720985,22.69506,22.664577,22.625057,22.587135,22.561367
22.722471,22.692553,22.660322,22.624668,22.588837,22.557556
22.71681,22.686768,22.654476,22.618708,22.582024,22.56062
22.71675,22.689608,22.658976,22.623486,22.594223,22.576033
22.718548,22.69325,22.661953,22.633375,22.604378,22.588776
22.718405,22.695078,22.669485,22.643513,22.616009,22.592953
22.719725,22.701437,22.678545,22.65286,22.619226,22.59204
22.574139,22.543087,22.520298,22.50307,22.346247,23.287592
22.35238,22.44759,22.39714,22.313261,23.226694,23.513767
22.417656,22.405397,22.26731,23.132862,23.479052,23.541159
22.339579,22.31515,23.156956,23.545765,23.70449,22.925266
22.357506,23.33303,23.59972,23.696026,22.769276,22.33809
23.355497,23.684425,23.79177,22.819515,22.394032,22.207066
23.6664,23.782797,22.773863,22.341286,22.260828,22.207949
23.89272,22.820835,22.392128,22.266953,22.272623,22.03376
22.791391,22.304693,22.205996,22.151066,22.033129,21.938074
