MAE1,MAE2,MAE3,MAE4,MAE5,MAE6
21.092678,21.076057,21.042828,21.02242,21.02117,21.014887
21.088291,21.074759,21.041006,21.022758,21.023743,21.017397
21.081327,21.068367,21.035835,21.019123,21.020617,21.015238
21.072609,21.060987,21.030878,21.014048,21.015205,21.010258
21.063488,21.054346,21.025436,21.007278,21.007868,21.00319
21.053925,21.046482,21.01675,20.997559,20.997755,20.994122
21.042809,21.035732,21.00474,20.985052,20.985157,20.983614
21.036306,21.029346,20.998217,20.978935,20.97854,20.977678
21.02806,21.021208,20.989935,20.96999,20.968388,20.96918
21.020079,21.014559,20.982872,20.961039,20.960087,20.964046
21.018969,21.013906,20.980581,20.959005,20.959127,20.966267
21.016207,21.009577,20.975615,20.954273,20.955332,20.964357
21.010044,21.00325,20.970201,20.948112,20.950375,20.960989
21.003315,20.997717,20.964811,20.942522,20.946016,20.958364
20.998857,20.99394,20.96097,20.939375,20.943842,20.957462
20.995388,20.990776,20.958252,20.937471,20.942331,20.95677
20.99261,20.988977,20.957212,20.936594,20.941818,20.956694
20.990791,20.988316,20.956573,20.936153,20.941689,20.956608
20.988924,20.987013,20.955095,20.935034,20.940718,20.955778
20.99899,20.992903,21.017788,20.998144,21.04974,21.377043
21.028128,21.045193,21.064734,21.09201,21.444304,21.580225
21.005741,21.017904,21.090487,21.439526,21.591286,21.547194
21.005142,21.070343,21.470373,21.594269,21.591848,21.538698
21.075756,21.453783,21.564133,21.53953,21.540043,21.550415
21.432835,21.53634,21.479624,21.474232,21.541004,21.533892
21.066372,20.922857,21.093105,21.222445,21.295338,21.255049
20.78331,20.897427,21.125149,21.231085,21.285477,21.24947
20.815357,20.963549,21.126223,21.188257,21.234037,21.236687
20.826345,20.901361,21.055351,21.127254,21.19318,21.204365
20.78178,20.842712,21.00585,21.08659,21.160997,21.180994
20.748465,20.825695,21.000462,21.078125,21.15521,21.185171
20.732906,20.82468,21.006413,21.08562,21.164974,21.190046
20.713314,20.810352,21.00261,21.08585,21.16537,21.186518
20.692715,20.799173,20.99864,21.081272,21.163937,21.194513
20.687471,20.80141,20.998783,21.083164,21.173748,21.210354
20.692709,20.805155,21.001448,21.090172,21.18582,21.219856
20.641912,20.755592,21.066242,21.088087,21.296776,21.930563
20.567663,20.784668,20.983294,21.241663,21.787468,22.0868
20.58619,20.763767,21.131563,21.679632,21.929241,22.088608
20.818447,21.205194,21.72516,21.957514,21.95324,21.469099
21.09889,21.521585,21.828663,21.760324,21.454731,21.21504
21.259491,21.473383,21.523735,21.301655,21.199251,21.241064
21.904045,21.98352,21.604591,21.486408,21.522612,21.61929
21.978153,21.633972,21.530718,21.57223,21.590878,21.645332
21.650711,21.591654,21.583408,21.637854,21.65335,21.687878
21.39287,21.410265,21.464355,21.493877,21.53343,21.537045
21.139544,21.189474,21.27443,21.33192,21.388561,21.329334
21.162521,21.236067,21.317394,21.3728,21.37719,21.341496
21.107315,21.153202,21.24583,21.268784,21.275112,21.265375
21.033836,21.100092,21.189257,21.206564,21.247408,21.265564
20.995708,21.053549,21.137114,21.185678,21.240847,21.246822
20.982292,21.038113,21.139914,21.201113,21.244757,21.249626
20.968567,21.03774,21.150509,21.19816,21.241467,21.255692
20.957478,21.036064,21.143457,21.188656,21.243574,21.259895
20.948856,21.021587,21.128353,21.184195,21.24431,21.255283
20.941408,21.010475,21.125217,21.184332,21.24532,21.257711
20.930645,21.003677,21.124329,21.181393,21.246408,21.261875
20.92048,20.997763,21.119738,21.176426,21.246685,21.265776
20.905245,20.983479,21.10655,21.166666,21.243462,21.263315
20.887175,20.966707,21.093431,21.158169,21.239897,21.261356
20.87429,20.957169,21.087536,21.153618,21.238295,21.263424
20.864601,20.95111,21.083042,21.148926,21.236706,21.265474
20.857557,20.946344,21.07814,21.145065,21.236135,21.267036
20.852057,20.940413,21.073107,21.141998,21.235031,21.26571
20.862946,20.951921,21.083664,21.151419,21.242426,21.2734
20.886286,20.973087,21.1011,21.164608,21.251345,21.280695
20.851088,20.922287,21.150126,21.166613,21.326735,21.8663
20.75975,20.927525,21.079933,21.240723,21.70612,22.008574
20.802738,20.94404,21.171856,21.611076,21.871956,22.04155
20.991243,21.236197,21.605988,21.833818,21.884495,21.461607
21.162102,21.476002,21.743275,21.711864,21.46248,21.246601
21.323757,21.534302,21.580412,21.37355,21.268047,21.30209
