MAE1,MAE2,MAE3,MAE4,MAE5,MAE6
16.547482,16.519339,16.46642,16.424265,16.42241,16.415808
16.514835,16.495728,16.452812,16.405056,16.375477,16.365833
16.500242,16.48191,16.433231,16.372103,16.339186,16.34137
16.489841,16.461554,16.403788,16.345695,16.330496,16.337456
16.468046,16.436409,16.380983,16.33364,16.322527,16.32391
16.442253,16.416714,16.368021,16.320807,16.296873,16.295246
16.423798,16.401606,16.35245,16.297487,16.266798,16.268757
16.410366,16.384178,16.32952,16.272366,16.248384,16.254293
16.395231,16.36529,16.309444,16.258497,16.24194,16.248102
16.380962,16.354137,16.30273,16.257488,16.239563,16.246553
16.375404,16.354935,16.307295,16.262913,16.24173,16.25401
16.379566,16.362762,16.315771,16.27213,16.253769,16.2726
16.387623,16.372421,16.326569,16.28682,16.273674,16.295746
16.39084,16.377502,16.335407,16.29792,16.283247,16.301256
16.383244,16.370783,16.331432,16.287848,16.26245,16.269695
16.361832,16.344652,16.302256,16.244778,16.206255,16.199144
16.324234,16.295307,16.244183,16.171429,16.12309,16.100763
16.269669,16.225529,16.163734,16.079054,16.023685,15.987916
16.200922,16.142345,16.07076,15.978128,15.916553,15.87175
16.498165,16.408016,16.11164,16.176695,16.654858,17.44625
16.488579,15.967551,15.8063135,16.766088,18.498363,19.733013
15.920171,15.764303,16.656569,18.4752,20.149899,20.923845
15.743556,16.801144,18.594393,20.227879,20.843708,21.05204
16.914764,18.697956,20.335373,21.016901,20.968609,21.103008
18.806623,20.11441,20.89181,21.000439,21.063934,21.252865
20.064167,20.708199,20.922642,21.018095,21.27234,21.332067
20.442749,20.877317,21.020597,21.13092,21.200184,21.024544
20.675179,21.039486,21.121239,21.097717,20.987194,20.811802
20.99091,21.185246,21.10635,20.997416,20.949318,20.968168
21.129427,21.129316,20.960567,20.917568,21.027586,21.137047
21.038456,20.969694,20.862207,20.943892,21.132627,21.195839
20.93043,20.922594,20.937742,21.100115,21.293503,21.33139
20.971678,21.05492,21.158037,21.35307,21.563673,21.661371
21.136538,21.282677,21.433475,21.646412,21.886614,22.039257
21.35175,21.543169,21.728746,21.950006,22.192032,22.344471
21.597076,21.8289,22.035683,22.24116,22.449806,22.577314
21.971056,22.16576,22.332878,22.552086,22.857677,23.176184
22.186008,22.330114,22.525331,22.809471,23.184988,23.516325
22.277422,22.47657,22.7692,23.068684,23.333515,23.417837
22.35798,22.718235,23.078209,23.241127,23.179935,22.855684
22.682358,23.086271,23.304573,23.231052,22.930454,22.522514
23.076874,23.29692,23.232822,23.009476,22.728674,22.576183
23.204102,23.139215,22.880198,22.69343,22.603031,22.651283
22.989285,22.780294,22.541592,22.47573,22.506054,22.496935
22.678911,22.514297,22.406559,22.411644,22.43702,22.313862
22.53917,22.457657,22.424755,22.44506,22.489094,22.437445
22.518768,22.469265,22.461807,22.511053,22.62727,22.690523
22.4968,22.474731,22.510447,22.603373,22.748062,22.797354
22.449482,22.504976,22.603458,22.691044,22.749569,22.657158
22.501492,22.617891,22.71228,22.735846,22.70514,22.568207
22.627834,22.718447,22.736973,22.706213,22.673985,22.6218
22.70113,22.710716,22.663662,22.639008,22.667673,22.689516
22.662188,22.626787,22.582235,22.596134,22.660936,22.665209
22.582174,22.562689,22.559267,22.595562,22.653645,22.61549
22.546993,22.560629,22.583975,22.619633,22.669436,22.635307
22.564398,22.591122,22.617294,22.654425,22.721384,22.72833
22.584291,22.611849,22.641108,22.691097,22.775383,22.796812
22.587234,22.624025,22.667759,22.728611,22.808239,22.80558
22.592813,22.648407,22.70504,22.76173,22.818624,22.785652
22.617868,22.685116,22.738682,22.779657,22.814728,22.769165
22.652212,22.715168,22.75233,22.777481,22.800224,22.753098
22.674824,22.723936,22.743015,22.757229,22.772097,22.718864
22.67831,22.71354,22.719233,22.72523,22.732124,22.667353
22.670712,22.694918,22.69066,22.689707,22.69215,22.6228
22.658007,22.672394,22.659637,22.654171,22.657888,22.592686
22.641016,22.646118,22.62765,22.622269,22.633003,22.575819
22.61971,22.618927,22.600002,22.59924,22.619663,22.570444
22.593513,22.592989,22.578278,22.581478,22.605078,22.554598
22.571743,22.574488,22.564066,22.568836,22.593876,22.543741
22.557508,22.563335,22.554638,22.559464,22.586586,22.541704
22.548843,22.55476,22.545952,22.552448,22.585545,22.549854
22.540924,22.546318,22.539076,22.550049,22.590736,22.562952
22.53236,22.5395,22.536875,22.553574,22.600449,22.577208
22.525877,22.537094,22.540483,22.562319,22.613491,22.593273
22.52383,22.539968,22.549187,22.575268,22.629541,22.611557
22.56144,22.558998,22.558912,22.607483,22.71651,22.778019
22.55045,22.537071,22.563873,22.660425,22.82008,22.901773
22.508764,22.53817,22.628191,22.751644,22.884369,22.879461
22.485086,22.607655,22.750227,22.828856,22.83142,22.665262
22.597372,22.762093,22.858355,22.840582,22.743523,22.556465
22.761883,22.857128,22.836529,22.759382,22.68184,22.616068
22.816233,22.794518,22.696323,22.64149,22.650633,22.668255
22.722874,22.649204,22.568808,22.569572,22.624355,22.608696
22.595686,22.551994,22.532667,22.561548,22.605976,22.536816
22.539091,22.542816,22.557812,22.581741,22.611591,22.547228
22.552902,22.572622,22.586327,22.606176,22.651878,22.634098
22.57106,22.587296,22.597977,22.629223,22.695484,22.69723
22.570047,22.5905,22.61383,22.660732,22.73304,22.723116
22.568417,22.606476,22.647263,22.699509,22.762135,22.735123
22.585085,22.638914,22.686743,22.73413,22.784666,22.750656
22.615017,22.67421,22.718136,22.757889,22.799036,22.761492
22.407251,22.58329,22.708378,22.55982,22.065338,21.162174
22.337776,22.625084,22.64872,21.996662,20.873764,19.581306
22.605837,22.647089,22.164972,20.945332,19.620613,18.938087
22.682325,22.069675,21.010414,19.73561,18.966377,18.998957
21.805317,20.64569,19.521597,18.797333,18.784538,18.7707
20.492472,19.453512,18.803213,18.637327,18.747158,18.424917
19.52026,18.90799,18.693851,18.687828,18.60662,18.276806
18.996792,18.651716,18.584698,18.517515,18.353777,18.149109
18.669746,18.3997,18.336338,18.234665,18.124075,17.981163
18.365215,18.135118,18.079582,17.986158,17.90903,17.77288
18.103523,17.92486,17.886635,17.79282,17.712132,17.604685
17.917776,17.77458,17.737541,17.638948,17.574402,17.517952
17.801258,17.679358,17.638828,17.557358,17.533981,17.525013
17.7288,17.63355,17.601957,17.550987,17.557362,17.581217
17.686047,17.623236,17.608667,17.579035,17.592146,17.635431
17.667177,17.631376,17.629726,17.605555,17.615055,17.66715
17.664549,17.6445,17.64706,17.61913,17.624748,17.678123
17.667795,17.653448,17.653893,17.619833,17.623102,17.673939
17.668032,17.652538,17.648237,17.60871,17.61083,17.657726
17.66035,17.640278,17.631401,17.587868,17.58941,17.631432
17.644392,17.619448,17.607298,17.560614,17.56094,17.597954
17.622847,17.59396,17.579288,17.529638,17.528332,17.561821
17.59836,17.566032,17.548903,17.49693,17.495028,17.526966
17.571917,17.536524,17.517376,17.464443,17.46317,17.494501
17.552261,17.516804,17.49507,17.454857,17.4822,17.547523
17.557121,17.520744,17.503395,17.509441,17.609669,17.735598
17.56036,17.536303,17.555792,17.63627,17.803339,17.94654
17.558529,17.591223,17.677336,17.801876,17.94951,18.050352
17.594025,17.69939,17.826048,17.921455,17.985037,18.036911
