MAE1,MAE2,MAE3,MAE4,MAE5,MAE6
17.349491,17.36353,17.34102,17.261114,17.281244,17.284101
17.356543,17.35324,17.312195,17.236433,17.256563,17.254744
17.343304,17.317804,17.267937,17.193302,17.201033,17.198217
17.323473,17.286226,17.236212,17.155481,17.151867,17.154058
17.307772,17.261675,17.206999,17.11669,17.10784,17.115276
17.273859,17.222471,17.174414,17.081764,17.082872,17.108755
17.234844,17.182896,17.144892,17.057602,17.072895,17.114635
17.2039,17.155626,17.131275,17.056557,17.08478,17.134485
17.178724,17.14403,17.13833,17.08048,17.11548,17.168606
17.152304,17.142063,17.160503,17.119286,17.165497,17.224504
17.149752,17.14647,17.167627,17.130222,17.18129,17.238976
17.140364,17.135242,17.16002,17.130642,17.184021,17.24327
17.152985,17.16737,17.202496,17.171179,17.216366,17.266266
17.195614,17.217228,17.217052,17.157701,17.176908,17.189434
17.175634,17.172258,17.14206,17.064043,17.06437,17.067774
17.139164,17.128553,17.087091,17.00842,17.004223,16.99999
17.096375,17.049921,16.997967,16.908247,16.884918,16.886906
17.010033,16.950003,16.921162,16.826601,16.818369,16.860294
16.953247,16.912104,16.896307,16.809204,16.811817,16.860134
16.68454,16.705692,16.658596,16.442562,16.77006,18.299774
16.679527,16.60267,16.58783,16.267677,18.084642,19.323086
16.814205,16.704943,16.570444,17.900335,19.076473,19.67638
16.36095,16.493958,17.414091,18.518253,19.297035,19.625483
16.262465,17.19205,18.321468,19.371658,19.998692,20.52875
17.056072,18.261795,19.200186,19.997501,20.521492,20.67564
19.119389,20.298838,20.650066,20.957623,21.164625,20.841131
20.281273,20.877182,21.198286,21.342087,21.2331,21.149054
20.50782,20.999155,21.132984,21.03888,21.119526,21.160942
20.785572,21.013056,20.997005,20.954918,21.114729,21.133307
20.880865,20.925297,20.941545,20.982243,21.112381,21.163752
20.938553,21.005116,21.009825,21.046322,21.16539,21.190653
21.030373,21.078588,21.069366,21.13348,21.210926,21.153824
21.07035,21.09529,21.118683,21.19733,21.197739,21.107681
21.137058,21.186676,21.236538,21.276003,21.230356,21.145388
21.367722,21.437534,21.45951,21.460817,21.406378,21.33735
21.73232,21.782482,21.766682,21.772148,21.728285,21.660685
21.657837,21.69022,21.653769,21.673027,21.62473,23.642612
21.521406,21.492188,21.389593,21.462006,23.407455,23.70298
21.582472,21.464848,21.286518,23.161678,23.592377,23.686876
21.4047,21.326555,23.3651,23.810343,23.973389,22.455524
21.59217,23.597517,23.897596,23.994898,22.376574,21.513893
23.479767,23.976501,24.13113,22.376991,21.62495,21.382421
23.411127,23.55418,21.912258,21.076889,21.035543,20.962662
23.640968,21.869125,21.29937,21.048668,21.047169,21.168152
21.683908,21.035913,20.919153,20.86119,20.955809,20.941599
21.31541,21.222641,21.196566,21.193947,21.389269,21.659693
21.635601,21.615395,21.59105,21.772505,22.122128,22.488237
22.094696,22.106384,22.16964,22.600945,23.07619,23.354568
22.332447,22.372807,22.796654,23.332432,23.663776,23.315544
22.43026,22.970295,23.454138,23.63866,23.401068,23.127947
23.109379,23.625097,23.72701,23.430786,23.348846,23.28787
23.157646,23.277409,23.019297,22.825363,22.877323,22.90055
22.827446,22.600906,22.43248,22.377144,22.387993,22.46088
22.489365,22.360905,22.32543,22.385233,22.311354,22.35418
22.632849,22.624926,22.708649,22.75015,22.6703,22.666414
22.71177,22.752634,22.819298,22.809246,22.822418,22.891819
22.808117,22.892532,22.943008,23.017551,23.154026,23.25807
22.811077,22.887695,22.952942,23.099339,23.229984,23.243328
22.794064,22.88858,23.01226,23.152967,23.205082,23.178486
22.829372,22.97365,23.111359,23.174965,23.178234,23.143763
22.866753,23.007956,23.074253,23.06703,23.07177,23.045769
22.824982,22.897648,22.899696,22.87809,22.889683,22.846277
22.724901,22.741028,22.7206,22.702244,22.668148,22.60889
22.656292,22.64443,22.614939,22.559338,22.47768,22.43148
22.64659,22.612041,22.566133,22.476013,22.398022,22.341106
22.670918,22.611431,22.548622,22.459911,22.394943,22.327532
22.686182,22.612053,22.548523,22.472702,22.427874,22.365883
22.712513,22.643055,22.600239,22.550245,22.52282,22.429062
22.719635,22.66795,22.639381,22.59736,22.549053,22.458065
22.715988,22.681637,22.655584,22.592508,22.544771,22.470829
22.711618,22.67779,22.634054,22.565264,22.515055,22.460068
22.692644,22.644579,22.593374,22.524965,22.472824,22.42556
22.682194,22.628073,22.5825,22.519375,22.464561,22.416843
22.684868,22.629486,22.59029,22.528322,22.466986,22.409933
22.684408,22.629337,22.589863,22.519848,22.453543,22.396393
22.673553,22.602257,22.491823,22.441591,22.19619,22.989017
22.53301,22.506153,22.423096,22.305666,22.973896,23.320873
22.655684,22.600605,22.379553,23.15323,23.522923,23.57206
22.38598,22.27005,23.099453,23.570564,23.760605,22.929686
22.394377,23.351494,23.732283,23.844458,22.908081,22.330399
23.444963,23.776958,23.829626,22.756477,22.29834,22.070557
23.01593,23.046051,22.0704,21.46603,21.343388,21.263079
23.121647,22.045008,21.636326,21.342522,21.279495,21.284956
21.857338,21.414299,21.264442,21.16368,21.142294,21.02036
21.931278,21.838966,21.732075,21.685902,21.59427,21.488903
22.122185,22.040321,21.89114,21.871727,21.720535,21.581724
22.355736,22.299019,22.101768,22.021679,21.866783,21.726328
22.479366,22.387472,22.161396,22.088985,21.938614,21.786373
22.528265,22.41466,22.257847,22.198862,22.039234,21.90989
22.505392,22.440449,22.372862,22.297062,22.153513,22.069202
22.51936,22.520874,22.4815,22.403893,22.296238,22.264305
22.504107,22.51858,22.54058,22.49931,22.399624,22.328587
22.589851,22.599705,22.616087,22.554592,22.392637,22.321651
22.645672,22.619316,22.571993,22.447817,22.277649,22.142946
22.706463,22.626371,22.534494,22.35552,22.201332,22.040497
22.666431,22.540085,22.417927,22.22408,22.084414,21.910498
22.630915,22.484884,22.35501,22.154863,22.019466,21.864727
20.349823,20.123478,19.964705,19.72572,19.819353,19.313673
19.246677,19.12638,19.041704,18.973385,18.920954,18.700169
18.957996,18.86631,18.795385,18.670382,18.487131,18.679762
18.690678,18.637566,18.577309,18.408056,18.336746,18.48225
18.575022,18.549479,18.426497,18.3425,18.28259,18.319868
18.40612,18.319382,18.230427,18.167664,18.072544,18.081554
18.350163,18.265015,18.228924,18.1319,18.03696,18.07205
18.288782,18.227926,18.17778,18.07028,18.000645,18.020725
18.218948,18.156137,18.10912,17.99853,17.94202,17.984152
18.153381,18.094234,18.046392,17.944576,17.902952,17.954365
18.107662,18.050526,18.01395,17.922728,17.890285,17.946335
18.07766,18.029701,18.007126,17.922033,17.899168,17.95491
18.054821,18.01872,18.004509,17.927094,17.912374,17.967482
18.033455,18.0065,17.99652,17.929237,17.919884,17.974222
18.013391,17.99229,17.984987,17.927727,17.921284,17.972916
17.995148,17.977646,17.97197,17.923002,17.917603,17.96432
17.978323,17.962872,17.957748,17.914873,17.909412,17.950468
17.961794,17.947264,17.941473,17.90283,17.896996,17.93286
17.874435,17.82481,17.839596,17.800423,17.784502,18.40779
17.754972,17.788166,17.786192,17.768272,18.384754,18.670534
17.700163,17.748291,17.674255,18.335886,18.668718,18.839752
17.62632,17.67266,18.250301,18.545322,18.749945,18.918415
17.681425,18.258467,18.65291,18.815031,19.013939,19.20383
18.250498,18.608166,18.815496,18.939653,19.137033,19.18213
18.337202,18.52223,18.664831,18.736292,18.831108,18.7957
18.248903,18.40519,18.526976,18.5534,18.573662,18.560411
18.218548,18.355854,18.405106,18.401283,18.40324,18.397831
18.212923,18.29576,18.292482,18.285809,18.279415,18.287817
18.153025,18.194422,18.175299,18.165054,18.156826,18.183395
18.099827,18.133812,18.116932,18.103638,18.10028,18.141674
18.089834,18.119823,18.108429,18.097338,18.097324,18.143106
18.084715,18.11373,18.104668,18.084896,18.087212,18.128075
18.103054,18.13406,18.123638,18.09613,18.095509,18.142738
18.12808,18.150799,18.12967,18.095114,18.095201,18.135462
18.131596,18.141865,18.113298,18.07233,18.06736,18.105001
18.128971,18.12929,18.094515,18.046623,18.037344,18.075851
18.124102,18.112244,18.070389,18.018097,18.006529,18.042007
18.112549,18.08885,18.0444,17.989738,17.975927,18.0106
18.104786,18.072525,18.028433,17.972614,17.959421,17.994503
18.095024,18.055878,18.012949,17.956776,17.947025,17.981493
18.08118,18.038088,17.99786,17.942373,17.937435,17.973368
18.068762,18.023668,17.985987,17.9333,17.934029,17.969944
18.054358,18.008837,17.975,17.925976,17.93214,17.970219
18.041922,17.99838,17.968761,17.923223,17.93594,17.975742
18.031923,17.991005,17.965343,17.924915,17.943388,17.982668
18.023037,17.9861,17.965742,17.93005,17.95205,17.990984
18.017971,17.986214,17.970102,17.936977,17.961302,17.999699
18.02,17.992645,17.978619,17.947676,17.97364,18.010971
18.01168,17.986868,17.972914,17.941807,17.968597,18.005116
17.991951,17.969542,17.954891,17.922064,17.950043,17.986595
17.969059,17.94667,17.929535,17.89768,17.925861,17.960285
17.943983,17.920101,17.902937,17.873005,17.898905,17.93224
17.919819,17.896648,17.881649,17.851303,17.875751,17.91028
17.89828,17.877138,17.863089,17.831532,17.85735,17.893757
17.880896,17.86058,17.846523,17.816706,17.843493,17.876488
17.862595,17.842726,17.829918,17.801859,17.82393,17.853619
17.846287,17.828287,17.815714,17.784101,17.800482,17.82787
17.83362,17.81484,17.797104,17.760523,17.772522,17.797009
17.818655,17.79448,17.770674,17.731012,17.739056,17.761524
17.79979,17.769537,17.74239,17.700954,17.705214,17.726837
17.770432,17.736801,17.708271,17.663017,17.66604,17.693583
17.73721,17.702246,17.671873,17.624163,17.632221,17.665268
17.701904,17.664083,17.633392,17.589565,17.602392,17.637005
17.664469,17.62638,17.601229,17.561968,17.57571,17.611767
17.631466,17.598476,17.579693,17.540812,17.555061,17.592735
17.6045,17.57828,17.561922,17.52161,17.538092,17.576246
17.36205,17.408413,17.368336,17.255243,17.440447,19.003082
17.429756,17.382582,17.366854,17.178057,18.925077,19.976482
17.579268,17.488365,17.399635,18.905224,19.964819,20.431019
17.277565,17.396317,18.68287,19.780542,20.403223,20.654755
17.176552,18.445225,19.58454,20.317211,20.585903,20.824783
18.373861,19.586658,20.24972,20.579838,20.752363,20.724146
20.269222,21.076183,21.211523,21.221132,21.261066,21.11202
21.0145,21.257555,21.36608,21.360239,21.312098,21.318686
20.985205,21.18489,21.143522,21.033535,21.150253,21.311333
21.24199,21.261654,21.14696,21.12743,21.323763,21.401966
21.42039,21.356304,21.298,21.392557,21.451014,21.439402
21.765245,21.795506,21.772095,21.858019,21.813725,21.719496
21.48343,21.488077,21.45646,21.485605,21.413807,21.321978
21.610909,21.68505,21.65227,21.630848,21.59318,21.611504
22.215792,22.269047,22.266264,22.356762,22.316885,22.306116
22.616684,22.676712,22.724623,22.836718,22.807919,22.741405
22.66665,22.774103,22.79936,22.803814,22.830685,22.841488
22.73483,22.83103,22.808838,22.829655,22.916338,23.01595
22.783438,22.80871,22.834248,22.948296,23.011322,23.018227
22.719654,22.77505,22.857006,22.938337,22.923344,22.944542
22.753181,22.84927,22.928501,22.940884,22.963898,23.010227
22.787712,22.865185,22.896587,22.927681,22.966026,23.015087
22.778002,22.820934,22.851566,22.89143,22.926754,22.978622
22.752071,22.791653,22.781063,22.823828,22.769846,23.253296
22.760653,22.792374,22.819187,22.861565,23.221897,23.419344
22.818031,22.882141,22.899298,23.349142,23.496595,23.524452
22.75357,22.82946,23.384474,23.62399,23.668205,23.250912
22.844692,23.406872,23.705013,23.703703,23.32815,23.026377
23.602322,23.836912,23.822945,23.371044,23.23719,23.16821
23.068342,23.028305,22.702656,22.458597,22.48762,22.492596
22.853947,22.554947,22.333971,22.207993,22.171848,22.272402
22.475624,22.278137,22.178133,22.174816,22.11604,22.093231
22.696001,22.608662,22.621113,22.628845,22.54641,22.542982
22.78425,22.749306,22.785952,22.7802,22.809525,22.798977
22.853046,22.875969,22.90152,22.937817,23.023907,23.009516
22.833515,22.862564,22.882952,22.951359,23.004139,23.005377
22.81672,22.862022,22.891855,22.93509,22.959587,23.042677
22.838642,22.892876,22.92009,22.964664,23.031828,23.09227
22.79824,22.845789,22.886898,22.965294,23.012114,23.02486
22.760798,22.816814,22.88179,22.932608,22.945862,22.937212
22.753056,22.820442,22.866753,22.872124,22.873348,22.854979
22.736958,22.779427,22.781267,22.762674,22.755852,22.70938
22.701963,22.702436,22.677692,22.648685,22.611631,22.511606
22.670084,22.641285,22.59673,22.534042,22.438192,22.32331
22.198334,22.102707,22.049162,21.978584,21.61933,23.442286
21.850193,21.990757,21.841505,21.646112,23.365875,23.745958
21.796951,21.671898,21.314213,22.95197,23.467216,23.612204
21.612936,21.491426,23.083462,23.732594,24.039223,22.300201
21.588339,23.355808,23.749256,23.93687,21.990963,21.006577
23.337439,23.862307,24.210022,22.124338,21.270771,20.9282
23.543282,23.830345,21.813007,20.943096,20.973122,20.943104
24.11448,21.89131,21.233782,21.082664,21.127975,21.12504
21.682274,20.931236,20.909723,20.869053,20.92337,20.83959
21.342865,21.285065,21.271343,21.241358,21.287037,21.160831
21.618614,21.582956,21.52081,21.54937,21.488317,21.369982
22.016787,21.997293,21.9558,21.916779,21.831528,21.728083
22.344135,22.344074,22.265629,22.212305,22.135813,22.034351
22.579887,22.56352,22.47529,22.432241,22.386084,22.293272
22.678362,22.647488,22.584366,22.56934,22.527433,22.465082
