MAE1,MAE2,MAE3,MAE4,MAE5,MAE6
17.30722,17.324808,17.306677,17.224716,17.241875,17.243471
17.321138,17.323122,17.282593,17.203392,17.220074,17.213207
17.311855,17.289007,17.235458,17.155903,17.158611,17.149158
17.293644,17.255575,17.19899,17.112774,17.102777,17.098055
17.27944,17.22829,17.164787,17.068619,17.051662,17.051723
17.243399,17.184061,17.128529,17.02902,17.020794,17.041864
17.201841,17.140781,17.09692,17.001028,17.007288,17.0476
17.167442,17.110428,17.08114,16.997091,17.018675,17.069843
17.138397,17.095722,17.085365,17.019999,17.051905,17.10754
17.1059,17.087101,17.10125,17.057222,17.104511,17.167458
17.103226,17.090363,17.106638,17.066843,17.1189,17.180449
17.09312,17.078379,17.098572,17.067745,17.122595,17.185764
17.102898,17.110378,17.145847,17.115673,17.161726,17.216902
17.15274,17.176952,17.180395,17.11953,17.139317,17.153538
17.139193,17.13968,17.110048,17.02944,17.029013,17.030949
17.106089,17.100294,17.058372,16.97722,16.97148,16.963684
17.068163,17.022675,16.966478,16.873402,16.84473,16.840847
16.977928,16.914324,16.883038,16.782831,16.76914,16.810728
16.919489,16.877682,16.860897,16.770397,16.769257,16.81718
16.664297,16.683043,16.63312,16.419504,16.750484,18.285046
16.659712,16.578306,16.562296,16.228424,18.042652,19.304321
16.791658,16.682352,16.551186,17.862747,19.047716,19.656422
16.337126,16.469114,17.370037,18.471535,19.259792,19.586554
16.23543,17.13708,18.23223,19.29327,19.939905,20.46107
16.989037,18.169106,19.128979,19.964657,20.521433,20.717026
19.076958,20.270714,20.647259,20.98019,21.22295,20.90172
20.25643,20.881369,21.218191,21.383926,21.277636,21.170385
20.495102,21.009527,21.16689,21.07704,21.147747,21.184454
20.767551,21.019608,21.016035,20.968525,21.124737,21.148115
20.875854,20.933989,20.955635,20.99428,21.127573,21.183483
20.937174,21.007988,21.017866,21.057568,21.180552,21.210266
21.029013,21.084145,21.079285,21.145275,21.230694,21.177013
21.072702,21.10297,21.127962,21.2108,21.217634,21.12729
21.141392,21.19448,21.24669,21.28962,21.245775,21.159126
21.378193,21.452765,21.477293,21.479542,21.424,21.35494
21.751076,21.806547,21.792809,21.798891,21.755367,21.689774
21.66755,21.703293,21.66848,21.69242,21.64872,23.668827
21.52154,21.494896,21.401373,21.474373,23.415306,23.7072
21.588318,21.475117,21.30135,23.175556,23.601215,23.697327
21.412468,21.33859,23.382978,23.826378,23.990654,22.479824
21.601892,23.608849,23.907469,24.00412,22.3978,21.536913
23.489231,23.988667,24.14059,22.397678,21.644547,21.407085
23.408772,23.552818,21.920242,21.089159,21.0471,20.980417
23.630095,21.87365,21.3041,21.054436,21.055294,21.178112
